ticker,TFCFA UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-09-17,-0.1477
2010-09-20,3.4763
2010-09-21,-1.2152
2010-09-22,-2.3155
2010-09-23,-0.2963
2010-09-24,4.0119
2010-09-27,-2.8571
2010-09-28,0.0735
2010-09-29,-2.939
2010-09-30,-1.1355
2010-10-01,1.3783
2010-10-04,-2.0393
2010-10-05,4.549
2010-10-06,-0.59
2010-10-07,1.1128
2010-10-08,1.8342
2010-10-11,-0.3602
2010-10-12,0.7954
2010-10-13,1.6499000000000001
2010-10-14,-0.6351
2010-10-15,0.7102
2010-10-18,-1.0578
2010-10-19,-0.4989
2010-10-20,4.298
2010-10-21,-0.6181
2010-10-22,-0.4838
2010-10-25,-1.0417
2010-10-26,0.4211
2010-10-27,0.0699
2010-10-28,1.1872
2010-10-29,-0.207
2010-11-01,0.3458
2010-11-02,0.7581
2010-11-03,1.5048
2010-11-04,-0.6065
2010-11-05,-1.6949
2010-11-08,-1.1034
2010-11-09,-0.4184
2010-11-10,1.1905000000000001
2010-11-11,0.5536
2010-11-12,-1.2388
2010-11-15,0.2091
2010-11-16,-0.904
2010-11-17,0.0351
2010-11-18,0.947
2010-11-19,-1.3899
2010-11-22,0.1409
2010-11-23,-3.3075
2010-11-24,2.4017
2010-11-26,-0.7818
2010-11-29,-0.5731
2010-11-30,-1.7290999999999999
2010-12-01,3.1525
2010-12-02,1.7768000000000002
2010-12-03,0.0
2010-12-06,-0.6285
2010-12-07,0.9136
2010-12-08,-0.5571
2010-12-09,0.2101
2010-12-10,2.0266
2010-12-13,-1.7808000000000002
2010-12-14,0.4184
2010-12-15,-0.0694
2010-12-16,0.3475
2010-12-17,0.2078
2010-12-20,-0.2764
2010-12-21,0.4158
2010-12-22,3.1056
2010-12-23,-0.8032
2010-12-27,-1.4845
2010-12-28,-0.3425
2010-12-29,0.1375
2010-12-30,-0.5491
2010-12-31,0.4831
2011-01-03,1.4423
2011-01-04,1.4895
2011-01-05,-0.934
2011-01-06,-0.2694
2011-01-07,-0.8778
2011-01-10,-0.3406
2011-01-11,-1.5038
2011-01-12,-0.347
2011-01-13,-1.6017000000000001
2011-01-14,0.4954
2011-01-18,1.1972
2011-01-19,-0.9743
2011-01-20,3.0218
2011-01-21,4.3656
2011-01-24,3.0719
2011-01-25,-0.6975
2011-01-26,-0.8301
2011-01-27,0.3863
2011-01-28,-3.2713
2011-01-31,-0.3979
2011-02-01,3.7949
2011-02-02,2.6299
2011-02-03,6.0
2011-02-04,-0.4717
2011-02-07,-1.6588
2011-02-08,1.8675000000000002
2011-02-09,0.0
2011-02-10,-0.887
2011-02-11,3.8186
2011-02-14,-2.7586
2011-02-15,1.1229
2011-02-16,1.2858
2011-02-17,0.577
2011-02-18,1.6064
2011-02-22,-5.3077
2011-02-23,-1.2522
2011-02-24,1.2077
2011-02-25,3.3413
2011-02-28,0.2887
2011-03-01,-1.8423
2011-03-02,1.8182
2011-03-03,1.6129
2011-03-04,-0.2834
2011-03-07,-2.1603
2011-03-08,0.4648
2011-03-09,-1.0989
2011-03-10,-1.8129
