ticker,PPL UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-12-02,0.4702
2019-12-03,0.0
2019-12-04,1.0822
2019-12-05,-0.6944
2019-12-06,0.1457
2019-12-09,-0.7201
2019-12-10,0.267
2019-12-11,-0.1183
2019-12-12,-0.4739
2019-12-13,6.0714
2019-12-16,1.7116
2019-12-17,-0.7724
2019-12-18,0.0
2019-12-19,-0.695
2019-12-20,0.308
2019-12-23,-0.4745
2019-12-24,-0.1122
2019-12-26,-0.2527
2019-12-27,-0.0281
2019-12-30,0.4223
2019-12-31,0.5887
2020-01-02,-1.2821
2020-01-03,-0.1129
2020-01-06,0.1131
2020-01-07,-0.6776
2020-01-08,0.5685
2020-01-09,0.3674
2020-01-10,-0.1971
2020-01-13,-0.0282
2020-01-14,0.4234
2020-01-15,0.7589
2020-01-16,0.3068
2020-01-17,0.3615
2020-01-21,-0.1663
2020-01-22,0.3886
2020-01-23,1.4929000000000001
2020-01-24,-0.4903
2020-01-27,-0.9307
2020-01-28,1.2434
2020-01-29,0.2729
2020-01-30,-0.7349
2020-01-31,-0.7678
2020-02-03,0.1658
2020-02-04,-0.5241
2020-02-05,0.9983
2020-02-06,-0.9336
2020-02-07,-0.1663
2020-02-10,0.2776
2020-02-11,0.1384
2020-02-12,0.3041
2020-02-13,0.0
2020-02-14,-2.5083
2020-02-18,1.5267
2020-02-19,-2.2556
2020-02-20,0.8832
2020-02-21,0.5931
2020-02-24,-1.4037
2020-02-25,-1.5661
2020-02-26,-3.8473
2020-02-27,-6.769
2020-02-28,-3.1623
2020-03-02,5.998
2020-03-03,-2.4206
2020-03-04,3.6727
2020-03-05,-1.5537999999999998
2020-03-06,-0.5366
2020-03-09,-6.2996
2020-03-10,2.4734
2020-03-11,-1.9444
2020-03-12,-8.9573
2020-03-13,2.9666
2020-03-16,-13.7126
2020-03-17,7.9882
2020-03-18,-10.7241
2020-03-19,-5.3485
2020-03-20,-8.893
2020-03-23,-5.4906
2020-03-24,14.255
2020-03-25,4.661
2020-03-26,10.9762
2020-03-27,3.0401
2020-03-30,1.6129
2020-03-31,-4.4522
2020-04-01,-7.2123
2020-04-02,0.3057
2020-04-03,-5.2242
2020-04-06,9.876
2020-04-07,2.801
2020-04-08,4.9614
2020-04-09,3.4483
2020-04-13,-2.9962999999999997
2020-04-14,2.3938
2020-04-15,-4.7511
2020-04-16,0.1188
2020-04-17,4.3495
2020-04-20,-4.3198
2020-04-21,-2.6931000000000003
2020-04-22,3.0118
2020-04-23,-0.4741
2020-04-24,1.1909
2020-04-27,0.2354
2020-04-28,1.4873
2020-04-29,1.0798
2020-04-30,-3.0141
2020-05-01,-2.1637
2020-05-04,0.3619
2020-05-05,1.5224
2020-05-06,-4.1831
2020-05-07,0.0412
2020-05-08,7.4928
2020-05-11,-3.2938
2020-05-12,-1.5842
2020-05-13,-1.2072
2020-05-14,2.8106
2020-05-15,-2.8922
2020-05-18,6.6095
2020-05-19,-2.9851
2020-05-20,0.9467
2020-05-21,0.4299
