ticker,AAP UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-03-23,-0.0815
2005-03-24,1.1218
2005-03-28,2.2791
2005-03-29,-1.4001000000000001
2005-03-30,0.84
2005-03-31,0.0595
2005-04-01,0.4955
2005-04-04,1.2032
2005-04-05,0.8575
2005-04-06,-0.9662
2005-04-07,0.1171
2005-04-08,-0.7991
2005-04-11,0.1965
2005-04-12,1.098
2005-04-13,-1.9588999999999999
2005-04-14,-1.5628
2005-04-15,-1.6278000000000001
2005-04-18,0.0204
2005-04-19,4.2075
2005-04-20,-1.3132
2005-04-21,1.4499
2005-04-22,0.0
2005-04-25,2.2709
2005-04-26,0.804
2005-04-27,1.6331
2005-04-28,-0.0747
2005-04-29,-0.2431
2005-05-02,-0.5248
2005-05-03,0.1131
2005-05-04,1.5434
2005-05-05,1.6867
2005-05-06,0.2734
2005-05-09,-0.509
2005-05-10,-0.5481
2005-05-11,-0.5144
2005-05-12,-1.8467
2005-05-13,-0.0376
2005-05-16,1.1858
2005-05-17,1.9344999999999999
2005-05-18,0.6752
2005-05-19,5.9815000000000005
2005-05-20,1.6761
2005-05-23,0.0336
2005-05-24,-0.4036
2005-05-25,-0.1351
2005-05-26,0.3719
2005-05-27,-0.7748
2005-05-31,0.6111
2005-06-01,1.5185
2005-06-02,1.396
2005-06-03,-0.0328
2005-06-06,1.5575999999999999
2005-06-07,1.0655000000000001
2005-06-08,-0.1278
2005-06-09,0.9277
2005-06-10,0.1585
2005-06-13,-0.712
2005-06-14,0.2072
2005-06-15,-0.4453
2005-06-16,0.3355
2005-06-17,0.7642
2005-06-20,0.0
2005-06-21,1.5642
2005-06-22,1.1668
2005-06-23,-0.815
2005-06-24,-1.7829000000000002
2005-06-27,0.8524
2005-06-28,1.9721
2005-06-29,0.1228
2005-06-30,-1.0425
2005-07-01,1.7041
2005-07-05,-0.0914
2005-07-06,-1.8143
2005-07-07,-0.8075
2005-07-08,0.6105
2005-07-11,-0.529
2005-07-12,0.7352
2005-07-13,0.0932
2005-07-14,1.3497
2005-07-15,-0.4898
2005-07-18,2.292
2005-07-19,0.7218
2005-07-20,-0.433
2005-07-21,-0.5098
2005-07-22,-0.0754
2005-07-25,-0.7692
2005-07-26,0.152
2005-07-27,0.4705
2005-07-28,4.2145
2005-07-29,-0.0435
2005-08-01,0.1305
2005-08-02,2.6936999999999998
2005-08-03,0.0423
2005-08-04,-1.9876
2005-08-05,-0.3308
2005-08-08,-0.8225
2005-08-09,-0.3492
2005-08-10,1.5623
2005-08-11,-5.1179
2005-08-12,-0.5303
2005-08-15,0.5788
2005-08-16,-2.3777
2005-08-17,1.722
2005-08-18,-0.122
2005-08-19,-2.0461
2005-08-22,-1.4809
2005-08-23,-1.7405
2005-08-24,0.3382
2005-08-25,-0.337
2005-08-26,-1.5137
2005-08-29,0.8829
2005-08-30,-0.9724
2005-08-31,-0.2782
2005-09-01,-2.5766999999999998
2005-09-02,-1.9879
2005-09-06,1.2204
2005-09-07,3.7188
2005-09-08,-1.3752
2005-09-09,0.9628
2005-09-12,2.7294
2005-09-13,-1.8726
2005-09-14,-0.8481
2005-09-15,0.2632
2005-09-16,-0.6071
2005-09-19,-2.6907
2005-09-20,-1.0687
2005-09-21,-2.8635
2005-09-22,3.2657
2005-09-23,1.453
2005-09-26,-1.4322
2005-09-27,-0.9231
2005-09-28,-2.148
2005-09-29,1.1902
2005-09-30,1.0977999999999999
2005-10-03,0.8273
2005-10-04,-0.6154
2005-10-05,-2.6058
2005-10-06,2.8079
2005-10-07,-0.0515
2005-10-10,-0.1289
2005-10-11,0.0258
2005-10-12,-3.9484
2005-10-13,-0.7254
2005-10-14,1.4073
2005-10-17,-1.201
2005-10-18,-0.4052
2005-10-19,1.8986
2005-10-20,-0.2129
2005-10-21,-4.1611
2005-10-24,2.9779999999999998
2005-10-25,0.3784
2005-10-26,-1.6694
2005-10-27,-1.7525
2005-10-28,1.9788000000000001
2005-10-31,2.487
2005-11-01,0.0
2005-11-02,3.2
2005-11-03,2.9716
2005-11-04,-0.9034
2005-11-07,1.4181
2005-11-08,-1.4732
2005-11-09,0.8109
2005-11-10,0.5279
2005-11-11,1.0003
2005-11-14,0.7428
2005-11-15,-3.7356
2005-11-16,0.2553
2005-11-17,2.5465
2005-11-18,1.8624
2005-11-21,2.0478
2005-11-22,2.4367
2005-11-23,-0.1399
2005-11-25,1.588
2005-11-28,-2.8736
2005-11-29,0.284
2005-11-30,-0.0708
2005-12-01,2.5035
2005-12-02,1.129
2005-12-05,-0.2962
2005-12-06,0.5484
2005-12-07,-1.1364
2005-12-08,0.7126
2005-12-09,0.6163
2005-12-12,-1.5426
2005-12-13,-2.0737
2005-12-14,1.2471
2005-12-15,-1.2317
2005-12-16,-0.7529
2005-12-19,-0.1897
2005-12-20,0.4988
2005-12-21,0.1418
2005-12-22,0.9441
2005-12-23,0.8651
2005-12-27,-1.5994000000000002
2005-12-28,0.7774
2005-12-29,-0.3974
2005-12-30,1.9948000000000001
2006-01-03,0.1381
2006-01-04,0.7123
2006-01-05,0.4791
2006-01-06,-0.1135
2006-01-09,1.2957
2006-01-10,0.1122
2006-01-11,-0.8518
2006-01-12,0.2939
2006-01-13,0.0225
2006-01-17,-1.9382000000000001
2006-01-18,-0.8274
2006-01-19,-2.248
2006-01-20,-0.6164
2006-01-23,-0.7156
2006-01-24,2.8592
2006-01-25,0.0234
2006-01-26,1.6348
2006-01-27,-1.1719
2006-01-30,-0.2325
2006-01-31,1.5381
2006-02-01,-0.3902
2006-02-02,-2.3963
2006-02-03,2.4079
2006-02-06,-0.6916
2006-02-07,-0.3018
2006-02-08,0.4424
2006-02-09,0.8577
2006-02-10,0.5056
2006-02-13,1.3721
2006-02-14,0.3835
2006-02-15,-1.3258
2006-02-16,-4.9419
2006-02-17,-0.0958
2006-02-21,-2.9976000000000003
2006-02-22,1.9283000000000001
2006-02-23,0.2425
2006-02-24,0.5081
2006-02-27,0.2407
2006-02-28,-0.6964
2006-03-01,2.8295
2006-03-02,0.2352
2006-03-03,-0.4927
2006-03-06,0.0
2006-03-07,0.0707
2006-03-08,0.0236
2006-03-09,-1.3663
2006-03-10,-1.7196
2006-03-13,0.0972
2006-03-14,0.0486
2006-03-15,1.6743999999999999
2006-03-16,-0.5251
2006-03-17,-0.3359
2006-03-20,-0.6259
2006-03-21,-0.1938
2006-03-22,0.9709
2006-03-23,0.7222
2006-03-24,0.3824
2006-03-27,-0.6429
2006-03-28,-1.0784
2006-03-29,0.218
2006-03-30,0.4109
2006-03-31,0.2407
2006-04-03,-0.1681
2006-04-04,-1.4915
2006-04-05,0.7082
2006-04-06,-0.3637
2006-04-07,-0.1704
2006-04-10,-1.0483
2006-04-11,-2.9071
2006-04-12,1.0403
2006-04-13,0.0251
2006-04-17,-1.1298
2006-04-18,-1.1427
2006-04-19,0.0
2006-04-20,1.4642
2006-04-21,-1.4684
2006-04-24,-1.7215
2006-04-25,2.0392
2006-04-26,-0.9992
2006-04-27,3.2091
2006-04-28,0.8526
2006-05-01,-1.9393
2006-05-02,-2.1298
2006-05-03,-0.5181
2006-05-04,1.0937999999999999
2006-05-05,2.1638
2006-05-08,0.4034
2006-05-09,2.1848
2006-05-10,-0.2703
2006-05-11,-0.5175
2006-05-12,-0.2229
2006-05-15,-2.0606
2006-05-16,-1.9771999999999998
2006-05-17,-1.2154
2006-05-18,0.2618
2006-05-19,1.9582000000000002
2006-05-22,-1.7926
2006-05-23,-0.7823
2006-05-24,0.3154
2006-05-25,-0.393
2006-05-26,-0.0263
2006-05-30,-1.5259
2006-05-31,1.8434
2006-06-01,-0.341
2006-06-02,0.0263
2006-06-05,-1.5263
2006-06-06,-0.3474
2006-06-07,-0.2682
2006-06-08,1.9091
2006-06-09,-0.1847
2006-06-12,-2.2205
2006-06-13,-1.2436
2006-06-14,-0.1369
2006-06-15,3.125
2006-06-16,-0.1595
2006-06-19,-0.7987
2006-06-20,-0.7246
2006-06-21,1.2976
2006-06-22,-0.9088
2006-06-23,1.5375999999999999
2006-06-26,-0.9299
2006-06-27,-1.6895
2006-06-28,-2.0731
2006-06-29,-16.685200000000002
2006-06-30,-3.3768000000000002
2006-07-03,1.9723000000000002
2006-07-05,0.1018
2006-07-06,1.5593
2006-07-07,-0.8678
2006-07-10,-0.5724
2006-07-11,-0.8127
2006-07-12,-0.9901
2006-07-13,-0.5172
2006-07-14,0.6586
2006-07-17,-0.2755
2006-07-18,-0.8978
2006-07-19,2.2997
2006-07-20,-0.4428
2006-07-21,0.0342
2006-07-24,1.6074000000000002
2006-07-25,5.2844
2006-07-26,0.7353
2006-07-27,-3.1736
2006-07-28,0.0328
2006-07-31,-0.8191
2006-08-01,-0.6938
2006-08-02,0.5323
2006-08-03,1.1582
2006-08-04,-0.229
2006-08-07,-1.1803
2006-08-08,-1.7585
2006-08-09,-2.229
2006-08-10,2.867
2006-08-11,-2.8207
2006-08-14,0.1728
2006-08-15,0.3794
2006-08-16,6.8385
2006-08-17,-0.4181
2006-08-18,-1.4535
2006-08-21,-1.311
2006-08-22,-1.0296
2006-08-23,-0.6711
2006-08-24,-0.4054
2006-08-25,-1.289
2006-08-28,1.3746
2006-08-29,0.3729
2006-08-30,1.5873
2006-08-31,0.133
2006-09-01,1.9256
2006-09-05,1.6612
2006-09-06,-0.3525
2006-09-07,0.4823
2006-09-08,0.224
2006-09-11,0.4789
2006-09-12,4.6393
2006-09-13,-0.1822
2006-09-14,-0.7606
2006-09-15,-0.4598
2006-09-18,-1.4783
2006-09-19,1.5316999999999998
2006-09-20,2.4938000000000002
2006-09-21,-1.2338
2006-09-22,1.4929999999999999
2006-09-25,2.0715
2006-09-26,0.5882
2006-09-27,-2.0175
2006-09-28,0.4178
2006-09-29,-2.11
2006-10-02,1.3660999999999999
2006-10-03,2.1563
2006-10-04,3.049
2006-10-05,0.3414
2006-10-06,-2.013
2006-10-09,0.3472
2006-10-10,0.2307
2006-10-11,-0.9206
2006-10-12,1.5678999999999998
2006-10-13,1.3721999999999999
2006-10-16,0.2256
2006-10-17,-1.7445
2006-10-18,0.4009
2006-10-19,1.7114
2006-10-20,-0.5609
2006-10-23,2.2279
2006-10-24,0.3034
2006-10-25,-3.2178
2006-10-26,3.4385
2006-10-27,-1.5110000000000001
2006-10-30,0.3347
2006-10-31,-2.6411
2006-11-01,-1.5991
2006-11-02,5.3395
2006-11-03,-0.8264
2006-11-06,0.5556
2006-11-07,-0.442
2006-11-08,1.9144999999999999
2006-11-09,1.0618
2006-11-10,0.6196
2006-11-13,-0.3748
2006-11-14,1.29
2006-11-15,0.9552
2006-11-16,-0.184
2006-11-17,0.237
2006-11-20,-0.3152
2006-11-21,-0.1845
2006-11-22,0.7128
2006-11-24,-0.2097
2006-11-27,-3.2309
2006-11-28,-0.7058
2006-11-29,-4.784
2006-11-30,2.2107
2006-12-01,-0.8708
2006-12-04,-0.2834
2006-12-05,0.8809
2006-12-06,1.1831
2006-12-07,3.0345
2006-12-08,0.0
2006-12-11,-2.2967
2006-12-12,-1.5487
2006-12-13,0.0
2006-12-14,0.7022
2006-12-15,-1.5899999999999999
2006-12-18,0.7086
2006-12-19,0.3377
2006-12-20,1.2062
2006-12-21,-1.166
2006-12-22,0.7303
2006-12-26,0.0558
2006-12-27,0.2508
2006-12-28,-0.3614
2006-12-29,-0.7813
2007-01-03,0.0562
2007-01-04,0.6464
2007-01-05,-2.2061
2007-01-08,0.3427
2007-01-09,0.8537
2007-01-10,0.1411
2007-01-11,2.5641
