ticker,AQQSQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-05-05,-3.5300000000000002
2009-05-06,-2.2927
2009-05-07,9.8359
2009-05-08,-3.4955
2009-05-12,-3.2076000000000002
2009-05-14,4.1363
2009-05-15,-2.4305
2009-05-18,-5.4119
2009-05-19,2.6842
2009-05-20,3.501
2009-05-21,-0.0238
2009-05-22,0.0238
2009-05-27,-0.0953
2009-05-28,-2.6419
2009-05-29,0.4114
2009-06-01,0.0
2009-06-02,0.0
2009-06-04,2.9268
2009-06-05,-2.8436
2009-06-09,-2.2351
2009-06-10,-4.8988
2009-06-12,-0.0007
2009-06-15,-2.9375
2009-06-19,-0.5405
2009-06-25,0.4891
2009-06-26,2.6501
2009-06-29,-2.5817
2009-06-30,-0.4867
2009-07-07,-5.4348
2009-07-13,-2.8736
2009-07-15,-5.7988
2009-07-16,3.5804
2009-07-17,-0.5458
2009-07-21,-5.4268
2009-07-24,2.45
2009-07-28,2.5802
2009-07-29,-4.908
2009-07-31,-2.8064999999999998
2009-08-04,0.0
2009-08-05,0.2323
2009-08-10,-15.9603
2009-08-11,14.2632
2009-08-12,-3.4483
2009-08-14,0.7143
2009-08-17,2.8369
2009-08-20,-2.1379
2009-08-21,3.8407
2009-08-25,-6.6848
2009-08-26,-7.2727
2009-08-27,15.6863
2009-08-28,16.5424
2009-08-31,8.4933
2009-09-01,-3.9678
2009-09-02,1.8984
2009-09-03,3.0137
2009-09-08,9.0426
2009-09-09,0.0
2009-09-10,10.9756
2009-09-11,-1.0989
2009-09-14,-2.2222
2009-09-15,-7.2727
2009-09-16,-1.7279
2009-09-17,2.2571
2009-09-18,-2.439
2009-09-21,3.75
2009-09-24,-3.3735
2009-09-30,-0.2494
2009-10-02,3.75
2009-10-05,1.7349
2009-10-07,6.1114
2009-10-08,-3.3487999999999998
2009-10-09,-6.2356
2009-10-13,-0.7389
2009-10-16,-0.7444
2009-10-19,0.0
2009-10-20,0.0
2009-10-27,0.0006
2009-10-29,-5.0006
2009-10-30,-3.9467
2009-11-06,-4.1102
2009-11-11,-0.8579
2009-11-12,3.7471
2009-11-13,-2.5833
2009-11-16,1.2268
2009-11-17,-3.9443
2009-11-18,-0.2933
2009-11-19,-2.9412000000000003
2009-11-23,-3.0303
2009-11-24,1.5625
2009-11-25,-3.2923
2009-11-27,-1.3681
2009-11-30,9.6774
2009-12-02,14.7059
2009-12-03,-11.538499999999999
2009-12-10,-1.1594
2009-12-11,-4.3981
2009-12-15,4.2937
2009-12-17,-2.9412000000000003
2009-12-21,-6.0606
2009-12-23,12.9032
2009-12-24,-1.4285999999999999
2009-12-28,-3.1014
2009-12-29,-0.3889
2009-12-30,20.1201
2009-12-31,11.425
2010-01-04,-8.4496
2010-01-05,-0.745
2010-01-06,-4.1975
2010-01-07,10.8241
2010-01-08,-0.6041
2010-01-11,-6.7852
2010-01-12,6.3749
2010-01-13,-0.3534
2010-01-14,3.4336
2010-01-15,-0.3205
2010-01-19,-5.8337
2010-01-20,0.9756
2010-01-21,0.7246
2010-01-22,-0.4796
2010-01-25,3.6145
2010-01-26,2.4884
2010-01-28,4.9694
2010-01-29,-0.562
2010-02-01,-0.8696
2010-02-02,-4.9123
2010-02-03,2.3063000000000002
2010-02-04,-4.9143
2010-02-05,-3.8217
2010-02-08,-0.2785
2010-02-09,0.1112
2010-02-11,1.234
2010-02-12,0.0006
2010-02-16,-1.2195
2010-02-17,-0.1975
2010-02-18,-0.4453
2010-02-19,2.3857
2010-02-22,0.2427
2010-02-25,-3.1471
2010-02-26,4.7993
2010-03-02,-2.0515
2010-03-04,-2.0458
2010-03-08,-3.0333
2010-03-09,-2.5635
2010-03-10,4.9993
2010-03-11,-2.5063
2010-03-12,-2.0559
2010-03-15,-0.5256
