ticker,DWIS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-16,100.0
2015-04-28,50.0
2015-06-24,166.6667
2015-08-12,-50.0
2015-08-13,-12.5
2015-08-17,14.2857
2015-08-20,-6.25
2015-08-26,-33.3333
2015-09-08,40.0
2015-09-09,-14.2857
2015-10-06,0.0
2015-10-27,0.0
2015-11-04,-33.3333
2016-01-08,-50.0
2016-02-22,0.0
2016-03-14,0.0
2016-05-16,0.0
2016-07-05,-50.0
2016-07-06,-30.0
2016-08-09,-14.2857
2017-04-07,0.0
2017-04-20,0.0
2017-08-07,0.0
2017-08-11,116.6667
2017-09-12,-53.8462
2017-09-14,233.3333
2017-09-15,0.0
2017-11-30,0.0
2017-12-08,20.0
2017-12-15,-16.6667
2018-01-05,-10.0
2018-02-14,288.8889
2018-02-15,14.2857
2018-02-16,-40.0
2018-02-27,-16.6667
2018-03-06,25.0
2018-03-16,-20.0
2018-04-09,-30.0
2018-05-15,81.4286
2018-05-16,-1.5748
2018-06-05,-10.0
2018-07-05,-28.4444
2018-07-19,77.7019
2018-07-31,-43.726
2018-08-21,0.0
2018-10-12,-36.646
2018-10-22,0.0
2018-11-01,0.0
2019-02-21,-1.9607999999999999
2019-03-08,125.0
2019-03-12,-28.8889
2019-03-13,3.125
2019-03-14,142.4242
2019-03-21,-25.0
2019-04-05,-16.6667
2019-05-03,-40.0
2019-05-06,33.3333
2019-05-17,0.0
2019-05-30,-37.5
2019-06-03,4.0
2019-06-12,53.8462
2019-06-21,-45.0
2019-07-05,81.8182
2019-08-05,-7.35
2019-09-18,-0.1619
2019-09-23,35.1351
2019-09-24,0.0
2019-09-25,-20.0
2019-09-26,-10.0
2019-09-27,38.8889
2019-09-30,60.0
2019-10-02,-40.0
2019-10-28,-6.25
2019-11-05,11.1111
2019-11-13,20.0
2019-11-19,-32.3333
2019-11-22,47.7833
2019-11-29,100.0
2019-12-02,-33.3333
2019-12-03,0.25
2019-12-04,-0.2494
2019-12-05,0.0
2019-12-09,0.0
2019-12-17,0.0
2019-12-20,-25.0
2019-12-26,46.6667
2019-12-27,-31.8182
2019-12-31,-26.6667
2020-01-03,0.3182
2020-01-07,29.4744
2020-01-08,4.9869
2020-01-22,-31.6667
2020-01-24,-40.0
2020-01-27,62.6016
2020-02-20,-36.5
2020-02-25,57.4803
2020-04-06,-36.5
2020-04-07,57.4803
2020-04-29,-9.0
2020-05-01,9.8901
2020-05-05,60.0
2020-05-18,-6.25
2020-05-20,-26.6667
2020-05-22,13.6364
2020-06-01,-12.0
2020-06-08,-50.0
2020-07-13,36.3636
2020-07-23,0.0
