ticker,INN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-01-13,0.9494
2015-01-14,0.9404
2015-01-15,-0.4658
2015-01-16,3.5101
2015-01-20,-0.1507
2015-01-21,-0.9811
2015-01-22,2.2866
2015-01-23,0.5216
2015-01-26,-0.8154
2015-01-27,-0.1495
2015-01-28,-1.7964
2015-01-29,0.5335
2015-01-30,-2.8052
2015-02-02,-1.6381000000000001
2015-02-03,1.1895
2015-02-04,3.2132
2015-02-05,0.3037
2015-02-06,-0.6056
2015-02-09,-2.1325
2015-02-10,-0.6226
2015-02-11,1.1551
2015-02-12,1.3281
2015-02-13,0.6168
2015-02-17,3.2184
2015-02-18,1.2621
2015-02-19,-3.3724
2015-02-20,0.4552
2015-02-23,1.7372
2015-02-24,1.2621
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,-3.739
2015-03-02,2.4372
2015-03-03,0.5948
2015-03-04,1.5521
2015-03-05,0.4367
2015-03-06,-2.5362
2015-03-09,-1.1152
2015-03-10,-1.8045
2015-03-11,2.2205
2015-03-12,1.9476
2015-03-13,0.8082
2015-03-16,-0.5102
2015-03-17,0.0733
2015-03-18,1.6105
2015-03-19,0.3602
2015-03-20,2.1536
2015-03-23,0.8433
2015-03-24,-2.5784000000000002
2015-03-25,-2.5036
2015-03-26,-0.4402
2015-03-27,1.916
2015-03-30,2.0969
2015-03-31,-0.3541
2015-04-01,-0.1421
2015-04-02,-0.4982
2015-04-06,0.7868
2015-04-07,-1.2775
2015-04-08,-1.5097
2015-04-09,-3.4307
2015-04-10,2.192
2015-04-13,-0.9615
2015-04-14,-1.4937
2015-04-15,-1.1372
2015-04-16,0.8436
2015-04-17,-0.9125
2015-04-20,1.4582
2015-04-21,0.9834
2015-04-22,1.1236
2015-04-23,0.8889
2015-04-24,-0.3671
2015-04-27,-0.4422
2015-04-28,1.7765
2015-04-29,-0.2909
2015-04-30,-3.9387
2015-05-01,1.3667
2015-05-04,-1.3483
2015-05-05,-1.063
2015-05-06,0.0
2015-05-07,1.4582
2015-05-08,1.1346
2015-05-11,-1.1967
2015-05-12,0.757
2015-05-13,-0.5447
2015-05-14,2.5152
2015-05-15,0.223
2015-05-18,0.5193
2015-05-19,-0.738
2015-05-20,1.1896
2015-05-21,0.147
2015-05-22,-0.5869
2015-05-26,-0.9594
2015-05-27,1.2668
2015-05-28,-0.4415
2015-05-29,-1.2565
2015-06-01,1.9461
2015-06-02,0.0
2015-06-03,-0.3671
2015-06-04,-1.8423
2015-06-05,-2.2523
2015-06-08,-2.765
2015-06-09,0.4739
2015-06-10,2.5157
2015-06-11,-0.6135
2015-06-12,-0.0772
2015-06-15,-1.0039
2015-06-16,0.624
2015-06-17,-0.0775
2015-06-18,2.0946
2015-06-19,0.152
2015-06-22,-0.2276
2015-06-23,-0.3042
2015-06-24,-0.9916
2015-06-25,0.077
2015-06-26,0.6159
2015-06-29,-2.2953
2015-06-30,1.8794
2015-07-01,1.9985
2015-07-02,0.6782
2015-07-06,2.6946
2015-07-07,1.9679
2015-07-08,-1.5726
2015-07-09,1.3072
2015-07-10,1.7204000000000002
2015-07-13,-0.0705
2015-07-14,0.9873
2015-07-15,-0.2793
2015-07-16,1.7507000000000001
2015-07-17,-0.2065
2015-07-20,-1.5171999999999999
2015-07-21,-2.451
2015-07-22,0.6461
2015-07-23,-2.7817
2015-07-24,-1.0271
2015-07-27,1.5567
2015-07-28,-0.365
2015-07-29,0.1465
2015-07-30,-0.5121
2015-07-31,0.2206
2015-08-03,0.1467
2015-08-04,-5.5678
2015-08-05,-1.3189
2015-08-06,-2.2013
2015-08-07,-0.8842
2015-08-10,1.2976
2015-08-11,0.3203
2015-08-12,-1.2969
2015-08-13,0.8163
2015-08-14,0.2429
2015-08-17,0.9693
2015-08-18,-0.4
2015-08-19,0.0803
2015-08-20,0.321
2015-08-21,-2.32
2015-08-24,-5.1597
2015-08-25,-1.2953000000000001
2015-08-26,3.4121
2015-08-27,2.4535
2015-08-28,1.6515
2015-08-31,-1.4622
2015-09-01,-2.2259
2015-09-02,0.9275
2015-09-03,0.5848
2015-09-04,-1.3289
2015-09-08,2.862
2015-09-09,-0.982
2015-09-10,-0.3306
2015-09-11,1.0779
2015-09-14,0.5742
2015-09-15,-0.8972
2015-09-16,0.2469
2015-09-17,1.0673
2015-09-18,-2.5995
2015-09-21,1.251
2015-09-22,-3.2125
2015-09-23,2.6383
2015-09-24,-1.7412999999999998
2015-09-25,0.6751
2015-09-28,-2.85
2015-09-29,-0.7765
2015-09-30,1.4783
2015-10-01,3.856
2015-10-02,0.5776
2015-10-05,1.8868
2015-10-06,-0.161
2015-10-07,2.7419000000000002
2015-10-08,1.6484
2015-10-09,-0.4633
2015-10-12,0.0
2015-10-13,-2.0171
2015-10-14,-0.6334
2015-10-15,2.7092
2015-10-16,0.7758
2015-10-19,2.0015
2015-10-20,1.1320999999999999
2015-10-21,-3.6567
2015-10-22,2.0139
2015-10-23,-3.5686999999999998
2015-10-26,0.0787
2015-10-27,0.3147
2015-10-28,4.0784
2015-10-29,-0.2261
2015-10-30,-1.2085
2015-11-02,1.3761
2015-11-03,2.7149
2015-11-04,-0.8811
2015-11-05,-0.1481
2015-11-06,0.6677
2015-11-09,-1.2528000000000001
2015-11-10,1.791
2015-11-11,-1.9062000000000001
2015-11-12,-0.6913
2015-11-13,-2.126
2015-11-16,0.6206
2015-11-17,-1.2336
2015-11-18,0.0
2015-11-19,-0.2342
2015-11-20,0.626
2015-11-23,1.1663999999999999
2015-11-24,0.3843
2015-11-25,1.608
2015-11-27,1.5072
2015-11-30,-1.0393
2015-12-01,1.2003
2015-12-02,-4.2254
2015-12-03,-3.2508
2015-12-04,0.56
2015-12-07,-0.2387
2015-12-08,-2.7113
2015-12-09,-0.2459
2015-12-10,1.2325
2015-12-11,-1.3799000000000001
2015-12-14,-0.9877
2015-12-15,0.5819
2015-12-16,1.7355
2015-12-17,-1.2998
2015-12-18,-4.1975
2015-12-21,2.5773
2015-12-22,0.5025
2015-12-23,1.25
2015-12-24,-0.2469
2015-12-28,0.0825
2015-12-29,1.4839
2015-12-30,-0.8936
2015-12-31,-2.0492
2016-01-04,-4.3515
2016-01-05,1.2248
2016-01-06,-3.8029
2016-01-07,-2.7853
2016-01-08,-0.5545
2016-01-11,3.0669
2016-01-12,-3.5167
2016-01-13,-6.3551
2016-01-14,-2.1955999999999998
2016-01-15,-4.7959
2016-01-19,-0.5359
2016-01-20,2.0474
2016-01-21,0.3168
2016-01-22,1.7894999999999999
2016-01-25,-1.1375
2016-01-26,5.6485
2016-01-27,-2.9703
2016-01-28,0.5102
2016-01-29,3.0457
2016-02-01,-2.5616
2016-02-02,-2.2245
2016-02-03,1.0341
2016-02-04,0.6141
2016-02-05,-0.6104
2016-02-08,-1.6377000000000002
2016-02-09,-1.3528
2016-02-10,1.1602999999999999
2016-02-11,-1.3816
2016-02-12,3.3191
2016-02-16,2.2798
2016-02-17,1.925
2016-02-18,1.7893
2016-02-19,0.0
2016-02-22,0.7812
2016-02-23,-0.969
2016-02-24,0.4892
2016-02-25,4.6738
2016-02-26,0.4651
2016-02-29,0.0926
2016-03-01,1.2026
2016-03-02,3.5648999999999997
2016-03-03,1.5004
2016-03-04,1.8260999999999998
2016-03-07,-1.0248
2016-03-08,-0.8628
2016-03-09,0.5222
2016-03-10,-0.2597
2016-03-11,2.5174
2016-03-14,-0.508
2016-03-15,0.4255
2016-03-16,-0.339
2016-03-17,0.5102
2016-03-18,1.0152
2016-03-21,-1.4238
2016-03-22,-2.0391
2016-03-23,-2.6019
2016-03-24,0.9795
2016-03-28,0.4409
2016-03-29,2.8095
2016-03-30,0.1708
2016-03-31,2.046
2016-04-01,-2.2556
2016-04-04,-0.0855
2016-04-05,-2.3097
2016-04-06,0.0
2016-04-07,-1.4011
2016-04-08,0.8881
2016-04-11,-0.4401
2016-04-12,1.6799
2016-04-13,0.6957
2016-04-14,-0.2591
2016-04-15,-0.1732
2016-04-18,-0.2602
2016-04-19,0.0
2016-04-20,-1.5652
2016-04-21,-1.1484
2016-04-22,-1.1618
2016-04-25,1.8083
2016-04-26,1.5098
2016-04-27,1.0499
2016-04-28,-0.4329
2016-04-29,-0.8696
2016-05-02,1.5789
2016-05-03,-0.4318
2016-05-04,4.3365
2016-05-05,1.9119000000000002
2016-05-06,2.8548
2016-05-09,0.6344
2016-05-10,1.8125
2016-05-11,-2.9412000000000003
2016-05-12,-1.0167
2016-05-13,-0.1629
2016-05-16,2.0392
2016-05-17,-1.9184999999999999
2016-05-18,-2.445
2016-05-19,-3.7594
2016-05-20,0.6076
2016-05-23,-0.9491
2016-05-24,1.6551
2016-05-25,1.0283
2016-05-26,-1.2723
2016-05-27,0.5155
2016-05-31,0.0
2016-06-01,0.1709
2016-06-02,1.7065000000000001
2016-06-03,-0.2517
2016-06-06,0.1682
2016-06-07,0.2519
2016-06-08,2.2613
2016-06-09,0.6552
2016-06-10,-1.8714
2016-06-13,0.9121
2016-06-14,0.1643
2016-06-15,0.9024
2016-06-16,1.7886
2016-06-17,1.5175999999999998
2016-06-20,0.3147
2016-06-21,-0.3137
2016-06-22,0.1574
2016-06-23,1.1783
2016-06-24,-3.7267
2016-06-27,-3.2258
2016-06-28,3.1667
2016-06-29,4.9273
2016-06-30,1.9245999999999999
2016-07-01,0.3776
2016-07-05,-1.5049000000000001
2016-07-06,0.9931
2016-07-07,0.9077
2016-07-08,1.3493
2016-07-11,3.3284000000000002
2016-07-12,1.9327
2016-07-13,-3.3006
2016-07-14,-0.5084
2016-07-15,1.8978000000000002
2016-07-18,1.8625
2016-07-19,0.0
2016-07-20,-0.9142
2016-07-21,0.9936
2016-07-22,0.6325
2016-07-25,0.2095
2016-07-26,-1.8815
2016-07-27,-1.2784
2016-07-28,0.7194
2016-07-29,1.2857
2016-08-01,-0.4937
2016-08-02,-1.3466
2016-08-03,0.9339
2016-08-04,-0.7829
2016-08-05,0.5739
2016-08-08,2.1398
2016-08-09,0.3492
2016-08-10,-1.3222
2016-08-11,-1.1989
2016-08-12,1.0171
2016-08-15,0.0
2016-08-16,-0.5706
2016-08-17,-1.2195
2016-08-18,0.2905
2016-08-19,1.231
2016-08-22,1.1445
2016-08-23,0.7779
2016-08-24,-0.2807
2016-08-25,0.2111
2016-08-26,-0.1404
2016-08-29,0.6329
2016-08-30,-0.0699
2016-08-31,0.0
2016-09-01,-0.979
2016-09-02,-1.5537
2016-09-06,-1.5065
2016-09-07,0.437
2016-09-08,-1.3053
2016-09-09,-2.6451000000000002
2016-09-12,1.3585
2016-09-13,-1.936
2016-09-14,1.4426999999999999
2016-09-15,1.5718999999999999
2016-09-16,-0.958
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.372
2016-09-22,1.3343
2016-09-23,1.1703999999999999
2016-09-26,-3.1092
2016-09-27,-1.4925
2016-09-28,1.6667
2016-09-29,-1.2668
2016-09-30,-0.6792
2016-10-03,0.6079
2016-10-04,-1.0574
2016-10-05,-2.0611
2016-10-06,1.1691
2016-10-07,-1.3096999999999999
2016-10-10,1.0929
2016-10-11,-1.4672
2016-10-12,1.2539
2016-10-13,1.3158
2016-10-14,-0.382
2016-10-17,0.3834
2016-10-18,0.9167
2016-10-19,2.8009
2016-10-20,-1.62
2016-10-21,-1.1976
2016-10-24,1.1364
2016-10-25,-0.824
2016-10-26,-2.1903
2016-10-27,-2.0849
2016-10-28,0.1577
2016-10-31,2.2835
2016-11-01,-1.1547
2016-11-02,-0.7788
2016-11-03,-1.3344
2016-11-04,1.3524
2016-11-07,1.2559
2016-11-08,1.3178
2016-11-09,0.9181
2016-11-10,0.834
2016-11-11,3.609
2016-11-14,4.59
2016-11-15,-0.7719
2016-11-16,-0.2829
2016-11-17,0.2837
2016-11-18,-1.0608
2016-11-21,-0.0715
2016-11-22,1.1445
2016-11-23,0.2829
2016-11-25,0.0705
2016-11-28,-0.2114
2016-11-29,0.565
2016-11-30,-0.1404
2016-12-01,-0.2813
2016-12-02,2.4683
