ticker,DGLT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-04-18,-2.7027
2016-04-19,-0.3125
2016-04-20,-3.8662
2016-04-21,1.4493
2016-04-22,7.8571
2016-04-25,0.6623
2016-04-26,0.0
2016-04-27,0.0
2016-04-28,0.0
2016-04-29,-7.8947
2016-05-02,0.0357
2016-05-03,2.8204000000000002
2016-05-04,2.6736
2016-05-05,-9.9087
2016-05-06,-9.9099
2016-05-09,-10.0
2016-05-10,-7.4074
2016-05-11,32.0
2016-05-12,17.8788
2016-05-13,-4.8843
2016-05-16,0.0
2016-05-17,2.1622
2016-05-18,0.5291
2016-05-19,2.6316
2016-05-20,-5.1282
2016-05-23,-2.973
2016-05-24,-2.507
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,4.8571
2016-05-31,-1.9074
2016-06-01,2.5347
2016-06-02,0.237
2016-06-03,-0.2365
2016-06-06,-3.8773999999999997
2016-06-07,0.0176
2016-06-08,1.4089
2016-06-09,-0.2431
2016-06-10,3.0641
2016-06-13,-0.0338
2016-06-14,0.0338
2016-06-15,-10.8108
2016-06-16,-1.553
2016-06-17,-1.5006
2016-06-20,0.0
2016-06-21,12.5
2016-06-22,0.0
2016-06-23,-2.7778
2016-06-24,-0.2857
2016-06-27,0.2507
2016-06-28,-2.8224
2016-06-29,23.5294
2016-06-30,19.0476
2016-07-01,-2.4
2016-07-05,-7.7869
2016-07-06,8.8889
2016-07-07,22.449
2016-07-08,0.0
2016-07-11,-13.1667
2016-07-12,3.6468
2016-07-13,-7.4074
2016-07-14,0.0
2016-07-15,0.0
2016-07-18,4.0
2016-07-19,-1.9231
2016-07-20,0.0
2016-07-21,17.647100000000002
2016-07-22,-11.6667
2016-07-25,0.9434
2016-07-26,12.1495
2016-07-27,0.0
2016-07-28,-11.1111
2016-07-29,0.0
2016-08-01,6.25
2016-08-02,0.0
2016-08-03,5.8824
2016-08-04,-11.6667
2016-08-05,-0.6289
2016-08-08,1.2658
2016-08-09,-0.125
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,-6.1327
2016-08-15,4.0
2016-08-16,1.2821
2016-08-17,-0.6329
2016-08-18,-10.828
2016-08-19,-0.1429
2016-08-22,-3.4335
2016-08-23,3.7037
2016-08-24,0.0
2016-08-25,-7.1429
2016-08-26,0.0
2016-08-29,-8.461500000000001
2016-08-30,-0.8403
2016-08-31,1.6949
2016-09-01,-4.1667
2016-09-02,3.8261
2016-09-06,0.1675
2016-09-07,0.3344
2016-09-08,0.0
2016-09-09,0.5
2016-09-12,11.9403
2016-09-13,0.0
2016-09-14,3.7037
2016-09-15,0.0
2016-09-16,5.7143
2016-09-19,8.1081
2016-09-20,-15.0
2016-09-21,1.4706000000000001
2016-09-22,-5.7971
2016-09-23,-2.7692
2016-09-26,-3.481
2016-09-27,3.2787
2016-09-28,0.0
2016-09-29,40.4762
2016-09-30,-20.113
2016-10-03,-14.9929
2016-10-04,16.4725
2016-10-05,-1.4285999999999999
2016-10-06,0.0
2016-10-07,-12.8986
2016-10-10,14.8087
2016-10-11,-13.0435
2016-10-12,-0.1667
2016-10-13,2.5042
2016-10-14,-2.2801
2016-10-17,2.3333
2016-10-20,-2.2801
2016-10-24,-16.6667
2016-10-25,0.0
2016-10-26,0.0
2016-10-27,5.0
2016-10-31,-0.6667
2016-11-01,-0.2876
2016-11-02,0.0
2016-11-04,-5.0962
2016-11-07,6.383
2016-11-09,-4.7619
2016-11-11,-3.2
2016-11-14,-2.8926
2016-11-15,2.9787
2016-11-18,-1.8595000000000002
2016-11-21,2.1053
2016-11-22,-1.0309
2016-11-28,-3.125
2016-11-29,1.0753
2016-12-02,-9.5745
2016-12-05,9.1765
2016-12-06,6.25
2016-12-07,-2.6369
2016-12-08,0.0
2016-12-13,-1.0417
2016-12-14,-1.0526
2016-12-16,-4.4681
2016-12-19,0.2227
2016-12-20,-6.8889
2016-12-21,-2.148
2016-12-22,0.0
2016-12-27,0.0
2016-12-28,-1.2195
2016-12-29,-4.0494
2016-12-30,-3.4997
2017-01-03,6.4
2017-01-04,-9.5238
2017-01-05,-1.662
2017-01-06,4.2254
2017-01-09,1.3514
2017-01-10,0.0
2017-01-11,5.3333
2017-01-12,1.2658
2017-01-13,-17.5
2017-01-17,-0.6061
2017-01-18,0.0
2017-01-19,-0.9146
2017-01-20,7.6923
2017-01-23,-2.8571
2017-01-24,18.8235
2017-01-25,2.7228
2017-01-26,2.4096
2017-01-27,5.8824
2017-01-30,0.0
2017-02-01,-6.6667
2017-02-02,0.0
2017-02-03,-7.1429
2017-02-06,2.5641
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,3.75
2017-02-14,-3.6145
2017-02-16,0.0
2017-02-17,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-28,0.0
2017-03-02,2.125
2017-03-03,0.3672
2017-03-06,1.2195
2017-03-07,14.4578
2017-03-08,-10.526299999999999
2017-03-09,-2.3529
2017-03-10,-30.9237
2017-03-13,2.3256
2017-03-14,1.6278000000000001
2017-03-15,2.6471999999999998
2017-03-16,-2.7015000000000002
2017-03-17,1.7086999999999999
2017-03-20,-4.4581
2017-03-21,1.24
2017-03-22,0.1451
2017-03-23,-1.1364
2017-03-24,1.1494
2017-03-27,-1.5909
2017-03-28,-0.3002
2017-03-29,-1.552
2017-03-30,-1.1764999999999999
2017-03-31,1.0402
2017-04-03,3.6834
2017-04-04,-1.1364
2017-04-05,1.1494
2017-04-06,-0.0341
2017-04-07,0.0313
2017-04-10,-0.1449
2017-04-11,2.424
2017-04-12,-4.4444
2017-04-13,-1.1628
2017-04-17,1.3294000000000001
2017-04-18,-1.5442
2017-04-19,-2.1226
2017-04-20,1.9518
2017-04-21,-3.0962
2017-04-24,-3.6585
2017-04-25,-2.2278000000000002
2017-04-26,-1.2947
2017-04-27,4.9318
2017-04-28,-4.0
2017-05-01,-8.8542
2017-05-02,0.0
2017-05-03,1.1429
2017-05-04,-4.5763
2017-05-05,-5.2694
2017-05-08,2.8125
2017-05-09,7.9027
2017-05-10,3.3239
2017-05-11,6.325
2017-05-12,0.0
2017-05-15,-6.4103
2017-05-16,-4.1096
2017-05-17,-0.2857
2017-05-18,-6.8768
2017-05-19,9.538499999999999
2017-05-22,-2.2226
2017-05-23,3.135
2017-05-24,0.2786
2017-05-25,2.2222
2017-05-26,-0.8152
2017-05-30,-3.8356
2017-05-31,3.9886
2017-06-01,3.8356
2017-06-02,-3.9577999999999998
2017-06-05,-3.8462
2017-06-06,4.2857
2017-06-07,-0.5479
2017-06-08,0.2755
2017-06-09,1.0989
2017-06-12,-5.4348
2017-06-13,5.4597999999999995
2017-06-14,1.0899
2017-06-15,1.0782
2017-06-16,-16.0
2017-06-19,5.3968
2017-06-20,0.0
2017-06-21,2.4096
2017-06-22,-2.0588
2017-06-23,6.3063
2017-06-26,-6.7232
2017-06-27,-3.6947
2017-06-28,-1.8868
2017-06-29,1.6026
2017-06-30,0.3155
2017-07-03,-4.0881
2017-07-05,-6.2295
2017-07-06,-2.7972
2017-07-07,5.3957
2017-07-10,1.7065000000000001
2017-07-11,-0.6711
2017-07-12,-7.0946
2017-07-13,5.8182
2017-07-14,-5.1546
2017-07-17,-3.6231999999999998
2017-07-18,-2.6316
2017-07-19,-1.5444
2017-07-20,1.1764999999999999
2017-07-21,-6.2016
2017-07-24,8.657
2017-07-25,-0.7416
2017-07-26,-2.682
2017-07-27,-20.8661
2017-07-28,13.9303
2017-07-31,-6.5502
2017-08-01,-4.2056000000000004
2017-08-02,-6.3415
2017-08-03,-4.6875
2017-08-04,-59.6175
2017-08-07,-13.3965
2017-08-08,-42.1875
2017-08-09,54.0541
2017-08-10,3.4211
2017-08-11,-31.7388
2017-08-14,-43.0417
2017-08-15,-14.7033
2017-08-16,435.243
2017-10-06,-71.3303
2017-10-09,16.6667
2017-10-10,-20.0
2017-10-11,21.4286
2017-10-12,47.0588
2017-10-13,2.0
2017-10-16,56.8627
2017-10-17,-30.0
2017-10-18,-8.9286
2017-10-19,-11.7647
2017-10-20,22.2222
2017-10-23,-7.2727
2017-10-24,-21.5686
2017-10-25,15.0
