ticker,BUSC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-10-30,0.0
2009-11-03,-0.4
2009-11-05,-9.6386
2009-11-09,-20.0
2009-11-11,-30.5556
2009-11-12,-8.0
2009-11-16,0.0
2009-11-19,0.0
2009-11-20,0.0
2009-11-25,-86.9565
2009-12-07,0.0
2009-12-14,0.0
2009-12-15,0.0
2009-12-16,0.0
2009-12-23,0.0
2009-12-28,6.6667
2010-01-05,12.5
2010-01-06,0.0
2010-01-11,1511.1111
2010-01-12,-0.6897
2010-01-19,-21.875
2010-01-20,-13.7778
2010-01-25,-89.6907
2010-01-27,270.0
2010-01-28,-72.973
2010-01-29,0.0
2010-02-23,0.0
2010-03-02,50.0
2010-03-08,233.3333
2010-03-09,0.0
2010-03-10,-25.0
2010-03-11,-60.0
2010-03-12,0.0
2010-03-16,83.3333
2010-03-17,-45.4545
2010-03-18,-16.6667
2010-03-22,80.0
2010-03-23,-33.3333
2010-03-29,0.0
2010-03-30,23.3333
2010-04-05,-18.9189
2010-04-16,50.0
2010-04-23,-33.3333
2010-04-26,0.0
2010-04-29,0.0
2010-05-03,-16.6667
2010-05-13,0.0
2010-05-19,0.0
2010-05-25,0.0
2010-06-01,0.0
2010-06-07,0.0
2010-06-16,20.0
2010-06-18,0.0
2010-08-09,0.0
2010-08-23,0.0
2010-08-25,0.0
2010-09-09,0.0
2010-09-16,-33.3333
2010-09-29,-25.0
2010-10-13,0.0
2010-10-14,-13.3333
2010-10-18,0.0
2010-10-21,0.0
2010-10-27,-90.3846
2010-11-03,60.0
2010-11-05,-45.0
2010-11-19,0.0
2010-12-01,81.8182
2010-12-08,50.0
2010-12-10,0.0
2010-12-17,-33.3333
2010-12-22,50.0
2010-12-27,733.3333
2010-12-28,-64.0
2010-12-31,-38.8889
2011-01-06,18.1818
2011-01-18,7.6923
2011-01-21,185.7143
2011-01-24,5.0
2011-01-26,23.8095
2011-01-27,53.8462
2011-01-31,0.0
2011-02-02,-47.5
2011-02-03,80.9524
2011-02-04,-7.8947
2011-02-09,-14.2857
2011-02-11,0.0
2011-02-16,0.0
2011-02-17,6.6667
2011-02-18,0.0
2011-02-24,0.0
2011-02-28,0.0
2011-03-02,0.0
2011-03-04,-6.25
2011-03-07,0.0
2011-03-09,-16.6667
2011-03-10,0.0
2011-03-11,0.0
2011-03-14,0.0
2011-03-15,0.0
2011-03-16,16.0
2011-03-17,-13.7931
2011-03-18,-20.0
2011-03-21,0.0
2011-03-22,-25.0
2011-03-23,0.0
2011-03-24,0.0
2011-03-25,0.0
2011-03-29,0.0
2011-03-31,0.0
2011-04-01,0.0
2011-04-04,0.0
2011-04-13,0.0
2011-04-15,0.0
2011-04-28,0.0
2011-05-02,0.0
2011-05-17,6.6667
2011-05-24,0.0
2011-05-27,0.0
2011-06-03,0.0
2011-06-28,0.0
2011-07-01,0.0
2011-07-06,0.0
2011-08-16,0.0
2011-08-22,0.0
2011-08-29,0.0
2011-09-13,0.0
2011-09-15,0.0
2011-09-16,0.0
2011-10-13,0.0
2011-10-31,0.0
2011-11-07,0.0
2011-11-22,31.25
2011-12-12,-52.381
2011-12-21,-91.0
2011-12-22,-44.4444
2011-12-23,0.0
2012-01-04,3900.0
2012-01-05,0.0
2012-01-17,5.0
2012-01-18,4.7619
2012-01-26,-4.5455
2012-01-31,-46.4286
2012-02-01,-20.0
2012-03-21,11.1111
2012-04-03,100.0
2012-04-11,-50.0
2012-04-23,0.0
2012-05-02,82.5
2012-05-04,-67.1233
2012-05-15,33.3333
2012-06-14,150.0
2012-06-21,-82.5
2012-07-11,42.8571
2012-08-13,0.0
2012-08-17,0.0
2012-08-20,100.0
2012-09-06,0.0
2012-09-14,0.0
2012-09-26,0.0
2012-10-01,0.0
2012-10-10,0.0
2012-11-21,0.0
2012-11-23,0.0
2012-11-30,10.0
2012-12-10,0.0
2012-12-13,0.0
2012-12-31,0.0
2013-01-11,81.8182
2013-02-01,0.0
2013-03-18,-45.0
2013-04-04,0.0
2013-04-24,0.0
2013-04-25,81.8182
2013-06-20,-45.0
2013-07-17,0.0
2013-07-18,0.0
2013-07-30,-81.8182
2013-08-13,200.0
2013-08-19,0.0
2013-08-30,0.0
2013-09-09,0.0
2013-10-07,16.6667
2013-12-04,-14.2857
2013-12-06,0.0
2014-02-11,0.0
2014-03-25,0.0
2014-04-10,0.0
2014-05-30,233.3333
2014-06-02,-25.0
2014-06-04,-30.0
2014-06-06,0.0
2014-06-09,0.0
2014-06-13,0.0
2014-06-16,-42.8571
2014-06-23,16.6667
2014-07-31,0.0
2014-08-22,-14.2857
2014-09-04,0.0
2014-11-05,4.1667
2014-11-14,0.0
2015-02-25,-4.0
2015-02-26,116.6667
2015-07-08,-84.6154
2018-02-28,-99.9
2019-01-09,-99.0
2019-03-26,9900.0
2019-05-15,-99.0
2019-07-12,900.0
