ticker,STON US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-12-10,-1.0782
2014-12-11,-0.1168
2014-12-12,-0.3118
2014-12-15,-0.6255
2014-12-16,-0.7081
2014-12-17,0.317
2014-12-18,0.5134
2014-12-19,-0.3143
2014-12-22,0.9066
2014-12-23,0.3906
2014-12-24,0.9728
2014-12-26,-0.7322
2014-12-29,0.8929
2014-12-30,0.077
2014-12-31,-0.9227
2015-01-02,1.0089
2015-01-05,-0.3842
2015-01-06,-0.0771
2015-01-07,0.3474
2015-01-08,0.4231
2015-01-09,-0.4596
2015-01-12,0.3078
2015-01-13,-0.1918
2015-01-14,-0.4996
2015-01-15,0.1545
2015-01-16,0.2314
2015-01-20,3.8861
2015-01-21,-1.0
2015-01-22,1.8331
2015-01-23,0.3674
2015-01-26,2.672
2015-01-27,1.2833999999999999
2015-01-28,-1.3024
2015-01-29,0.7489
2015-01-30,-0.0354
2015-02-02,1.7351
2015-02-03,0.7658
2015-02-04,-1.1299
2015-02-05,-0.1071
2015-02-06,-0.7508
2015-02-09,-0.3602
2015-02-10,-0.1446
2015-02-11,1.3396
2015-02-12,1.2504
2015-02-13,-1.1291
2015-02-17,-0.8565
2015-02-18,-0.18
2015-02-19,2.8489
2015-02-20,1.1571
2015-02-23,-0.2773
2015-02-24,-1.7032
2015-02-25,-0.7426
2015-02-26,-0.57
2015-02-27,1.3973
2015-03-02,1.2014
2015-03-03,-1.4316
2015-03-04,0.2834
2015-03-05,-0.5652
2015-03-06,0.3197
2015-03-09,0.1416
2015-03-10,-0.4597
2015-03-11,-0.4973
2015-03-12,2.6062
2015-03-13,-2.366
2015-03-16,0.2495
2015-03-17,1.7064
2015-03-18,0.1748
2015-03-19,-0.5234
2015-03-20,-0.5963
2015-03-23,1.3056
2015-03-24,-0.3135
2015-03-25,-0.1747
2015-03-26,0.735
2015-03-27,0.278
2015-03-30,0.2772
2015-03-31,-0.4492
2015-04-01,0.6942
2015-04-02,0.6205
2015-04-06,0.2055
2015-04-07,-0.8205
2015-04-08,0.7584
2015-04-09,0.5474
2015-04-10,-0.1701
2015-04-13,1.1588
2015-04-14,-0.9434
2015-04-15,-1.3605
2015-04-16,1.6897
2015-04-17,0.0678
2015-04-20,1.1183
2015-04-21,0.2681
2015-04-22,-0.0668
2015-04-23,0.1338
2015-04-24,2.0374
2015-04-27,-1.3748
2015-04-28,2.0577
2015-04-29,-1.561
2015-04-30,1.0902
2015-05-01,-1.1111
2015-05-04,0.9115
2015-05-05,-1.7732
2015-05-06,-0.6471
2015-05-07,-0.4457
2015-05-08,-0.1722
2015-05-11,1.7591999999999999
2015-05-12,1.0847
2015-05-13,-0.2012
2015-05-14,0.9409
2015-05-15,-0.1997
2015-05-18,1.0674
2015-05-19,-0.5611
2015-05-20,-0.6306
2015-05-21,-1.6366
2015-05-22,1.0187
2015-05-26,0.8739
2015-05-27,-0.3999
2015-05-28,0.368
2015-05-29,1.7332999999999998
2015-06-01,-0.8519
2015-06-02,0.694
2015-06-03,-0.2954
2015-06-04,-1.4483
2015-06-05,0.1336
2015-06-08,-1.0007
2015-06-09,0.2358
2015-06-10,0.4034
2015-06-11,1.1383
2015-06-12,-0.8275
2015-06-15,-0.5007
2015-06-16,0.3355
2015-06-17,0.1003
2015-06-18,-0.2004
2015-06-19,1.9746000000000001
2015-06-22,-0.8205
2015-06-23,1.092
2015-06-24,-0.8511
2015-06-25,0.033
2015-06-26,0.165
2015-06-29,-1.6474
2015-06-30,1.005
2015-07-01,3.3499
2015-07-02,1.0591
2015-07-06,-0.9527
2015-07-07,-4.4886
2015-07-08,2.4840999999999998
2015-07-09,-0.6878
2015-07-10,-0.0989
2015-07-13,0.2311
2015-07-14,0.8893
