ticker,WLDN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-09-25,0.7299
2012-09-26,11.5942
2012-09-27,7.1429
2012-09-28,3.0303
2012-10-01,-1.1764999999999999
2012-10-02,-4.1667
2012-10-03,-7.4534
2012-10-04,6.0403
2012-10-05,-3.1646
2012-10-08,3.9215999999999998
2012-10-09,-2.5157
2012-10-15,8.3871
2012-10-16,0.0
2012-10-17,0.0
2012-10-18,-5.3571
2012-10-19,-3.1368
2012-10-22,-0.0081
2012-10-23,0.0
2012-10-24,3.8961
2012-10-25,0.625
2012-10-26,-3.1056
2012-10-31,-1.2821
2012-11-01,-0.6494
2012-11-02,2.6144
2012-11-07,2.5478
2012-11-08,-7.4534
2012-11-09,2.6846
2012-11-12,9.8039
2012-11-13,0.5952
2012-11-14,9.3306
2012-11-15,7.161
2012-11-16,2.3232
2012-11-19,4.6397
2012-11-20,-3.3019
2012-11-21,0.0061
2012-11-23,3.4083
2012-11-26,-2.8302
2012-11-27,0.9709
2012-11-28,0.9615
2012-11-29,-1.8333
2012-11-30,4.293
2012-12-03,-1.3953
2012-12-04,0.0
2012-12-06,1.4151
2012-12-07,0.0
2012-12-10,0.4593
2012-12-11,1.3948
2012-12-12,-1.3699
2012-12-13,0.0
2012-12-14,0.0
2012-12-17,4.1667
2012-12-18,-2.2222
2012-12-19,0.9091
2012-12-20,-1.8018
2012-12-21,0.0
2012-12-27,0.9174
2012-12-28,1.3636
2012-12-31,-0.4484
2013-01-02,3.1532
2013-01-04,-1.7467000000000001
2013-01-07,0.0
2013-01-09,0.4444
2013-01-10,0.4369
2013-01-11,1.3216999999999999
2013-01-14,-6.5167
2013-01-15,0.0
2013-01-16,4.6512
2013-01-17,0.4444
2013-01-18,-4.8673
2013-01-22,-0.4651
2013-01-23,0.0
2013-01-24,-1.396
2013-01-25,3.3114
2013-01-28,-2.0183
2013-01-29,-1.2172
2013-01-30,2.3697
2013-01-31,0.0
2013-02-01,0.0
2013-02-05,-1.3889
2013-02-06,0.0
2013-02-11,-3.2864
2013-02-12,2.4272
2013-02-14,-1.8957000000000002
2013-02-15,0.0
2013-02-19,0.0
2013-02-20,0.9662
2013-02-21,-1.9139
2013-02-22,0.0
2013-02-25,-1.9512
2013-02-26,10.9453
2013-02-28,-1.7936999999999999
2013-03-01,5.0228
2013-03-06,0.0
2013-03-07,-3.4783
2013-03-08,3.6036
2013-03-11,-6.087
2013-03-12,2.3148
2013-03-13,0.0
2013-03-14,-0.4525
2013-03-15,2.2727
2013-03-18,-5.7778
2013-03-19,0.0
2013-03-20,1.2736
2013-03-21,3.4001
2013-03-28,-0.4505
2013-04-01,-1.3518
2013-04-02,1.829
2013-04-03,0.0
2013-04-04,0.9009
2013-04-08,2.6786
2013-04-09,-0.0054
2013-04-10,2.6143
2013-04-11,5.5085
2013-04-12,-5.4618
2013-04-15,-0.1699
2013-04-18,-5.1064
2013-04-19,-1.3453
2013-04-22,0.0
2013-04-23,2.2727
2013-04-26,0.0
2013-05-01,0.0
2013-05-06,2.6667
2013-05-07,2.5974
2013-05-08,-4.6414
2013-05-09,0.0
2013-05-10,9.7345
2013-05-13,-1.6129
2013-05-14,4.5082
2013-05-15,-9.4118
2013-05-16,10.3896
2013-05-17,-1.5686
2013-05-20,1.1952
2013-05-21,0.3937
2013-05-22,1.9607999999999999
2013-05-23,3.0769
2013-05-24,-0.3731
2013-05-28,4.8689
2013-05-29,5.2143
2013-05-30,0.4752
2013-05-31,0.0
2013-06-03,0.0
2013-06-04,1.3471
2013-06-05,4.0043
2013-06-06,2.8846
2013-06-07,4.9844
2013-06-10,9.792300000000001
2013-06-11,0.0
2013-06-12,-2.4324
2013-06-13,-1.9391
2013-06-14,-3.6723
2013-06-17,-5.8651
2013-06-18,0.0
2013-06-19,-7.4766
2013-06-20,-8.4175
2013-06-21,-1.1029
2013-06-24,1.487
2013-06-25,-6.2271
2013-06-26,4.6875
2013-06-27,13.2463
2013-06-28,-0.8237
2013-07-01,-3.9867
2013-07-02,3.1142
2013-07-03,-6.0403
2013-07-05,6.0714
2013-07-08,3.7037
2013-07-09,-6.1729
2013-07-10,-1.3798
2013-07-11,-2.1053
2013-07-12,-1.0753
2013-07-15,1.4493
2013-07-16,3.5714
2013-07-17,2.7586
2013-07-18,0.0
2013-07-19,-2.6846
2013-07-22,1.3793
2013-07-23,-0.6803
2013-07-24,0.0
2013-07-25,-3.7671
2013-07-26,-0.3559
2013-07-29,1.7856999999999998
2013-07-30,-1.4035
2013-08-01,3.9146
2013-08-02,-0.6849
2013-08-05,3.4138
2013-08-06,-1.638
2013-08-07,-3.0467
2013-08-08,1.7483
2013-08-09,3.7801
2013-08-12,-0.6623
2013-08-13,-0.6667
2013-08-14,-1.0067
2013-08-15,-1.0169
2013-08-16,1.0274
2013-08-19,-1.0169
2013-08-20,14.725999999999999
2013-08-21,3.8806000000000003
2013-08-22,1.4655
2013-08-23,0.2513
2013-08-26,1.702
2013-08-27,3.6075
2013-08-28,-1.0724
2013-08-29,1.355
2013-08-30,0.2674
2013-09-03,0.0
2013-09-04,-0.5333
2013-09-05,-0.2681
2013-09-06,0.2688
2013-09-09,-3.7534
2013-09-10,0.8357
2013-09-11,-4.9724
2013-09-12,-2.6163
2013-09-13,2.0896
2013-09-16,1.462
2013-09-17,1.7290999999999999
2013-09-18,3.6827
2013-09-19,-4.918
2013-09-20,6.3218
2013-09-23,-2.7027
2013-09-24,-1.3889
2013-09-25,0.0704
2013-09-26,3.3075
2013-09-27,1.0899
2013-09-30,0.0
2013-10-01,0.5357
2013-10-02,-0.3284
2013-10-03,-0.2051
2013-10-04,-1.0782
2013-10-07,0.2725
2013-10-08,-1.875
2013-10-09,-0.0277
2013-10-10,1.662
2013-10-11,-0.8174
2013-10-14,5.2198
2013-10-15,4.4386
2013-10-16,0.0
2013-10-17,-0.875
2013-10-18,-7.6923
2013-10-21,3.2787
2013-10-22,-1.0582
2013-10-23,-1.8717000000000001
2013-10-24,0.8174
2013-10-25,1.8919000000000001
2013-10-28,0.7958
2013-10-29,0.7895
2013-10-30,-0.5222
2013-10-31,1.2861
2013-11-01,-1.5289000000000001
2013-11-04,-3.1579
2013-11-05,-0.8152
2013-11-06,0.0
