ticker,EYE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-08,-0.0944
2020-06-09,-3.2116
2020-06-10,-2.2446
2020-06-11,-8.3527
2020-06-12,2.1968
2020-06-15,-0.2665
2020-06-16,4.9875
2020-06-17,1.5270000000000001
2020-06-18,2.5401
2020-06-19,-0.3585
2020-06-22,3.2058
2020-06-23,0.3487
2020-06-24,-3.8534
2020-06-25,-0.1971
2020-06-26,-5.2008
2020-06-29,5.2778
2020-06-30,0.6596
2020-07-01,0.5242
2020-07-02,-0.1956
2020-07-06,-0.8818
2020-07-07,-3.9539
2020-07-08,1.2349999999999999
2020-07-09,-5.5574
2020-07-10,3.4087
2020-07-13,-0.1041
2020-07-14,0.3821
2020-07-15,5.5017
2020-07-16,0.9839
2020-07-17,-2.1436
2020-07-20,-1.1284
2020-07-21,4.2967
2020-07-22,2.607
2020-07-23,0.4705
2020-07-24,-2.1855
2020-07-27,3.0642
2020-07-28,-2.8182
2020-07-29,2.4538
2020-07-30,-3.4526
2020-07-31,3.0606
