ticker,AMH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-10-07,0.5405
2016-10-10,-0.2444
2016-10-11,-0.539
2016-10-12,0.7882
2016-10-13,0.9775
2016-10-14,-1.5973000000000002
2016-10-17,0.9838
2016-10-18,1.2664
2016-10-19,1.4910999999999999
2016-10-20,0.5213
2016-10-21,0.4715
2016-10-24,0.1408
2016-10-25,0.1406
2016-10-26,-1.8718
2016-10-27,-1.7644
2016-10-28,0.0971
2016-10-31,2.3763
2016-11-01,-3.4107
2016-11-02,-0.9318
2016-11-03,0.7921
2016-11-04,4.3713
2016-11-07,1.3176
2016-11-08,-1.347
2016-11-09,-2.307
2016-11-10,-1.1566
2016-11-11,-0.0488
2016-11-14,0.1463
2016-11-15,-0.0487
2016-11-16,1.5107
2016-11-17,-1.1042
2016-11-18,2.6214
2016-11-21,-0.8515
2016-11-22,0.1431
2016-11-23,0.9052
2016-11-25,0.3305
2016-11-28,0.0941
2016-11-29,-0.7522
2016-11-30,-0.1895
2016-12-01,-2.8477
2016-12-02,1.6120999999999999
2016-12-05,1.9231
2016-12-06,-0.4245
2016-12-07,-0.1421
2016-12-08,-0.1898
2016-12-09,0.9981
2016-12-12,-2.4
2016-12-13,-1.0125
2016-12-14,-3.2715
2016-12-15,-0.3534
2016-12-16,1.0132
2016-12-19,1.7553
2016-12-20,1.0843
2016-12-21,-1.3164
2016-12-22,0.6423
2016-12-23,0.9327
2016-12-27,0.3405
2016-12-28,-0.1939
2016-12-29,1.1656
2016-12-30,0.7201
2017-01-03,-0.9533
2017-01-04,0.8181
2017-01-05,1.2888
2017-01-06,-0.5184
2017-01-09,-3.0791
2017-01-10,-0.5865
2017-01-11,0.4425
2017-01-12,1.5663
2017-01-13,0.5301
2017-01-17,-0.1918
2017-01-18,0.5764
2017-01-19,0.0
2017-01-20,0.9074
2017-01-23,0.3786
2017-01-24,-0.4715
2017-01-25,1.2316
2017-01-26,0.3276
2017-01-27,0.0933
2017-01-30,2.1435
2017-01-31,1.6423
2017-02-01,-0.1346
2017-02-02,1.0787
2017-02-03,0.4891
2017-02-06,0.708
2017-02-07,-0.7469
2017-02-08,0.4427
2017-02-09,0.6611
2017-02-10,0.2627
2017-02-13,-0.131
2017-02-14,0.1749
2017-02-15,0.1309
2017-02-16,-0.0872
2017-02-17,0.2618
2017-02-21,1.0879
2017-02-22,-0.1722
2017-02-23,0.8193
2017-02-24,1.1548
2017-02-27,0.0846
2017-02-28,0.4225
2017-03-01,-1.5145
2017-03-02,0.3845
2017-03-03,-0.2553
2017-03-06,-0.8959
2017-03-07,-1.0331
2017-03-08,-1.3484
2017-03-09,-2.2046
2017-03-10,0.4959
2017-03-13,0.4486
2017-03-14,-0.1791
2017-03-15,0.7623
2017-03-16,1.5131000000000001
2017-03-17,1.6659000000000002
2017-03-20,-0.5175
2017-03-21,-0.6935
2017-03-22,1.3968
2017-03-23,1.1623
2017-03-24,-0.5106
2017-03-27,-0.941
