ticker,NVFY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-17,-1.3514
2015-06-18,0.0
2015-06-19,0.9132
2015-06-22,0.0
2015-06-23,-0.4525
2015-06-24,-3.6364
2015-06-25,0.9434
2015-06-26,-1.8692
2015-06-29,-2.8571
2015-06-30,-8.3333
2015-07-01,5.3476
2015-07-02,-0.5076
2015-07-06,5.102
2015-07-07,0.0
2015-07-08,-1.9417
2015-07-09,3.9604
2015-07-10,8.0952
2015-07-13,0.0
2015-07-14,-0.4405
2015-07-15,-1.3274
2015-07-16,-13.901299999999999
2015-07-17,3.6458
2015-07-20,-5.5276
2015-07-21,1.5957
2015-07-22,-2.0942
2015-07-23,-5.3476
2015-07-24,2.8249
2015-07-27,0.6387
2015-07-28,5.3709
2015-07-29,13.9896
2015-07-30,0.0057
2015-07-31,10.4483
2015-08-03,-5.7047
2015-08-04,6.0499
2015-08-05,-1.2397
2015-08-06,1.2605
2015-08-07,2.8754
2015-08-10,-2.4
2015-08-11,2.8689
2015-08-12,-4.7809
2015-08-13,3.7657
2015-08-14,0.8065
2015-08-17,-4.4
2015-08-18,-10.4603
2015-08-19,-8.4171
2015-08-20,-3.6482
2015-08-21,3.2634
2015-08-24,-2.5897
2015-08-25,1.0792
2015-08-26,0.5208
2015-08-27,2.5907
2015-08-28,0.0316
2015-08-31,8.0467
2015-09-01,6.5421
2015-09-02,0.8772
2015-09-03,2.6087
2015-09-04,-1.2711999999999999
2015-09-08,-6.4378
2015-09-09,4.1284
2015-09-10,-2.2026
2015-09-11,1.8018
2015-09-14,0.885
2015-09-15,3.0702
2015-09-16,-1.2766
2015-09-17,2.5862
2015-09-18,4.2017
2015-09-21,-7.2581
2015-09-22,1.7391
2015-09-23,-1.2821
2015-09-24,-1.2987
2015-09-25,-0.4386
2015-09-28,0.435
2015-09-29,-1.3104
2015-09-30,1.3333
2015-10-01,-0.8772
2015-10-02,-0.885
2015-10-05,0.8873
2015-10-06,0.0055
2015-10-07,0.0
2015-10-08,0.885
2015-10-09,-2.193
2015-10-12,2.2422
2015-10-13,-3.0702
2015-10-14,1.81
2015-10-15,1.3333
2015-10-16,0.0
2015-10-19,0.0
2015-10-20,-0.4386
2015-10-21,-1.7621
2015-10-22,1.7936999999999999
2015-10-23,0.4405
2015-10-26,-3.0702
2015-10-27,1.3575
2015-10-28,0.8929
2015-10-29,0.885
2015-10-30,-3.5088
2015-11-02,2.2727
2015-11-03,-0.4444
2015-11-04,-0.4464
2015-11-05,0.0
2015-11-06,0.4484
2015-11-09,-1.7856999999999998
2015-11-10,1.8182
2015-11-11,0.0
2015-11-12,-1.197
2015-11-13,2.567
2015-11-16,-5.7269
2015-11-17,-0.4673
2015-11-18,1.4085
2015-11-19,1.8519
2015-11-20,-1.8182
2015-11-23,-1.8519
2015-11-24,0.4717
2015-11-25,-0.4695
2015-11-27,0.4717
2015-11-30,-6.1033
2015-12-01,3.0
2015-12-02,-0.4854
2015-12-03,0.0
2015-12-04,0.4878
2015-12-07,1.4563
2015-12-08,1.4354
2015-12-09,-2.3585
2015-12-10,-2.8986
2015-12-11,0.0
2015-12-14,-3.9801
2015-12-15,6.7358
2015-12-16,-3.8834999999999997
2015-12-17,1.0101
2015-12-18,0.5
2015-12-21,-2.9851
2015-12-22,1.0256
2015-12-23,-0.5076
2015-12-24,-3.0612
2015-12-28,-1.0526
2015-12-29,2.1277
2015-12-30,-7.0313
2015-12-31,0.8403
2016-01-04,-2.7778
2016-01-05,1.1429
2016-01-06,0.1412
2016-01-07,7.7504
2016-01-08,-10.4653
2016-01-11,-4.0936
2016-01-12,-14.0244
2016-01-13,0.0
2016-01-14,2.1277
2016-01-15,-9.7222
2016-01-19,2.3077
2016-01-20,-2.2556
2016-01-21,0.0
2016-01-22,-0.0096
2016-01-25,-6.9141
2016-01-26,0.0
2016-01-27,4.1322
2016-01-28,-2.371
2016-01-29,-3.2619
2016-02-01,14.2857
2016-02-02,0.0
2016-02-03,5.8824
2016-02-04,-1.3889
2016-02-05,8.4507
2016-02-08,-6.4935
2016-02-09,-9.0278
