ticker,QTNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-07-24,2.0478
2017-07-25,-2.1739
2017-07-26,-1.8803
2017-07-27,-5.4007
2017-07-28,-0.1842
2017-07-31,1.845
2017-08-01,-2.1739
2017-08-02,-2.7778
2017-08-03,-0.381
2017-08-04,0.956
2017-08-07,6.6288
2017-08-08,-3.9076
2017-08-09,-0.1848
2017-08-10,-14.8148
2017-08-11,-2.3913
2017-08-14,-1.5590000000000002
2017-08-15,-8.371
2017-08-16,-1.4815
2017-08-17,-2.005
2017-08-18,-8.4399
2017-08-21,-5.8659
2017-08-22,7.7151
2017-08-23,-1.1019
2017-08-24,-3.3426
2017-08-25,-0.2882
2017-08-28,1.4451
2017-08-29,-5.9829
2017-08-30,-2.1212
2017-08-31,19.5046
2017-09-01,-3.3679
2017-09-05,-4.5576
2017-09-06,1.1236
2017-09-07,4.4444
2017-09-08,0.0
2017-09-11,-1.3298
2017-09-12,30.3235
2017-09-13,-8.7901
2017-09-14,1.1338
2017-09-15,-0.8969
2017-09-18,0.0
2017-09-19,-1.5836999999999999
2017-09-20,5.977
2017-09-21,-0.2169
2017-09-22,-0.2174
2017-09-25,1.0893
2017-09-26,-3.8792999999999997
2017-09-27,8.9686
2017-09-28,0.0
2017-09-29,1.4403000000000001
2017-10-02,2.0284
2017-10-03,1.7893
2017-10-04,-0.9766
2017-10-05,1.1834
2017-10-06,-1.9493
2017-10-09,-0.7952
2017-10-10,4.2084
2017-10-11,-1.3462
2017-10-12,1.5594999999999999
2017-10-13,-1.3436
2017-10-16,-5.0584
2017-10-17,-10.2459
2017-10-18,3.8813
2017-10-19,-0.2198
2017-10-20,3.9648
2017-10-23,-1.0593
2017-10-24,-0.6424
2017-10-25,11.8534
2017-10-26,-1.7341
2017-10-27,2.1569
2017-10-30,-0.3839
2017-10-31,-1.5413999999999999
2017-11-01,-1.5655999999999999
2017-11-02,1.9881
2017-11-03,0.0
2017-11-06,-2.1442
2017-11-07,-5.1793
2017-11-08,-1.5756000000000001
2017-11-09,-0.5336
2017-11-10,1.073
2017-11-13,-3.1847
2017-11-14,-4.8246
2017-11-15,-0.4608
2017-11-16,4.8611
2017-11-17,-5.0773
2017-11-20,-1.8605
2017-11-21,8.0569
2017-11-22,-0.6579
2017-11-24,2.4283
2017-11-27,1.9397
2017-11-28,1.4799
2017-11-29,0.2083
2017-11-30,0.8316
