ticker,RETO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-04-07,2.0
2020-04-08,0.0
2020-04-09,3.9215999999999998
2020-04-13,-5.2075
2020-04-14,5.4936
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,-2.0943
2020-04-20,-11.3509
2020-04-21,8.6957
2020-04-22,-2.0
2020-04-23,4.4898
2020-04-24,-2.3438
2020-04-27,0.0
2020-04-28,-0.0234
2020-04-29,0.0034
2020-04-30,0.02
2020-05-01,-1.98
2020-05-04,-3.285
2020-05-05,1.2658
2020-05-06,16.6667
2020-05-07,0.0
2020-05-08,-3.5714
2020-05-11,-5.537
2020-05-12,-1.98
2020-05-13,4.0
2020-05-14,-1.7308
2020-05-15,2.7397
2020-05-18,10.7202
2020-05-19,8.5534
2020-05-20,23.5816
2020-05-21,46.1913
2020-05-22,-7.8947
2020-05-26,-10.4762
2020-05-27,1.0638
2020-05-28,26.3158
2020-05-29,-11.675
2020-06-01,-2.8209999999999997
2020-06-02,-8.4951
2020-06-03,3.9788
2020-06-04,-6.102
2020-06-05,5.9552
2020-06-08,-5.641
2020-06-09,2.1739
2020-06-10,21.2766
2020-06-11,-7.9825
2020-06-12,20.1144
2020-06-15,-14.2857
2020-06-16,-1.8519
2020-06-17,-3.7736
2020-06-18,1.1863
2020-06-19,6.5788
2020-06-22,12.7273
2020-06-23,-0.8065
2020-06-24,3.252
2020-06-25,-2.3622
2020-06-26,6.4516
2020-06-29,3.0303
2020-06-30,-2.9485
2020-07-01,-3.023
2020-07-02,-1.5625
2020-07-06,-2.7778
2020-07-07,-4.4898
2020-07-08,-5.9829
2020-07-09,-5.4545
2020-07-10,38.4615
2020-07-13,-6.25
2020-07-14,-22.2222
2020-07-15,-0.9524
2020-07-16,-1.9231
2020-07-17,2.9412000000000003
2020-07-20,-1.9048
2020-07-21,0.9709
2020-07-22,-1.9231
2020-07-23,-1.7647
2020-07-24,-1.018
2020-07-27,-7.8645
2020-07-28,-3.1626
2020-07-29,-6.1928
2020-07-30,5.3457
2020-07-31,-1.6553
