ticker,UMBF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-07-25,-0.2164
2008-07-28,-2.3134
2008-07-29,5.5134
2008-07-30,-3.0335
2008-07-31,-0.4159
2008-08-01,1.144
2008-08-04,0.4847
2008-08-05,3.4304
2008-08-06,-3.1957
2008-08-07,-3.8009
2008-08-08,3.4687
2008-08-11,5.701
2008-08-12,-2.9512
2008-08-13,-0.2447
2008-08-14,0.473
2008-08-15,-2.0401
2008-08-18,-2.7234
2008-08-19,-2.1226
2008-08-20,-0.6169
2008-08-21,-1.0158
2008-08-22,1.1022
2008-08-25,-2.8571
2008-08-26,-0.4644
2008-08-27,1.3025
2008-08-28,-0.0384
2008-08-29,-0.1152
2008-09-02,-0.788
2008-09-03,2.7121
2008-09-04,-2.6028000000000002
2008-09-05,3.2146
2008-09-08,3.3114
2008-09-09,-3.4062
2008-09-10,0.9617
2008-09-11,1.0459
2008-09-12,0.5176
2008-09-15,-4.7996
2008-09-16,8.4025
2008-09-17,-7.1454
2008-09-18,13.222
2008-09-19,17.7966
2008-09-22,-24.6475
2008-09-23,1.3366
2008-09-24,2.0727
2008-09-25,-4.3013
2008-09-26,0.9066
2008-09-29,-2.7719
2008-09-30,3.2639
2008-10-01,1.2757
2008-10-02,6.6366
2008-10-03,-2.1509
2008-10-06,-6.036
2008-10-07,-0.441
2008-10-08,-2.6965
2008-10-09,-12.7078
2008-10-10,3.7641999999999998
2008-10-13,14.6198
2008-10-14,-0.0763
2008-10-15,-4.751
2008-10-16,11.4583
2008-10-17,-6.2725
2008-10-20,1.9559
2008-10-21,-5.2661
2008-10-22,-7.8221
2008-10-23,-7.5813
2008-10-24,-2.7965999999999998
2008-10-27,-4.3874
2008-10-28,11.1836
2008-10-29,-2.7965999999999998
2008-10-30,0.6961
2008-10-31,4.447
2008-11-03,0.6177
2008-11-04,2.6310000000000002
2008-11-05,-3.4822
2008-11-06,-5.2236
2008-11-07,1.9851
2008-11-10,-0.4809
2008-11-11,0.3912
2008-11-12,-5.73
2008-11-13,11.5974
2008-11-14,-8.8235
2008-11-17,-2.1983
2008-11-18,0.8307
2008-11-19,-5.8154
2008-11-20,-2.6499
2008-11-21,8.1395
2008-11-24,13.4897
2008-11-25,-3.0146
2008-11-26,4.2185
2008-11-28,1.8534000000000002
2008-12-01,-16.3982
2008-12-02,8.3062
2008-12-03,5.7519
2008-12-04,-3.8663
2008-12-05,7.6346
2008-12-08,3.441
2008-12-09,-5.8061
2008-12-10,-0.0217
2008-12-11,-7.0046
2008-12-12,6.5731
2008-12-15,-4.1923
2008-12-16,9.5304
2008-12-17,-1.987
2008-12-18,-2.4328
2008-12-19,-0.6562
2008-12-22,-1.8274
2008-12-23,-1.7717
2008-12-24,1.6438000000000001
2008-12-26,0.8311
2008-12-29,0.0446
2008-12-30,2.9615
2008-12-31,6.2716
2009-01-02,-0.2239
2009-01-05,-1.7132
2009-01-06,-1.9506000000000001
2009-01-07,-4.5291
2009-01-08,1.1971
2009-01-09,-4.4469
2009-01-12,-2.1091
2009-01-13,3.5831
2009-01-14,-5.7201
2009-01-15,0.1199
2009-01-16,0.479
2009-01-20,-7.1514
2009-01-21,-2.1823
2009-01-22,-2.8609
2009-01-23,1.5941999999999998
2009-01-26,-2.0213
2009-01-27,3.4473
2009-01-28,10.6796
2009-01-29,-5.4765
2009-01-30,-2.8342
2009-02-02,1.3939
2009-02-03,-0.0509
2009-02-04,0.3566
2009-02-05,2.132
