ticker,AXGT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-04-04,1.5936
2017-04-05,-1.8300999999999998
2017-04-06,-0.5326
2017-04-07,1.2718
2017-04-10,22.538
2017-04-11,9.2233
2017-04-12,-2.2222
2017-04-13,11.1111
2017-04-17,-2.2727
2017-04-18,-1.1163
2017-04-19,2.2578
2017-04-20,0.598
2017-04-21,-1.5089000000000001
2017-04-24,4.4568
2017-04-25,2.6222
2017-04-26,3.1615
2017-04-27,2.225
2017-04-28,-0.4517
2017-05-01,1.4851
2017-05-02,1.3820999999999999
2017-05-03,-0.8019
2017-05-04,-4.1633
2017-05-05,0.0844
2017-05-08,-0.1686
2017-05-09,-3.2925
2017-05-10,-0.0873
2017-05-11,-0.8301
2017-05-12,-2.1586
2017-05-15,-1.3958
2017-05-16,-0.3196
2017-05-17,-1.924
2017-05-18,3.6898999999999997
2017-05-19,-1.982
2017-05-22,4.182
2017-05-23,1.0587
2017-05-24,-1.0476
2017-05-25,-4.2347
2017-05-26,0.0921
2017-05-30,-3.9116
2017-05-31,2.4425
2017-06-01,3.9737999999999998
2017-06-02,3.3723
2017-06-05,-2.4793
2017-06-06,-0.9367
2017-06-07,1.5308000000000002
2017-06-08,-1.1086
2017-06-09,-1.6592
2017-06-12,-1.1856
2017-06-13,3.8763
2017-06-14,3.5540000000000003
2017-06-15,-11.1111
2017-06-16,1.4961
2017-06-19,2.33
2017-06-20,7.4349
2017-06-21,2.9412000000000003
2017-06-22,0.8403
2017-06-23,-0.5417
2017-06-26,-0.4189
2017-06-27,-5.7215
2017-06-28,7.095
2017-06-29,-1.2083
2017-06-30,-2.1932
2017-07-03,-0.2156
2017-07-05,0.1296
2017-07-06,-1.1653
2017-07-07,-1.4847000000000001
2017-07-10,-2.039
2017-07-11,-0.0452
2017-07-12,6.9715
2017-07-13,1.2273
2017-07-14,1.505
2017-07-17,-2.5124
2017-07-18,-2.7038
2017-07-19,0.1303
2017-07-20,-6.5915
2017-07-21,-2.2284
2017-07-24,10.1614
2017-07-25,-6.0345
2017-07-26,0.7798
2017-07-27,1.9572
2017-07-28,3.1696
2017-07-31,-0.8222
2017-08-01,0.8726
2017-08-02,0.692
2017-08-03,-0.8591
2017-08-04,1.3865
2017-08-07,-2.1795
2017-08-08,0.699
2017-08-09,-2.039
2017-08-10,-2.9672
2017-08-11,1.6431
2017-08-14,2.6493
2017-08-15,-1.0061
2017-08-16,-3.6677
2017-08-17,-3.4404
2017-08-18,-0.19
2017-08-21,-4.9024
2017-08-22,-1.3514
2017-08-23,-0.3044
2017-08-24,-0.5598
2017-08-25,0.0512
2017-08-28,3.734
2017-08-29,-1.9231
2017-08-30,-0.7541
2017-08-31,1.3171
2017-09-01,0.1
2017-09-05,1.6484
2017-09-06,-1.8673
2017-09-07,5.5583
2017-09-08,-2.9412000000000003
2017-09-11,5.4741
2017-09-12,-7.7386
2017-09-13,-0.4018
2017-09-14,-1.5633
2017-09-15,9.3238
2017-09-18,7.2165
2017-09-19,6.0752
2017-09-20,7.9522
2017-09-21,-0.458
2017-09-22,-4.1794
2017-09-25,-2.9612
2017-09-26,-73.8969
2017-09-27,10.4265
2017-09-28,-3.4335
2017-09-29,1.9259
2017-10-02,7.4128
2017-10-03,1.8944999999999999
2017-10-04,2.656
2017-10-05,2.458
2017-10-06,-10.9848
2017-10-09,0.5674
2017-10-10,-4.9365
2017-10-11,-2.9674
2017-10-12,-2.5994
2017-10-13,-2.9827
2017-10-16,-0.1618
2017-10-17,1.4586999999999999
2017-10-18,-6.0703
2017-10-19,-1.3605
2017-10-20,-2.069
2017-10-23,-2.993
2017-10-24,0.5445
2017-10-25,-1.9856
2017-10-26,-6.0773
2017-10-27,0.5882
2017-10-30,0.1949
2017-10-31,1.9455
2017-11-01,0.3817
2017-11-02,-0.7605
2017-11-03,0.7663
2017-11-06,2.6616
2017-11-07,-2.4074
2017-11-08,-5.1233
2017-11-09,1.8
2017-11-10,4.9116
2017-11-13,-4.3071
2017-11-14,0.9785
2017-11-15,-2.5194
2017-11-16,0.0
2017-11-17,-0.7952
2017-11-20,7.8156
2017-11-21,1.487
2017-11-22,3.4798999999999998
2017-11-24,-4.2478
2017-11-27,-0.1848
2017-11-28,-1.8519
2017-11-29,0.0
2017-11-30,4.1509
2017-12-01,-2.1739
2017-12-04,1.8519
2017-12-05,-6.9091000000000005
2017-12-06,-1.7578
2017-12-07,-0.1988
2017-12-08,5.5777
2017-12-11,-0.566
2017-12-12,3.6052999999999997
2017-12-13,2.5641
2017-12-14,-2.6786
2017-12-15,-2.7523
2017-12-18,-2.6414999999999997
2017-12-19,0.3876
2017-12-20,0.5792
2017-12-21,-0.9597
2017-12-22,-3.6822
2017-12-26,7.2435
2017-12-27,-0.5629
