ticker,PTOP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-04-26,0.0
2016-04-27,0.0
2016-05-04,66.6667
2016-05-18,20.0
2016-05-25,0.0
2016-05-27,-16.6667
2016-06-06,0.0
2016-06-07,0.0
2016-06-24,-40.0
2016-06-28,0.0
2016-07-07,0.0
2016-08-02,66.6667
2016-08-04,0.0
2016-08-08,0.0
2016-08-09,-40.0
2016-08-26,0.0
2016-08-31,33.3333
2016-09-06,25.0
2016-09-12,-40.0
2016-10-05,0.0
2016-11-02,0.0
2016-11-10,66.6667
2016-11-17,-40.0
2016-12-05,66.6667
2016-12-22,-40.0
2016-12-23,-33.3333
2016-12-29,0.0
2017-01-10,50.0
2017-01-13,-33.3333
2017-01-18,0.0
2017-01-20,-20.0
2017-01-24,25.0
2017-01-27,50.0
2017-01-30,0.0
2017-02-01,0.0
2017-02-03,0.0
2017-02-06,66.6667
2017-02-09,-40.0
2017-02-14,66.6667
2017-02-15,0.0
2017-03-01,-40.0
2017-03-06,66.6667
2017-03-08,180.0
2017-03-09,28.5714
2017-03-10,5.5556
2017-03-13,0.0
2017-03-15,-73.6842
2017-03-16,0.0
2017-03-17,60.0
2017-03-20,37.5
2017-03-23,-27.2727
2017-03-24,0.0
2017-03-27,-25.0
2017-03-28,0.0
2017-03-29,66.6667
2017-03-30,0.0
2017-03-31,-20.0
2017-04-05,25.0
2017-04-06,-20.0
2017-04-07,37.5
2017-04-10,309.0909
2017-04-11,-33.3333
2017-04-12,76.6667
2017-04-13,-49.0566
2017-04-17,0.0
2017-04-18,-3.7037
2017-04-19,0.0
2017-04-20,-15.3846
2017-04-21,0.0
2017-04-24,-18.1818
2017-04-25,0.0
2017-04-26,16.6667
2017-04-27,-9.5238
2017-04-28,-26.3158
2017-05-01,0.0
2017-05-02,14.2857
2017-05-03,-12.5
2017-05-05,0.0
2017-05-08,35.7143
2017-05-10,15.7895
2017-05-11,9.0909
2017-05-12,-25.0
2017-05-15,-22.2222
2017-05-16,0.0
2017-05-19,-28.5714
2017-05-22,-20.0
2017-05-23,0.0
2017-05-24,25.0
2017-05-25,-20.0
2017-05-26,25.0
2017-05-30,0.0
2017-05-31,30.0
2017-06-01,-23.0769
2017-06-02,-20.0
2017-06-05,0.0
2017-06-06,60.0
2017-06-07,-25.0
2017-06-08,83.3333
2017-06-09,-36.3636
2017-06-12,-1.4285999999999999
2017-06-13,-27.5362
2017-06-14,-20.0
2017-06-15,25.0
2017-06-16,-20.0
2017-06-20,50.0
2017-06-21,-16.6667
2017-06-22,-20.0
2017-06-26,0.0
2017-06-27,-25.0
2017-06-28,0.0
2017-06-29,0.0
2017-07-03,0.0
2017-07-05,133.3333
2017-07-06,0.0
2017-07-10,71.4286
2017-07-11,16.6667
2017-07-12,-35.7143
2017-07-13,0.0
2017-07-14,33.3333
2017-07-17,-25.0
2017-07-18,11.1111
2017-07-19,-10.0
2017-07-20,-11.1111
2017-07-21,25.0
2017-07-24,10.0
2017-07-25,-9.0909
2017-07-26,-30.0
2017-07-27,14.2857
2017-07-28,0.0
2017-07-31,0.0
2017-08-01,12.5
2017-08-07,-22.2222
2017-08-08,-14.2857
2017-08-09,33.3333
2017-08-10,-25.0
2017-08-11,0.0
2017-08-14,-16.6667
2017-08-16,0.0
2017-08-18,-20.0
2017-08-21,0.0
2017-08-22,-12.5
2017-08-23,14.2857
2017-08-24,0.0
2017-08-25,0.0
2017-08-28,-25.0
2017-08-29,0.0
2017-09-01,-1.3333
2017-09-05,1.3514
2017-09-06,33.3333
2017-09-11,-25.0
2017-09-12,0.0
2017-09-18,20.0
2017-09-21,-44.4444
2017-09-25,40.0
2017-09-28,42.8571
2017-09-29,-25.0
2017-10-03,0.0
2017-10-04,100.0
2017-10-05,-33.3333
2017-10-06,0.0
2017-10-09,0.0
2017-10-11,0.0
2017-10-12,0.0
2017-10-13,0.0
2017-10-16,0.0
2017-10-17,-26.0
2017-10-19,35.1351
2017-10-20,0.0
2017-10-24,-25.0
2017-10-27,0.0
2017-10-31,0.0
2017-11-01,66.6667
