ticker,POAI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-03-12,-0.241
2015-03-13,-4.9879
2015-03-16,2.9617
2015-03-17,-4.9383
2015-03-18,0.0
2015-03-19,-4.9351
2015-03-20,-8.1967
2015-03-23,11.607099999999999
2015-03-24,-4.0
2015-03-25,-10.8333
2015-03-26,-0.3115
2015-03-27,6.25
2015-03-30,4.4118
2015-03-31,-2.8169
2015-04-01,-11.5942
2015-04-02,1.6393
2015-04-06,-14.5161
2015-04-07,16.6038
2015-04-08,-14.2395
2015-04-09,46.7925
2015-04-10,-10.0257
2015-04-13,0.0
2015-04-14,0.0
2015-04-15,21.4286
2015-04-16,17.647100000000002
2015-04-17,3.2
2015-04-20,37.5969
2015-04-21,-11.9718
2015-04-22,-1.6
2015-04-23,0.0
2015-04-24,8.9431
2015-04-27,-11.9403
2015-04-28,20.5085
2015-04-29,-3.3755
2015-04-30,-9.0247
2015-05-01,-11.2
2015-05-04,-9.9099
2015-05-05,-5.0
2015-05-06,-7.3684
2015-05-07,1.1364
2015-05-08,2.2472
2015-05-11,4.3956
2015-05-12,-8.2105
2015-05-13,7.7982
2015-05-14,-0.2128
2015-05-15,-4.0512
2015-05-18,-11.1111
2015-05-19,6.25
2015-05-20,-21.1765
2015-05-21,18.5075
2015-05-22,0.2519
2015-05-26,-4.5226
2015-05-27,-1.3158
2015-05-28,-6.6667
2015-05-29,6.0
2015-06-01,-4.3126999999999995
2015-06-02,7.0423
2015-06-03,0.0
2015-06-04,-14.473700000000001
2015-06-05,1.5385
2015-06-08,-13.6364
2015-06-09,5.2632
2015-06-10,-10.0
2015-06-11,11.1111
2015-06-12,1.6667
2015-06-15,-8.1967
2015-06-16,7.1429
2015-06-18,0.0
2015-06-19,-16.0
2015-06-22,3.1746
2015-06-23,5.7692
2015-06-24,0.0
2015-06-25,8.7273
2015-06-26,-3.3445
2015-06-29,-4.4983
2015-06-30,12.3188
2015-07-01,-3.5484
2015-07-02,17.0569
2015-07-06,-12.857099999999999
2015-07-07,14.0984
2015-07-08,-2.2989
2015-07-09,32.3529
2015-07-10,-11.1111
2015-07-13,0.0
2015-07-14,0.0
2015-07-15,0.0
2015-07-16,0.0
2015-07-17,0.0
2015-07-21,-2.5
2015-07-22,-2.5641
2015-07-23,0.0
2015-07-27,-6.3158
2015-07-28,3.9326
2015-07-29,-4.0541
2015-07-30,-1.4085
2015-07-31,7.7143
2015-08-03,7.9576
2015-08-04,10.5651
2015-08-05,-4.4444
2015-08-07,0.0
2015-08-10,4.6512
2015-08-11,-7.3333
2015-08-12,-10.0719
2015-08-13,-6.1333
2015-08-14,-7.6705
2015-08-17,19.0769
2015-08-18,-0.7752
2015-08-19,11.7188
2015-08-20,-6.0606
2015-08-21,0.4963
2015-08-24,10.3704
2015-08-25,10.7383
2015-08-26,-5.0707
2015-08-27,-3.1682
