ticker,BBW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-19,-0.5435
2010-04-20,1.0929
2010-04-21,1.6216
2010-04-22,6.7819
2010-04-23,3.6115
2010-04-26,2.0433
2010-04-27,-5.5359
2010-04-28,3.1172
2010-04-29,8.8271
2010-04-30,6.2222
2010-05-03,0.8368
2010-05-04,-5.4979
2010-05-05,-5.0494
2010-05-06,-6.3584
2010-05-07,-4.4444
2010-05-10,13.5659
2010-05-11,3.7542999999999997
2010-05-12,0.6579
2010-05-13,-2.7233
2010-05-14,-3.1355
2010-05-17,-0.578
2010-05-18,-1.3953
2010-05-19,-2.4764
2010-05-20,-5.6832
2010-05-21,2.3077
2010-05-24,-1.2530999999999999
2010-05-25,2.5381
2010-05-26,-0.1238
2010-05-27,4.9566
2010-05-28,-0.1181
2010-06-01,-6.5012
2010-06-02,1.7699
2010-06-03,1.1179999999999999
2010-06-04,-6.8796
2010-06-07,-4.0897
2010-06-08,-0.5502
2010-06-09,-1.7981
2010-06-10,5.9155
2010-06-11,0.6649
2010-06-14,1.7173
2010-06-15,3.8961
2010-06-16,0.875
2010-06-17,-3.7175000000000002
2010-06-18,-1.4157
2010-06-21,-3.6554
2010-06-22,-3.6585
2010-06-23,1.1252
2010-06-24,-1.2517
2010-06-25,-0.5634
2010-06-28,0.8499
2010-06-29,-4.9157
2010-06-30,0.1477
2010-07-01,2.3599
2010-07-02,-7.4928
2010-07-06,-6.8536
2010-07-07,3.5117000000000003
2010-07-08,-0.1616
2010-07-09,4.6926
2010-07-12,-0.7728
2010-07-13,7.3209
2010-07-14,-4.4993
2010-07-15,4.1033
2010-07-16,-9.927
2010-07-19,3.8898
2010-07-20,4.8362
2010-07-21,-6.3988
2010-07-22,7.7901
2010-07-23,5.3097
2010-07-26,3.0812
2010-07-27,-1.7663
2010-07-28,-0.5533
2010-07-29,-16.2726
2010-07-30,0.4983
2010-08-02,0.8264
2010-08-03,0.0
2010-08-04,1.9672
2010-08-05,-0.8039
2010-08-06,-2.107
2010-08-09,-0.3311
2010-08-10,-3.3223
2010-08-11,-1.7182
2010-08-12,0.5245
2010-08-13,0.8696
2010-08-16,4.4828
2010-08-17,1.3201
2010-08-18,-0.1629
2010-08-19,-0.8157
2010-08-20,-3.6184
2010-08-23,-8.7031
2010-08-24,-6.5421
2010-08-25,0.2
2010-08-26,1.7964
2010-08-27,2.9412000000000003
2010-08-30,-4.5714
2010-08-31,-0.1996
2010-09-01,6.2
