ticker,WRTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-01-07,1.9912999999999998
2020-01-08,-3.5654
2020-01-09,6.5141
2020-01-10,-2.4793
2020-01-13,-1.3559
2020-01-14,-4.2955
2020-01-15,2.5135
2020-01-16,1.4011
2020-01-17,3.4542
2020-01-21,17.6962
2020-01-22,3.1206
2020-01-23,-3.7827
2020-01-24,1.5011
2020-01-27,-4.2254
2020-01-28,2.9412000000000003
2020-01-29,1.2857
2020-01-30,-1.2694
2020-01-31,-4.7143
2020-02-03,-2.2489
2020-02-04,-1.3804
2020-02-05,2.3327999999999998
2020-02-06,3.0395
2020-02-07,2.2124
2020-02-10,2.1645
2020-02-11,-3.9548
2020-02-12,1.6176
2020-02-13,0.5789
2020-02-14,-2.8777
2020-02-18,2.5185
2020-02-19,8.0925
2020-02-20,0.2674
2020-02-21,1.2
2020-02-24,-9.6179
2020-02-25,-13.2653
2020-02-26,5.7143
2020-02-27,0.0
2020-02-28,-6.5183
2020-03-02,7.483
2020-03-03,-1.2658
2020-03-04,3.2051
2020-03-05,-2.4845
2020-03-06,-1.5924
2020-03-09,-8.2524
2020-03-10,1.5873
2020-03-11,-12.1528
2020-03-12,-6.1265
2020-03-13,0.0
2020-03-16,-18.3158
2020-03-17,6.701
2020-03-18,-14.4928
2020-03-19,2.8249
2020-03-20,-1.6484
2020-03-23,-6.1453
2020-03-24,22.0238
2020-03-25,2.9268
2020-03-26,0.7109
2020-03-27,-1.6471
2020-03-30,1.4354
2020-03-31,0.4717
2020-04-01,-6.1033
2020-04-02,-0.5
2020-04-03,-1.005
2020-04-06,4.0609
2020-04-07,-3.4146
2020-04-08,2.7778
2020-04-09,7.1253
2020-04-13,-1.1468
2020-04-14,-1.6240999999999999
2020-04-15,-2.5943
2020-04-16,-0.2421
2020-04-17,2.4272
2020-04-20,10.663499999999999
2020-04-21,-2.7837
2020-04-22,-0.8811
2020-04-23,2.2222
2020-04-24,2.3913
2020-04-27,1.9108
2020-04-28,0.2083
2020-04-29,5.8212
2020-04-30,-4.7151
