ticker,DAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-12-17,-5.9973
2007-12-18,2.0051
2007-12-19,-2.0729
2007-12-20,-2.1168
2007-12-21,0.5966
2007-12-24,-0.6301
2007-12-26,-0.9698
2007-12-27,1.9586000000000001
2007-12-28,-1.2191
2007-12-31,-1.2341
2008-01-02,0.1893
2008-01-03,-1.1338
2008-01-04,-2.026
2008-01-07,2.38
2008-01-08,-3.3918
2008-01-09,-1.8146
2008-01-10,0.6027
2008-01-11,1.7971
2008-01-14,-1.9223
2008-01-15,-3.36
2008-01-16,0.4553
2008-01-17,-0.618
2008-01-18,6.0945
2008-01-22,1.2114
2008-01-23,2.278
2008-01-24,0.4908
2008-01-25,1.9159000000000002
2008-01-28,-0.6082
2008-01-29,3.7736
2008-01-30,-1.4545
2008-01-31,-0.5535
2008-02-01,8.4972
2008-02-04,-3.1122
2008-02-05,-1.306
2008-02-06,0.5722
2008-02-07,-0.0356
2008-02-08,0.2134
2008-02-11,3.1949
2008-02-12,1.8232
2008-02-13,0.5068
2008-02-14,0.7059
2008-02-15,-1.2016
2008-02-19,0.1351
2008-02-20,-0.8101
2008-02-21,-2.3805
2008-02-22,-3.0314
2008-02-25,2.4434
2008-02-26,-2.3851
2008-02-27,0.6109
2008-02-28,-3.2143
2008-02-29,-2.5461
2008-03-03,-0.3786
2008-03-04,0.0755
2008-03-05,2.0134
2008-03-06,-5.994
2008-03-07,0.198
2008-03-10,-4.6245
2008-03-11,5.2632
2008-03-12,-1.9291
2008-03-13,0.6825
2008-03-14,-3.6284
2008-03-17,-3.8891
2008-03-18,4.3478
2008-03-19,-0.165
2008-03-20,3.9669
2008-03-24,-1.8679999999999999
2008-03-25,4.8603
2008-03-26,-0.2317
2008-03-27,1.084
2008-03-28,-2.9491
2008-03-31,-2.9596999999999998
2008-04-01,5.2298
2008-04-02,0.8657
2008-04-03,1.341
2008-04-04,0.5293
2008-04-07,-0.9778
2008-04-08,3.2283
2008-04-09,-1.9132
2008-04-10,-1.5754000000000001
2008-04-11,-1.6006
2008-04-14,-1.433
2008-04-15,-1.0216
2008-04-16,0.2779
2008-04-17,0.5146
2008-04-18,0.7089
2008-04-21,-0.9777
2008-04-22,1.0664
2008-04-23,-1.3677000000000001
2008-04-24,-2.1395
2008-04-25,1.7409
2008-04-28,1.3331
2008-04-29,-0.48
2008-04-30,0.4019
2008-05-01,-0.9207
2008-05-02,0.6874
2008-05-05,0.7218
2008-05-06,2.1514
2008-05-07,1.17
2008-05-08,0.2313
2008-05-09,-0.5385
2008-05-12,3.2483
2008-05-13,-2.8464
2008-05-14,-3.0069
2008-05-15,3.9746
2008-05-16,-0.6116
2008-05-19,1.5
2008-05-20,2.842
2008-05-21,-2.6161
2008-05-22,-1.5513
2008-05-23,-1.1145
2008-05-27,-0.3887
2008-05-28,2.6141
2008-05-29,-1.5589
2008-05-30,0.2317
2008-06-02,-0.4624
2008-06-03,-0.8904
2008-06-04,-1.3281
2008-06-05,4.5527
2008-06-06,-3.5971
2008-06-09,-3.1814999999999998
2008-06-10,-0.4057
2008-06-11,-4.1548
2008-06-12,-3.6974
2008-06-13,7.1933
2008-06-16,-0.4529
2008-06-17,1.9438
2008-06-18,-2.2718
2008-06-19,0.5812
2008-06-20,-1.6508
2008-06-23,-2.8535
2008-06-24,-2.3326000000000002
2008-06-25,0.3892
2008-06-26,-3.1633
2008-06-27,3.1847
2008-06-30,-2.9981999999999998
2008-07-01,-1.4091
2008-07-02,-2.5357
2008-07-03,-1.9395
2008-07-07,-1.7849
2008-07-08,2.4067
2008-07-09,1.0072
2008-07-10,2.1842
2008-07-11,1.2546
2008-07-14,-0.1836
2008-07-15,-0.046
2008-07-16,2.6219
2008-07-17,5.2443
2008-07-18,-1.661
2008-07-21,0.8965
2008-07-22,6.3227
2008-07-23,0.6863
2008-07-24,-6.656
2008-07-25,1.2887
2008-07-28,-0.7634
2008-07-29,-9.7009
2008-07-30,-5.0639
2008-07-31,6.6301
2008-08-01,-7.6671
2008-08-04,-1.1392
2008-08-05,-0.3148
2008-08-06,-0.0526
2008-08-07,-1.2638
2008-08-08,2.4
2008-08-11,1.6673
2008-08-12,3.3293
2008-08-13,2.627
2008-08-14,4.8316
2008-08-15,-1.6129
2008-08-18,1.1241
2008-08-19,-1.7601
2008-08-20,-2.9703
2008-08-21,-0.6803
2008-08-22,2.3973
2008-08-25,0.3339
2008-08-26,-0.1423
2008-08-27,-0.8107
2008-08-28,0.4808
2008-08-29,0.8612
2008-09-02,-1.8975
2008-09-03,-2.7563
2008-09-04,-0.1492
2008-09-05,-4.5319
2008-09-08,-0.4695
2008-09-09,-3.7212
2008-09-10,3.865
2008-09-11,2.2013
2008-09-12,3.0256
2008-09-15,-5.4256
2008-09-16,-3.3158
2008-09-17,-1.3609
2008-09-18,-1.6004
2008-09-19,5.2159
2008-09-22,-4.6375
2008-09-23,-3.1861
2008-09-24,-0.4042
2008-09-25,-1.2753999999999999
2008-09-26,-1.6442
2008-09-29,-10.3284
2008-09-30,-1.1984
2008-10-01,-5.3235
2008-10-02,-16.0854
2008-10-03,1.7812000000000001
2008-10-06,-13.6667
2008-10-07,-4.4402
2008-10-08,-3.2323
2008-10-09,-2.714
