ticker,EFOT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-01-10,-72.2222
2011-01-11,100.0
2011-01-18,-60.0
2011-01-24,0.0
2011-01-26,0.0
2011-02-03,66.5625
2011-02-07,0.0
2011-02-10,0.0
2011-02-14,80.1126
2011-02-16,-21.6667
2011-02-23,6.383
2011-02-28,-20.0
2011-03-02,0.0
2011-03-03,0.0
2011-03-04,25.0
2011-03-07,-20.0
2011-03-15,25.0
2011-03-16,-10.0
2011-03-17,-55.5556
2011-03-21,125.0
2011-03-23,-55.5556
2011-03-29,0.0
2011-04-01,0.0
2011-04-06,50.0
2011-04-07,-33.3333
2011-04-08,-50.0
2011-05-02,0.0
2011-05-03,0.0
2011-05-05,0.0
2011-05-12,100.0
2011-05-16,0.0
2011-05-17,5.0
2011-05-18,-4.7619
2011-05-19,-25.0
2011-05-20,33.3333
2011-05-24,0.0
2011-05-25,-50.0
2011-05-26,0.0
2011-05-31,0.0
2011-06-01,0.0
2011-06-07,-50.0
2011-06-14,300.0
2011-06-20,0.0
2011-06-22,0.0
2011-06-23,-50.0
2011-06-28,100.0
2011-07-01,0.0
2011-07-14,0.0
2011-07-19,-50.0
2011-07-20,100.0
2011-08-04,0.0
2011-08-09,0.0
2011-08-11,0.0
2011-08-12,-50.0
2011-08-15,0.0
2011-08-19,10.0
2011-08-23,-9.0909
2011-08-30,10.0
2011-09-15,0.0
2011-09-16,-9.0909
2011-09-26,10.0
2011-10-10,-63.6364
2011-10-18,0.0
2011-11-02,0.0
2011-11-08,-96.875
2011-11-17,3100.0
2011-11-28,0.0
2011-12-08,-75.0
2011-12-20,-87.5
2011-12-21,0.0
2011-12-22,0.0
2011-12-27,7900.0
2011-12-28,-98.75
2011-12-29,0.0
2011-12-30,0.0
2012-01-31,0.0
2012-02-02,0.0
2012-02-08,7900.0
2012-02-17,-98.75
2012-02-24,0.0
2012-02-27,50.0
2012-03-23,-33.3333
2012-04-17,0.0
2012-04-27,0.0
2012-05-07,0.0
2012-05-17,50.0
2012-06-19,0.0
2012-06-21,0.0
2012-07-09,0.0
2012-07-12,0.0
2012-09-05,-33.3333
2012-09-12,0.0
2012-09-21,0.0
2012-10-01,0.0
2012-10-03,0.0
2012-10-05,0.0
2012-11-09,0.0
2012-12-04,0.0
2012-12-26,0.0
2012-12-27,0.0
2012-12-28,0.0
2012-12-31,0.0
2013-01-04,0.0
2013-01-08,0.0
2013-04-01,700.0
2013-04-19,-87.5
2013-07-08,0.0
2013-11-06,7900.0
2013-11-14,-98.75
2013-11-27,0.0
2014-04-10,0.0
2014-11-05,0.0
2014-11-19,0.0
2015-01-12,0.0
2015-02-19,0.0
2015-02-23,700.0
2015-04-23,-87.5
2015-04-30,700.0
2015-05-22,-87.5
2015-06-04,700.0
2015-06-09,0.0
2015-07-10,0.0
2015-08-03,0.0
2015-09-22,0.0
2015-09-24,0.0
2015-12-30,0.0
2016-02-02,0.0
2016-02-04,0.0
2016-02-17,0.0
2016-02-18,0.0
2016-02-23,-87.5
2016-03-23,700.0
2016-04-15,0.0
2016-04-25,0.0
2016-05-04,0.0
2016-09-29,-87.5
2016-10-18,700.0
2016-12-05,-87.5
2017-03-08,0.0
2017-04-28,0.0
2017-06-06,-86.4
2017-06-15,488.2353
2017-06-21,-99.0
2017-06-26,1600.0
2017-07-12,-82.3529
2017-09-28,33233.3333
2017-10-06,-90.0
2017-10-30,900.0
2017-11-01,-99.0
2017-11-02,0.0
2017-12-18,0.0
2017-12-22,0.0
2018-01-12,900.0
2018-01-18,0.0
2018-01-24,-99.0
2018-02-09,2500.0
2018-02-13,284.6154
2018-02-20,-90.0
2018-02-21,2900.0001
2018-02-22,100.0
2018-03-02,-99.8333
2018-03-29,9900.0
2018-04-11,0.0
2018-04-27,0.0
2018-04-30,0.0
2018-06-07,0.0
2018-06-14,0.0
2018-06-21,0.0
2018-07-02,0.0
2018-07-24,200.0
2018-07-26,0.0
2018-08-02,0.0
2018-08-03,-66.6667
2018-08-08,-99.0
2018-10-04,0.0
2018-10-08,9900.0
2018-10-12,-99.0
2018-11-07,9900.0
2018-11-21,-90.0
2018-12-07,-90.0
2018-12-11,900.0
2018-12-18,0.0
2018-12-26,-90.0
2019-01-04,900.0
2019-01-08,-90.0
2019-01-09,9900.0
2019-01-22,0.0
2019-01-24,-90.0
2019-02-11,900.0
2019-02-13,-90.0
2019-02-27,-90.0
2019-04-11,0.0
2019-05-14,0.0
2019-05-15,0.0
2019-05-17,0.0
2019-05-22,9900.0
2019-06-05,-99.0
2019-06-07,9900.0
2019-06-19,0.0
2019-07-18,-99.0
2019-08-07,900.0
2019-08-20,900.0
2019-08-28,0.0
2019-09-06,-99.0
2019-09-11,0.0
2019-09-16,0.0
2019-09-17,0.0
2019-09-25,0.0
2019-10-24,0.0
2019-10-25,0.0
2019-11-13,9900.0
2019-11-20,-99.0
2019-11-25,0.0
2019-12-20,9900.0
2019-12-27,-99.0
2019-12-30,9900.0
2020-01-07,0.0
2020-01-29,0.0
2020-01-31,400.0
2020-02-19,-80.0
2020-03-03,0.0
2020-04-14,0.0
2020-04-29,0.0
2020-06-23,100.0
2020-06-24,-95.0
2020-06-29,900.0
2020-07-10,0.0
2020-07-15,900.0
2020-07-16,-80.0
2020-07-17,-95.0
