ticker,OPTL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-01-30,0.0
2014-02-05,0.0
2014-02-11,0.0
2014-02-20,0.0
2014-02-26,0.0
2014-03-04,0.0
2014-03-10,200.0
2014-03-11,-66.6667
2014-03-17,0.0
2014-03-20,50.0
2014-03-31,0.0
2014-04-01,0.0
2014-04-08,0.0
2014-04-10,0.0
2014-04-11,0.0
2014-04-24,0.0
2014-05-06,-33.3333
2014-05-13,7900.0
2014-05-14,-96.875
2014-05-20,2140.0
2014-05-21,-97.3214
2014-05-22,0.0
2014-06-10,0.0
2014-07-11,66.6667
2014-07-21,0.0
2014-07-23,0.0
2014-07-28,0.0
2014-07-30,-40.0
2014-07-31,0.0
2014-08-13,0.0
2014-08-21,2033.3333
2014-08-22,-92.1875
2014-08-29,0.0
2014-09-04,0.0
2014-09-11,0.0
2014-09-17,0.0
2014-09-18,0.0
2014-09-24,0.0
2014-10-06,0.0
2014-10-09,0.0
2014-10-29,0.0
2014-11-05,0.0
2014-11-13,0.0
2014-11-17,0.0
2014-11-28,0.0
2014-12-02,0.0
2014-12-03,0.0
2014-12-05,0.0
2014-12-10,0.0
2014-12-12,0.0
2014-12-22,0.0
2014-12-23,0.0
2014-12-29,0.0
2014-12-30,-40.0
2015-01-23,0.0
2015-02-09,0.0
2015-02-10,0.0
2015-02-25,0.0
2015-03-05,0.0
2015-03-31,0.0
2015-04-07,66.6667
2015-04-20,0.0
2015-05-01,0.0
2015-05-05,0.0
2015-05-18,0.0
2015-05-21,0.0
2015-06-18,0.0
2015-07-02,0.0
2015-07-13,0.0
2015-07-14,0.0
2015-07-29,20.0
2015-08-10,-16.6667
2015-08-24,0.0
2015-08-27,0.0
2015-08-28,0.0
2015-09-02,0.0
2015-09-03,-40.0
2015-09-09,0.0
2015-09-16,0.0
2015-10-05,0.0
2015-10-07,0.0
2015-10-13,0.0
2015-10-21,0.0
2015-11-10,0.0
2015-11-23,0.0
2015-12-17,66.6667
2015-12-21,-40.0
2015-12-29,0.0
2015-12-30,33.3333
2015-12-31,-25.0
2016-01-19,-33.3333
2016-03-07,100.0
2016-03-09,-50.0
2016-03-23,0.0
2016-03-28,0.0
2016-04-28,0.0
2016-05-11,0.0
2016-06-09,50.0
2016-06-16,0.0
2016-07-08,0.0
2016-08-17,0.0
2016-09-02,-33.3333
2016-09-06,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-12,0.0
2016-09-15,50.0
