ticker,YOGAQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-02-28,-5.2376
2020-03-02,-3.6325
2020-03-04,4.6563
2020-03-05,12.7119
2020-03-06,-11.7794
2020-03-09,-3.4091
2020-03-10,-11.4706
2020-03-11,12.9568
2020-03-12,-32.2941
2020-03-13,34.6655
2020-03-16,3.2258
2020-03-17,-13.75
2020-03-18,0.0
2020-03-19,-13.0435
2020-03-20,-6.25
2020-03-23,33.3333
2020-03-24,-26.6667
2020-03-25,0.0
2020-03-26,11.5909
2020-03-27,-6.2322
2020-03-30,2.0851
2020-04-01,6.383
2020-04-02,5.92
2020-04-03,-10.1208
2020-04-06,0.8403
2020-04-07,15.0
2020-04-08,5.0725
2020-04-09,-20.6897
2020-04-13,13.7826
2020-04-14,-8.2919
2020-04-15,0.0
2020-04-16,12.1875
2020-04-20,-3.2498
2020-04-22,-14.7793
2020-04-23,17.1171
2020-04-24,-6.1538
2020-04-27,6.5574
2020-04-28,-7.6923
2020-04-29,-16.6667
2020-04-30,5.0
2020-05-01,14.2857
2020-05-04,0.0
2020-05-05,-8.3333
2020-05-06,22.7273
2020-05-07,-7.037
2020-05-11,-4.3825
2020-05-12,12.5
2020-05-13,-18.5185
2020-05-14,0.0
2020-05-15,9.0909
2020-05-18,-8.3333
2020-05-19,27.2727
2020-05-21,-21.4286
2020-05-22,0.1818
2020-05-26,0.0907
2020-05-27,25.1133
2020-05-28,-20.2899
2020-05-29,9.0909
2020-06-01,8.3333
2020-06-02,-23.0769
2020-06-03,0.0
2020-06-04,-11.0
2020-06-05,-4.4944
2020-06-08,0.0
2020-06-09,-20.0
2020-06-10,10.2941
2020-06-11,32.0
2020-06-12,-7.5758
2020-06-15,-6.9945
2020-06-16,-0.1175
2020-06-17,5.8824
2020-06-18,11.1111
2020-06-19,0.0
2020-06-22,-20.0
2020-06-23,18.75
2020-06-24,26.3158
2020-06-25,-20.625
2020-06-26,-0.2625
2020-06-29,0.0
2020-06-30,5.2632
2020-07-01,0.0
2020-07-02,0.0
2020-07-06,-6.5
2020-07-07,-3.7433
2020-07-09,-11.1111
2020-07-10,18.75
2020-07-15,5.2632
2020-07-16,-20.0
2020-07-17,6.25
2020-07-20,17.647100000000002
2020-07-21,-10.0
2020-07-22,-11.1111
2020-07-23,18.75
2020-07-24,-15.7895
2020-07-27,12.5
2020-07-28,-11.1111
2020-07-29,0.0
2020-07-30,0.0
2020-07-31,0.0
