ticker,SM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-23,-4.2659
2016-09-26,-1.2731
2016-09-27,-4.3083
2016-09-28,11.8224
2016-09-29,8.1621
2016-09-30,-2.3044000000000002
2016-10-03,0.8554
2016-10-04,-1.285
2016-10-05,4.2958
2016-10-06,0.1498
2016-10-07,-1.994
2016-10-10,4.9593
2016-10-11,-1.3811
2016-10-12,-1.3759000000000001
2016-10-13,0.0
2016-10-14,-3.0892
2016-10-17,-0.4627
2016-10-18,0.8781
2016-10-19,4.4035
2016-10-20,-0.4419
2016-10-21,-2.91
2016-10-24,-4.9784
2016-10-25,-3.8225
2016-10-26,-3.9466
2016-10-27,2.3148
2016-10-28,-2.1776
2016-10-31,-2.7754
2016-11-01,3.3898
2016-11-02,-6.6724
2016-11-03,-2.2188
2016-11-04,-3.2461
2016-11-07,1.8241
2016-11-08,0.1919
2016-11-09,4.3423
2016-11-10,0.1224
2016-11-11,-2.8117
2016-11-14,1.7925
2016-11-15,6.92
2016-11-16,-0.3178
2016-11-17,-1.6232
2016-11-18,3.0937
2016-11-21,5.2015
2016-11-22,-2.445
2016-11-23,0.5569
2016-11-25,-1.44
2016-11-28,-6.9963
2016-11-29,-3.5952
2016-11-30,24.9138
2016-12-01,0.7777
2016-12-02,-3.1616
2016-12-05,-2.545
2016-12-06,-1.7936999999999999
2016-12-07,-4.808
2016-12-08,-0.9876
2016-12-09,4.3602
2016-12-12,0.2731
2016-12-13,1.6885
2016-12-14,-5.008
2016-12-15,-1.8607
2016-12-16,1.7811
2016-12-19,2.0322
2016-12-20,-1.2725
2016-12-21,-1.6251
2016-12-22,0.9399
2016-12-23,0.0847
2016-12-27,0.4229
2016-12-28,-1.4037
2016-12-29,-1.1674
2016-12-30,-0.6626
2017-01-03,-0.522
2017-01-04,3.8484
2017-01-05,1.2913999999999999
2017-01-06,-0.8869
2017-01-09,-3.5515
2017-01-10,-1.8266
2017-01-11,2.0673
2017-01-12,-0.897
2017-01-13,-3.1825
2017-01-17,-1.8697
2017-01-18,-1.9668
2017-01-19,1.5674000000000001
2017-01-20,-0.463
2017-01-23,-2.9147
2017-01-24,2.076
2017-01-25,0.8761
2017-01-26,3.9082
2017-01-27,2.6866
