ticker,ETRN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-03-16,-2.2989
2020-03-17,-2.1569
2020-03-18,-18.2365
2020-03-19,15.4412
2020-03-20,15.2866
2020-03-23,-8.2873
2020-03-24,-1.004
2020-03-25,-3.2454
2020-03-26,0.8386
2020-03-27,-12.6819
2020-03-30,7.8571
2020-03-31,11.0375
2020-04-01,-1.9881
2020-04-02,10.7505
2020-04-03,4.5788
2020-04-06,1.2259
2020-04-07,-1.5571000000000002
2020-04-08,2.9877000000000002
2020-04-09,-4.9488
2020-04-13,4.3088
2020-04-14,11.8761
2020-04-15,4.3077
2020-04-16,2.8024
2020-04-17,5.4519
2020-04-20,10.8844
2020-04-21,-0.6135
2020-04-22,-2.716
2020-04-23,1.6497000000000002
2020-04-24,0.8739
2020-04-27,4.3317
2020-04-28,2.4911
2020-04-29,-0.9259
2020-04-30,-2.1028000000000002
2020-05-01,-1.5513
2020-05-04,5.8182
2020-05-05,-3.0928
2020-05-06,-4.7280999999999995
2020-05-07,-6.3275
2020-05-08,5.9603
2020-05-11,1.25
2020-05-12,-7.2956
2020-05-13,-6.1058
2020-05-14,4.3353
2020-05-15,6.9252
2020-05-18,1.2953000000000001
2020-05-19,3.7084
2020-05-20,-1.3564
2020-05-21,-1.625
2020-05-22,-0.2541
2020-05-26,2.293
2020-05-27,0.3736
2020-05-28,-0.1241
2020-05-29,0.4969
2020-06-01,-0.618
2020-06-02,1.8657
2020-06-03,4.6398
2020-06-04,3.3839
2020-06-05,5.5305
2020-06-08,3.3155
2020-06-09,-6.5217
2020-06-10,-1.5504
2020-06-11,-8.2115
2020-06-12,-1.2255
2020-06-15,9.1811
2020-06-16,-0.2273
2020-06-17,3.0752
2020-06-18,6.4088
2020-06-19,-7.3728
2020-06-22,-2.5785
2020-06-23,-2.1864
2020-06-24,-0.7059
2020-06-25,0.5924
2020-06-26,1.0601
2020-06-29,-3.4965
2020-06-30,0.3623
2020-07-01,0.361
2020-07-02,4.5564
2020-07-06,2.1789
2020-07-07,11.7845
2020-07-08,-0.1004
2020-07-09,-4.4221
2020-07-10,-2.3134
2020-07-13,-0.3229
2020-07-14,-1.1879
2020-07-15,5.2459
2020-07-16,-1.4538
2020-07-17,1.5806
2020-07-20,-2.6971
2020-07-21,4.9041
2020-07-22,-4.878
2020-07-23,1.1752
2020-07-24,-0.3168
2020-07-27,-1.589
2020-07-28,-0.2153
2020-07-29,3.8834999999999997
2020-07-30,-0.4154
2020-07-31,0.6257
