ticker,BLKCF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-02-25,-13.1818
2020-02-26,-6.7644
2020-02-27,-0.0449
2020-02-28,-1.1236
2020-03-02,-5.1136
2020-03-03,-31.7006
2020-03-04,18.3588
2020-03-05,0.7407
2020-03-06,-1.4264999999999999
2020-03-09,14.8739
2020-03-10,1.2987
2020-03-11,-19.2308
2020-03-12,-4.7619
2020-03-13,25.0
2020-03-16,-17.3333
2020-03-17,-11.2903
2020-03-18,-3.6364
2020-03-19,7.5472
2020-03-20,33.3333
2020-03-23,-14.473700000000001
2020-03-24,7.6923
2020-03-25,5.7143
2020-03-26,2.7027
2020-03-27,-9.2105
2020-03-30,7.2464
2020-03-31,6.7568
2020-04-01,-10.1266
2020-04-02,-8.169
2020-04-03,-7.9755
2020-04-06,3.3333
2020-04-07,4.0323
2020-04-08,0.7752
2020-04-09,13.8462
2020-04-13,2.7027
2020-04-14,11.8421
2020-04-15,17.647100000000002
2020-04-16,55.0
2020-04-17,15.4839
2020-04-20,-5.0279
2020-04-21,-14.7059
2020-04-22,3.4483
2020-04-23,10.0
2020-04-24,0.0
2020-04-27,0.0
2020-04-28,-45.4545
2020-04-29,88.8889
2020-04-30,-12.9412
2020-05-01,-18.9189
2020-05-04,25.0
2020-05-05,6.6667
2020-05-06,-0.625
2020-05-07,-8.805
2020-05-08,10.3448
2020-05-11,-6.25
2020-05-12,-8.3333
2020-05-13,14.9091
2020-05-14,-6.6456
2020-05-15,-8.4746
2020-05-18,-3.7037
2020-05-19,7.9615
2020-05-20,11.863199999999999
2020-05-21,-5.0955
2020-05-22,0.3356
2020-05-26,-0.3344
2020-05-27,-6.3758
2020-05-28,-1.4337
2020-05-29,-27.2727
2020-06-01,5.5
2020-06-02,-5.2133
2020-06-03,10.0
2020-06-04,44.5455
2020-06-05,0.3774
2020-06-08,-14.787
2020-06-09,-5.1471
2020-06-10,-6.9767
2020-06-11,16.6667
2020-06-12,35.7143
2020-06-15,-3.0263
2020-06-16,-18.5889
2020-06-17,6.6667
2020-06-18,-10.85
2020-06-19,5.5104
2020-06-22,6.4718
2020-06-23,-0.1498
2020-06-24,-6.25
2020-06-25,12.0
2020-06-26,2.9762
2020-06-29,-2.8902
2020-06-30,-10.7143
2020-07-01,0.0
2020-07-02,1.3333
2020-07-06,-6.2829
2020-07-07,19.3401
2020-07-08,17.0588
2020-07-09,-2.0101
2020-07-10,-8.2051
2020-07-13,-6.4134
2020-07-14,-6.2798
2020-07-15,20.3822
2020-07-16,-13.7566
2020-07-17,22.6994
2020-07-20,0.0
2020-07-21,6.25
2020-07-22,2.5882
2020-07-23,9.1743
2020-07-24,0.8403
2020-07-27,-16.6667
2020-07-28,-9.5
2020-07-29,2.2099
2020-07-30,0.0
2020-07-31,-9.4595
