ticker,ALDX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-12-10,-7.2609
2015-12-11,0.4497
2015-12-14,-0.3067
2015-12-15,5.0615
2015-12-16,2.2112
2015-12-17,-0.7163
2015-12-18,-2.5974
2015-12-21,4.2963000000000005
2015-12-22,-8.2386
2015-12-23,0.774
2015-12-28,3.6866
2015-12-29,-3.1648
2015-12-30,1.4324
2015-12-31,2.2624
2016-01-04,-1.4748999999999999
2016-01-05,0.0
2016-01-06,-2.6946
2016-01-07,2.0
2016-01-08,1.7845
2016-01-11,0.1732
2016-01-12,-1.0355
2016-01-13,-2.0927
2016-01-14,2.4427
2016-01-15,-5.0671
2016-01-19,-3.2967
2016-01-20,-6.0065
2016-01-21,-2.9361
2016-01-22,-2.1352
2016-01-25,-2.0
2016-01-26,-5.5659
2016-01-27,-0.7859
2016-01-28,-3.3663
2016-01-29,-1.4344000000000001
2016-02-01,-0.2079
2016-02-02,-5.8333
2016-02-03,-5.7522
2016-02-04,0.939
2016-02-05,-3.4913
2016-02-08,-5.0604
2016-02-09,-6.0884
2016-02-10,8.1081
2016-02-11,-2.5
2016-02-12,0.0
2016-02-16,-2.0609
2016-02-17,17.8126
2016-02-18,-11.1111
2016-02-19,0.0
2016-02-22,0.75
2016-02-23,-8.1886
2016-02-24,-4.8649000000000004
2016-02-25,1.7045
2016-02-26,4.2545
2016-02-29,31.2859
2016-03-01,-7.1429
2016-03-02,-1.0989
2016-03-03,-1.7778
2016-03-04,1.81
2016-03-07,4.0
2016-03-08,-4.0598
2016-03-09,-4.8998
2016-03-10,-2.1077
2016-03-11,2.6316
2016-03-14,14.9184
2016-03-15,-3.854
2016-03-16,-3.1646
2016-03-17,-3.0501
2016-03-18,0.6742
2016-03-21,0.2232
2016-03-22,0.2227
2016-03-23,-4.0
2016-03-24,-0.463
2016-03-28,-4.6512
2016-03-29,3.6585
2016-03-30,-4.7059
2016-03-31,3.4568
2016-04-01,1.1933
2016-04-04,6.1321
2016-04-05,2.2222
2016-04-06,1.087
2016-04-07,12.9032
2016-04-08,0.7619
2016-04-11,0.189
2016-04-12,1.3208
2016-04-13,-0.7449
2016-04-14,2.2538
2016-04-15,2.5665
2016-04-18,5.1878
2016-04-19,3.7415000000000003
2016-04-20,-4.918
2016-04-21,0.8621
2016-04-22,1.8803
2016-04-25,-1.0067
2016-04-26,-0.678
2016-04-27,3.9249
2016-04-28,0.1642
2016-04-29,3.2787
2016-05-02,-0.9524
2016-05-03,1.4423
2016-05-04,2.6856
2016-05-05,-2.9231
2016-05-06,-1.9017
2016-05-09,0.1616
2016-05-10,-3.2258
2016-05-11,-3.3333
2016-05-12,-4.8276
2016-05-13,-0.1812
2016-05-16,-1.0889
2016-05-17,-0.9174
2016-05-18,1.6667
2016-05-19,-2.9121
2016-05-20,-1.5032
2016-05-23,-2.2857
2016-05-24,2.729
2016-05-25,5.8824
2016-05-26,-2.509
2016-05-27,10.8456
2016-05-31,-3.6484
2016-06-01,2.4096
2016-06-02,-1.6806999999999999
2016-06-03,-3.9316
2016-06-06,-0.3559
2016-06-07,5.8929
2016-06-08,-3.3727
2016-06-09,4.1885
2016-06-10,-2.1776
2016-06-13,-1.3699
2016-06-14,-8.5069
2016-06-15,4.3454
2016-06-16,-4.5281
2016-06-17,1.9048
2016-06-20,-1.8692
2016-06-21,-4.381
2016-06-22,3.1873
2016-06-23,-0.7722
2016-06-24,3.1128
2016-06-27,-1.1320999999999999
2016-06-28,2.8626
2016-06-29,2.0408
2016-06-30,3.4545
2016-07-01,6.3269
2016-07-05,1.4876
2016-07-06,3.0945
2016-07-07,5.3712
2016-07-08,1.9489999999999998
2016-07-11,-2.9412000000000003
2016-07-12,-3.0303
2016-07-13,-8.125
2016-07-14,3.5714
2016-07-15,-0.4926
2016-07-18,-3.1353
2016-07-19,-4.5997
2016-07-20,3.2143
2016-07-21,-1.3841
2016-07-22,2.2807
2016-07-25,-2.2298
2016-07-26,3.5088
2016-07-27,1.0169
2016-07-28,0.5034
2016-07-29,2.6711
2016-08-01,-2.439
2016-08-02,-0.5
2016-08-03,0.5025
2016-08-04,-4.5
2016-08-05,3.6649000000000003
2016-08-08,-1.0101
2016-08-09,2.0408
2016-08-10,-3.0
2016-08-11,3.4364
2016-08-12,-4.3189
2016-08-15,1.2153
2016-08-16,-1.5436999999999999
2016-08-17,-2.439
2016-08-18,0.0
2016-08-19,-1.6049
2016-08-22,0.3607
2016-08-23,1.0827
