ticker,BWVI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-09,-9.322
2017-10-10,-2.8037
2017-10-11,-9.6154
2017-10-12,10.6383
2017-10-13,-1.9231
2017-10-16,0.0
2017-10-17,-1.9607999999999999
2017-10-18,0.0
2017-10-19,8.0
2017-10-20,1.8519
2017-10-23,-4.0
2017-10-24,-0.5682
2017-10-25,-3.2381
2017-10-26,0.3937
2017-10-27,0.0
2017-10-30,-0.1961
2017-10-31,-3.9293
2017-11-01,-1.8405
2017-11-02,-2.0833
2017-11-03,2.1277
2017-11-07,0.0
2017-11-08,-1.0417
2017-11-09,1.0526
2017-11-13,0.0
2017-11-14,0.0
2017-11-15,-47.9167
2017-11-16,48.0
2017-11-17,21.0811
2017-11-20,-9.5647
2017-11-21,-27.1875
2017-11-22,13.5254
2017-11-24,0.0
2017-11-27,-25.3509
2017-11-28,32.0
2017-11-30,1.4848
2017-12-01,-16.393
2017-12-04,-16.0357
2017-12-05,27.9894
2017-12-06,2.9568
2017-12-07,-9.6191
2017-12-08,3.5714
2017-12-11,3.4483
2017-12-12,-0.3333
2017-12-15,-19.7324
2017-12-18,16.25
2017-12-19,-0.0717
2017-12-20,0.0717
2017-12-21,3.5842
2017-12-22,-4.1073
2017-12-26,4.3792
2017-12-27,-3.549
2017-12-28,-17.2043
2017-12-29,8.1818
2018-01-02,-3.9616
2018-01-03,16.6667
2018-01-04,7.1429
2018-01-05,-4.0
2018-01-08,3.4722
2018-01-09,0.3356
2018-01-10,0.0
2018-01-11,-12.6756
2018-01-12,14.7453
2018-01-16,-12.8171
2018-01-18,-11.562
2018-01-19,12.1645
2018-01-22,-1.9684
2018-01-23,-2.8031
2018-01-24,-2.8273
2018-01-25,-2.0425
2018-01-26,-14.4681
2018-01-29,19.403
2018-01-30,-12.4583
2018-01-31,0.0
2018-02-01,-4.8072
2018-02-02,-2.55
2018-02-05,15.2899
2018-02-06,2.3587
2018-02-08,4.8261
2018-02-09,3.6914
2018-02-12,-8.4
2018-02-13,-12.6201
2018-02-15,4.8976
2018-02-16,-3.5636
2018-02-20,1.2746
2018-02-21,-7.3171
2018-02-22,0.0
2018-02-23,4.6316
2018-02-26,-14.4869
2018-02-27,5.8824
2018-02-28,-5.5556
2018-03-02,8.5294
2018-03-05,-15.9892
2018-03-06,21.2903
2018-03-07,-9.5745
2018-03-08,7.5882
2018-03-09,-7.1077
2018-03-12,11.0065
2018-03-13,-20.4666
2018-03-14,22.6
2018-03-20,-2.7189
2018-03-22,17.384
2018-03-23,-5.381
2018-03-26,4.9824
2018-03-27,-4.1227
2018-03-28,4.5
2018-04-02,-0.5263
2018-04-04,-10.4377
2018-04-05,6.8743
2018-04-06,0.402
2018-04-10,-0.5005
2018-04-11,-4.5775
2018-04-13,-0.5799
2018-04-17,0.106
2018-04-18,0.4767
2018-04-20,-26.1465
2018-04-23,35.546
2018-04-25,10.0579
2018-04-26,0.5933
2018-04-27,-0.1142
2018-04-30,-14.2857
2018-05-01,19.7778
2018-05-02,-2.7365
2018-05-07,-0.3338
2018-05-08,-18.756
2018-05-09,23.6749
2018-05-10,33.3333
2018-05-11,-0.7143
2018-05-14,-2.8777
2018-05-15,-11.1111
2018-05-16,43.75
2018-05-17,1.4493
2018-05-18,-22.8571
2018-05-24,0.0
2018-05-25,3.7037
2018-05-29,5.3571
2018-06-01,-1.6949
2018-06-04,-13.7931
2018-06-06,15.92
2018-06-07,-10.352
2018-06-11,-15.3195
2018-06-12,15.9091
2018-06-13,-5.8824
2018-06-14,0.0
2018-06-15,-8.3333
2018-06-18,9.0909
2018-06-19,-2.0833
2018-06-20,-2.1277
2018-06-21,1.087
2018-06-22,9.6774
2018-06-25,-5.8824
2018-06-26,-4.1667
2018-06-27,0.0
2018-06-28,-0.0435
2018-06-29,0.0435
2018-07-02,-6.5217
2018-07-03,2.3256
2018-07-05,4.5455
2018-07-06,-12.1739
2018-07-09,8.9109
2018-07-10,7.6818
2018-07-11,0.0422
2018-07-12,-7.173
2018-07-17,-6.8182
2018-07-19,-7.3171
2018-07-23,5.2632
2018-07-24,0.0
2018-07-25,0.0
2018-07-26,9.5
2018-07-27,0.4566
2018-07-30,-9.0909
2018-07-31,-1.0
2018-08-01,0.4545
2018-08-02,-14.5299
2018-08-03,22.3824
2018-08-06,-7.9068000000000005
2018-08-07,-0.8351
2018-08-08,-2.6316
2018-08-10,28.1081
2018-08-13,-21.9409
2018-08-14,2.7027
2018-08-15,-10.526299999999999
2018-08-16,5.8824
2018-08-20,0.0
2018-08-21,0.0
2018-08-22,11.1111
2018-08-23,-10.0
2018-08-24,-2.7778
2018-08-27,2.8571
2018-08-28,0.5
2018-08-29,-0.4975
2018-08-30,0.0
2018-08-31,-3.1944
2018-09-04,-8.1779
2018-09-05,9.375
2018-09-06,0.0
2018-09-10,-8.5714
2018-09-11,1.5
2018-09-12,-1.4778
2018-09-14,31.125
2018-09-18,-9.4376
2018-09-24,-10.526299999999999
2018-09-25,-2.9412000000000003
2018-09-26,50.0
2018-09-27,0.202
2018-09-28,0.0
2018-10-02,-3.629
2018-10-03,0.4184
2018-10-04,-0.4167
2018-10-05,-16.2762
2018-10-09,0.0
2018-10-10,14.9425
2018-10-11,-13.0
2018-10-12,4.9475
2018-10-15,9.4048
2018-10-16,-8.5963
2018-10-17,4.7619
2018-10-18,-31.8182
2018-10-19,10.0
2018-10-22,-3.0303
2018-10-23,6.1875
2018-10-24,0.0589
2018-10-25,0.0
2018-10-26,-11.7647
2018-10-29,0.0
