ticker,RACE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-03-10,0.8593
2017-03-13,0.928
2017-03-14,-0.0452
2017-03-15,2.3375
2017-03-16,2.181
2017-03-17,-1.3124
2017-03-20,-0.6284
2017-03-21,-1.3382
2017-03-22,1.6247
2017-03-23,3.7254
2017-03-24,1.2161
2017-03-27,3.283
2017-03-28,1.2579
2017-03-29,-0.0134
2017-03-30,-0.5344
2017-03-31,-0.1209
2017-04-03,-0.8607
2017-04-04,-0.1628
2017-04-05,-1.6033
2017-04-06,0.2624
2017-04-07,-0.9916
2017-04-10,0.0556
2017-04-11,-0.1251
2017-04-12,-0.2506
2017-04-13,-1.4373
2017-04-17,0.9769
2017-04-18,-1.0236
2017-04-19,0.9491
2017-04-20,0.1965
2017-04-21,-0.8123
2017-04-24,4.5305
2017-04-25,1.1044
2017-04-26,1.0115
2017-04-27,0.9613
2017-04-28,-0.5554
2017-05-01,0.6782
2017-05-02,-0.1981
2017-05-03,0.6088
2017-05-04,7.156
2017-05-05,1.2521
2017-05-08,0.291
2017-05-09,2.1035
2017-05-10,-0.5446
2017-05-11,-1.2143
2017-05-12,1.3859
2017-05-15,0.9153
2017-05-16,-0.3651
2017-05-17,-2.1516
2017-05-18,1.7518
2017-05-19,-1.0568
2017-05-22,1.224
2017-05-23,0.5216
2017-05-24,0.3538
2017-05-25,0.7169
2017-05-26,-0.2334
2017-05-30,-0.0117
2017-05-31,1.4388
2017-06-01,2.1679
2017-06-02,2.246
2017-06-05,-0.1656
2017-06-06,0.0774
2017-06-07,0.0663
2017-06-08,1.4133
2017-06-09,-2.613
2017-06-12,-1.9005
2017-06-13,0.5014
2017-06-14,0.2608
2017-06-15,-0.9839
2017-06-16,0.5483
2017-06-19,1.988
2017-06-20,-1.1584
2017-06-21,0.4958
2017-06-22,0.2355
2017-06-23,-0.2349
2017-06-26,-0.3925
2017-06-27,-1.7111
2017-06-28,0.5269
2017-06-29,-2.0736
2017-06-30,0.0814
2017-07-03,-0.2441
2017-07-05,0.5594
2017-07-06,-0.6837
2017-07-07,0.4551
2017-07-10,2.811
2017-07-11,2.35
2017-07-12,2.5279
2017-07-13,-0.1292
2017-07-14,1.229
2017-07-17,-0.1597
2017-07-18,1.4933
2017-07-19,2.5959
2017-07-20,2.4278
2017-07-21,0.03
2017-07-24,1.5997
2017-07-25,-0.2165
2017-07-26,3.9546
2017-07-27,-1.2997
2017-07-28,1.6627999999999998
2017-07-31,-0.5484
2017-08-01,2.9756
2017-08-02,1.9849
2017-08-03,-1.9281000000000001
2017-08-04,0.7476
2017-08-07,1.2918
2017-08-08,0.0904
2017-08-09,0.5422
2017-08-10,-2.3279
2017-08-11,-1.003
2017-08-14,2.296
2017-08-15,0.1908
2017-08-16,0.6258
2017-08-17,-1.5322
2017-08-18,2.087
2017-08-21,1.1835
2017-08-22,2.0647
2017-08-23,0.382
2017-08-24,-1.2541
2017-08-25,-0.1489
2017-08-28,-0.1491
2017-08-29,-0.0615
2017-08-30,0.7384
2017-08-31,-0.096
2017-09-01,1.9827
2017-09-05,-0.5139
2017-09-06,0.594
2017-09-07,-7.0689
2017-09-08,0.7091
2017-09-11,1.9386
2017-09-12,-1.3814
2017-09-13,-1.0369
2017-09-14,0.3952
2017-09-15,0.7507
2017-09-18,2.0718
2017-09-19,1.0327
2017-09-20,-0.4229
2017-09-21,0.4955
2017-09-22,-0.0881
2017-09-25,-2.9347
2017-09-26,-1.0532
2017-09-27,1.4682
2017-09-28,-0.4974
2017-09-29,0.409
2017-10-02,1.7650000000000001
2017-10-03,1.6899
2017-10-04,0.105
2017-10-05,-1.1184
2017-10-06,-0.5037
2017-10-09,1.9805000000000001
2017-10-10,0.7315
2017-10-11,0.7348
2017-10-12,-0.369
2017-10-13,-0.9734
2017-10-16,1.6093
2017-10-17,-0.8903
2017-10-18,0.6824
2017-10-19,-0.5577
2017-10-20,-1.1302
2017-10-23,-0.7766
2017-10-24,0.7739
2017-10-25,0.1134
2017-10-26,0.3051
2017-10-27,0.4519
2017-10-30,1.3756
2017-10-31,2.1335
2017-11-01,0.2674
2017-11-02,-2.4083
2017-11-03,0.2732
2017-11-06,-0.1533
2017-11-07,-2.0128
2017-11-08,-1.8191000000000002
2017-11-09,-2.9787
2017-11-10,0.1096
2017-11-13,0.8032
2017-11-14,-0.4799
2017-11-15,-1.2738
2017-11-16,1.3916
2017-11-17,-0.7726
2017-11-20,0.9252
2017-11-21,1.189
2017-11-22,0.296
2017-11-24,1.6902
2017-11-27,-1.6797
2017-11-28,-0.0894
2017-11-29,-2.9543
2017-11-30,0.1845
2017-12-01,-1.0405
2017-12-04,-2.9124
2017-12-05,-0.1629
2017-12-06,0.384
2017-12-07,0.0574
2017-12-08,1.1565
2017-12-11,0.5669
2017-12-12,0.1973
2017-12-13,-0.797
2017-12-14,-0.7372
2017-12-15,-0.6094
2017-12-18,2.2322
2017-12-19,-1.162
2017-12-20,0.0853
2017-12-21,0.6158
2017-12-22,0.3107
2017-12-26,0.413
2017-12-27,-0.1683
2017-12-28,-0.0468
2017-12-29,-1.7892000000000001
2018-01-02,0.2957
2018-01-03,1.9211
2018-01-04,3.863
2018-01-05,0.7367
2018-01-08,1.2396
2018-01-09,0.7047
2018-01-10,-0.0437
2018-01-11,2.5291
2018-01-12,0.5804
2018-01-16,-0.2376
2018-01-17,1.6077
2018-01-18,-0.0586
2018-01-19,1.3235000000000001
2018-01-22,0.339
2018-01-23,-2.0104
2018-01-24,-0.0252
2018-01-25,-0.5803
2018-01-26,1.4804
2018-01-29,-1.0337
2018-01-30,-0.5307
2018-01-31,1.194
2018-02-01,7.272
2018-02-02,-0.8191
2018-02-05,-4.4754
2018-02-06,4.4874
2018-02-07,-2.2222
2018-02-08,-3.5945
2018-02-09,0.5183
2018-02-12,1.9212
2018-02-13,0.9955
2018-02-14,1.7048
2018-02-15,2.558
2018-02-16,0.4725
2018-02-20,-1.0099
2018-02-21,-0.3037
2018-02-22,-1.0155
2018-02-23,2.2492
2018-02-26,-0.2007
2018-02-27,-2.5445
2018-02-28,-1.4285
2018-03-01,-2.1576
2018-03-02,-0.3456
2018-03-05,0.322
2018-03-06,1.0288
2018-03-07,1.6049
2018-03-08,-0.7216
2018-03-09,0.7188
2018-03-12,-0.3127
2018-03-13,-0.9813
2018-03-14,-0.6905
2018-03-15,0.4417
2018-03-16,-0.6922
2018-03-19,-0.5577
2018-03-20,0.3464
2018-03-21,1.5204
2018-03-22,-2.5176
2018-03-23,-1.6858
2018-03-26,2.4664
2018-03-27,-1.3272
2018-03-28,-0.0668
2018-03-29,0.7524
2018-04-02,-2.4892
2018-04-03,2.6292999999999997
2018-04-04,-0.141
2018-04-05,0.7473
2018-04-06,-0.4862
2018-04-09,-0.4638
2018-04-10,1.5975000000000001
2018-04-11,-1.3758
2018-04-12,1.3203
2018-04-13,0.336
2018-04-16,0.4737
2018-04-17,1.8047
2018-04-18,-0.3434
2018-04-19,-1.2901
2018-04-20,-0.414
2018-04-23,0.055
2018-04-24,0.7138
2018-04-25,0.057
2018-04-26,0.1303
2018-04-27,-0.805
2018-04-30,0.5656
2018-05-01,-0.163
2018-05-02,2.7188
2018-05-03,4.1173
2018-05-04,4.8401
2018-05-07,2.2282
2018-05-08,-2.5785
2018-05-09,-0.8262
2018-05-10,-0.0516
2018-05-11,0.3541
2018-05-14,-0.6248
2018-05-15,-0.9689
2018-05-16,-0.0373
2018-05-17,-0.0822
2018-05-18,-0.8973
2018-05-21,1.162
2018-05-22,-1.2009
2018-05-23,-0.8682
2018-05-24,0.099
2018-05-25,-0.1902
2018-05-29,-3.1786
2018-05-30,2.5429
2018-05-31,0.8445
2018-06-01,1.1801
2018-06-04,-0.4891
2018-06-05,3.206
2018-06-06,2.176
2018-06-07,-2.1583
2018-06-08,-0.0586
2018-06-11,1.9872
2018-06-12,1.1217
2018-06-13,2.3606
2018-06-14,3.7302
2018-06-15,-0.288
2018-06-18,-0.732
2018-06-19,-1.5966
2018-06-20,-1.54
2018-06-21,-1.613
2018-06-22,-1.0078
2018-06-25,-1.8497
2018-06-26,0.168
2018-06-27,-1.422
2018-06-28,-0.0962
2018-06-29,-0.0296
2018-07-02,0.1037
2018-07-03,-0.8953
