ticker,EXAS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-05,0.6928
2010-03-08,-0.2294
2010-03-09,0.4598
2010-03-10,7.5515
2010-03-11,3.617
2010-03-12,-1.232
2010-03-15,-1.0395
2010-03-16,-7.7731
2010-03-17,0.9112
2010-03-18,0.6772
2010-03-19,4.0359
2010-03-22,-0.6466
2010-03-23,-1.0846
2010-03-24,-3.2895
2010-03-25,-0.6803
2010-03-26,-1.0274
2010-03-29,-1.9607999999999999
2010-03-30,-0.2353
2010-03-31,4.9528
2010-04-01,-0.8989
2010-04-05,1.2472
2010-04-06,3.0235
2010-04-07,2.6087
2010-04-08,1.4830999999999999
2010-04-09,-2.0877
2010-04-12,0.8529
2010-04-13,-0.8457
2010-04-14,-3.4115
2010-04-15,-1.3245
2010-04-16,-3.3557
2010-04-19,1.1574
2010-04-20,-2.746
2010-04-21,-2.1176
2010-04-22,-3.8462
2010-04-23,3.5
2010-04-26,7.4879
2010-04-27,-1.1236
2010-04-28,2.0455
2010-04-29,1.1136
2010-04-30,-2.2026
2010-05-03,-1.8018
2010-05-04,-1.1468
2010-05-05,1.1601
2010-05-06,-2.0642
2010-05-07,-5.8548
2010-05-10,2.4876
2010-05-11,3.3981
2010-05-12,2.3474
2010-05-13,-1.3761
2010-05-14,2.3256
2010-05-17,0.4545
2010-05-18,-3.1673999999999998
2010-05-19,-0.2336
2010-05-20,-1.6393
2010-05-21,-2.3810000000000002
2010-05-24,-0.2439
2010-05-25,-0.978
2010-05-26,2.716
2010-05-27,0.2404
2010-05-28,0.0
2010-06-01,-1.199
2010-06-02,1.9417
2010-06-03,4.0476
2010-06-04,-3.6612999999999998
2010-06-07,-2.8504
2010-06-08,-0.978
2010-06-09,2.716
2010-06-10,3.6058
2010-06-11,4.1763
2010-06-14,0.1114
2010-06-15,4.1157
2010-06-16,5.3419
2010-06-17,-0.2028
2010-06-18,0.0
2010-06-21,-4.878
2010-06-22,-2.7778
2010-06-23,-0.2198
2010-06-24,1.7621
2010-06-25,4.5455
2010-06-28,-2.8986
2010-06-29,-0.8529
2010-06-30,-5.3763
2010-07-01,-6.3636
2010-07-02,-0.2427
2010-07-06,-1.2165
2010-07-07,3.6946
2010-07-08,0.2375
2010-07-09,-5.6872
2010-07-12,-1.5074999999999998
2010-07-13,-0.7653
2010-07-14,1.0283
2010-07-15,-2.0356
2010-07-16,-10.9091
2010-07-19,-3.4985
2010-07-20,8.7613
2010-07-21,-5.2778
2010-07-22,2.9326
2010-07-23,2.5641
2010-07-26,2.7778
2010-07-27,6.2162
2010-07-28,7.3791
2010-07-29,-2.8436
2010-07-30,1.7073
2010-08-02,0.0
2010-08-03,0.7194
2010-08-04,1.1905000000000001
2010-08-05,0.2353
2010-08-06,0.0
2010-08-09,-0.939
2010-08-10,4.2654
2010-08-11,-2.9545
2010-08-12,2.8103
2010-08-13,-2.0501
2010-08-16,1.3953
2010-08-17,0.9174
2010-08-18,-1.8182
2010-08-19,-2.3148
2010-08-20,1.6588
2010-08-23,-1.6317
2010-08-24,-2.6066000000000003
2010-08-25,1.4599
2010-08-26,4.0767
2010-08-27,3.9171
2010-08-30,3.1042
2010-08-31,-1.2903
2010-09-01,3.4858000000000002
2010-09-02,-0.6316
2010-09-03,2.3305
2010-09-07,1.0352
2010-09-08,3.2787
2010-09-09,9.5238
2010-09-10,0.5435
2010-09-13,1.982
2010-09-14,0.8834
2010-09-15,2.9772
2010-09-16,3.4013999999999998
2010-09-17,2.3026
2010-09-20,4.3408
2010-09-21,0.0
2010-09-22,-3.8521
2010-09-23,4.1667
2010-09-24,2.6154
2010-09-27,5.0975
2010-09-28,2.5678
2010-09-29,0.6954
2010-09-30,0.0
2010-10-01,-2.0718
2010-10-04,-1.2694
2010-10-05,8.1429
2010-10-06,-0.9247
2010-10-07,-0.9333
2010-10-08,11.4401
2010-10-11,-2.1739
2010-10-12,1.2346
2010-10-13,2.3171
2010-10-14,6.1979
2010-10-15,-0.3367
2010-10-18,0.4505
2010-10-19,-10.3139
2010-10-20,0.5
2010-10-21,-7.0896
2010-10-22,4.8193
2010-10-25,3.8314
2010-10-26,9.5941
2010-10-27,-6.2851
2010-10-28,2.6347
2010-10-29,-19.9533
2010-11-01,-8.8921
2010-11-02,0.0
2010-11-03,-2.24
2010-11-04,4.2553
2010-11-05,2.3548
2010-11-08,-2.9141
2010-11-09,-0.9479
2010-11-10,-0.4785
2010-11-11,-1.4423
2010-11-12,-2.6016
2010-11-15,4.6745
2010-11-16,-3.5088
2010-11-17,0.3306
2010-11-18,1.318
2010-11-19,-2.1138
2010-11-22,-5.4817
2010-11-23,-3.1634
2010-11-24,6.7151
2010-11-26,-2.0408
2010-11-29,1.2153
2010-11-30,1.8868
2010-12-01,1.8519
2010-12-02,-3.3058
2010-12-03,-5.1282
2010-12-06,-3.0631
2010-12-07,0.3717
2010-12-08,0.5556
2010-12-09,1.2891
2010-12-10,3.8182
2010-12-13,-4.7285
2010-12-14,5.1471
2010-12-15,0.8741
2010-12-16,3.1196
2010-12-17,1.8487
2010-12-20,3.6304
2010-12-21,2.2293
2010-12-22,1.4019
2010-12-23,-0.384
2010-12-27,0.5397
2010-12-28,-4.2945
2010-12-29,0.8013
2010-12-30,-2.2258
2010-12-31,-2.7641999999999998
2011-01-03,3.3445
2011-01-04,-2.9935
2011-01-05,2.4187
2011-01-06,-1.5065
2011-01-07,0.2067
2011-01-10,-0.0413
2011-01-11,9.6162
2011-01-12,-4.0663
2011-01-13,-0.6279
2011-01-14,-0.9479
2011-01-18,0.1595
2011-01-19,-1.4331
2011-01-20,-3.1906
2011-01-21,0.1252
2011-01-24,-4.5
2011-01-25,-2.6178
2011-01-26,2.6882
2011-01-27,1.3961999999999999
2011-01-28,-3.4423
2011-01-31,0.5348
2011-02-01,4.078
2011-02-02,-2.385
2011-02-03,-0.6545
2011-02-04,-0.5709
2011-02-07,3.7102
2011-02-08,5.4514
2011-02-09,-1.7771
2011-02-10,1.1513
2011-02-11,1.3008
2011-02-14,0.6421
2011-02-15,-6.3796
2011-02-16,-2.385
2011-02-17,-2.0942
2011-02-18,-0.6239
2011-02-22,-7.0852
2011-02-23,-4.0541
2011-02-24,2.8169
2011-02-25,6.0665
2011-02-28,0.1845
2011-03-01,-2.3941
2011-03-02,3.3962
2011-03-03,-0.7299
2011-03-04,0.0
2011-03-07,-0.1838
2011-03-08,0.3683
2011-03-09,1.4679
2011-03-10,-4.34
2011-03-11,0.5671
2011-03-14,2.2556
2011-03-15,0.5515
2011-03-16,1.6453
2011-03-17,2.518
2011-03-18,0.0
2011-03-21,3.5088
2011-03-22,-0.339
2011-03-23,0.5102
2011-03-24,1.3536000000000001
2011-03-25,2.5042
2011-03-28,4.886
2011-03-29,3.5714
2011-03-30,7.946
2011-03-31,1.9444
2011-04-01,-0.545
2011-04-04,1.6438000000000001
2011-04-05,-1.4825
2011-04-06,-2.052
2011-04-07,-0.9777
2011-04-08,-0.4231
2011-04-11,-0.7082
2011-04-12,0.5706
2011-04-13,3.9716
2011-04-14,-0.955
2011-04-15,6.8871
2011-04-18,-5.5412
2011-04-19,-0.4093
2011-04-20,3.6986
2011-04-21,0.3963
2011-04-25,0.5263
2011-04-26,-2.0942
2011-04-27,-1.0695000000000001
2011-04-28,2.973
2011-04-29,5.1181
2011-05-02,0.6242
2011-05-03,-5.2109
2011-05-04,-3.6649000000000003
2011-05-05,0.1359
2011-05-06,1.7639
2011-05-09,-0.1333
2011-05-10,2.8037
2011-05-11,-2.7273
2011-05-12,-3.8718
2011-05-13,-1.1111
2011-05-16,0.0
2011-05-17,0.4213
2011-05-18,0.6993
2011-05-19,-2.1528
2011-05-20,2.484
2011-05-23,-0.277
2011-05-24,-2.0833
2011-05-25,-0.2837
2011-05-26,2.8449999999999998
2011-05-27,-0.4149
2011-05-31,3.6111
2011-06-01,-1.2064
2011-06-02,-1.6282
2011-06-03,-1.7931
2011-06-06,-0.5618
2011-06-07,1.4123999999999999
2011-06-08,-0.6964
2011-06-09,2.9453
2011-06-10,-2.3161
2011-06-13,0.8368
2011-06-14,2.9046
2011-06-15,-1.0753
2011-06-16,0.4076
2011-06-17,5.1421
2011-06-20,-1.0296
2011-06-21,2.6008
2011-06-22,1.5209000000000001
2011-06-23,0.6242
2011-06-24,1.737
2011-06-27,-0.2439
2011-06-28,3.1785
2011-06-29,1.5403
2011-06-30,0.3501
2011-07-01,-1.3953
2011-07-05,3.5377
2011-07-06,1.7084000000000001
2011-07-07,3.0235
2011-07-08,-0.2174
2011-07-11,-4.1394
2011-07-12,-3.1818
2011-07-13,0.5869
2011-07-14,-3.3839
2011-07-15,0.9662
2011-07-18,-2.512
2011-07-19,5.6442
2011-07-20,-1.626
2011-07-21,4.6045
2011-07-22,3.8375
2011-07-25,-3.2609
2011-07-26,-2.5843
2011-07-27,-2.3068
2011-07-28,0.5903
2011-07-29,0.2347
2011-08-01,1.7564
2011-08-02,-10.702
2011-08-03,-3.4794
2011-08-04,-10.5474
2011-08-05,4.1791
2011-08-08,-10.4585
2011-08-09,5.92
2011-08-10,-6.4955
2011-08-11,3.231
2011-08-12,0.7825
2011-08-15,15.9938
2011-08-16,1.8742
2011-08-17,-0.2628
2011-08-18,-7.1146
2011-08-19,-0.1418
2011-08-22,-0.4261
2011-08-23,7.8459
2011-08-24,-0.3968
2011-08-25,-6.7729
2011-08-26,3.1339
2011-08-29,7.7348
2011-08-30,-0.2564
2011-08-31,-0.6427
2011-09-01,0.6468
2011-09-02,-2.1851
2011-09-06,-1.3141
2011-09-07,5.8589
2011-09-08,-1.2579
2011-09-09,-2.8025
2011-09-12,2.4902
2011-09-13,1.5345
2011-09-14,2.5189
2011-09-15,4.4226
2011-09-16,-6.7059
2011-09-19,0.6305
2011-09-20,-7.2682
2011-09-21,-5.8108
2011-09-22,-3.4433
2011-09-23,-1.3373
2011-09-26,2.259
2011-09-27,4.4183
2011-09-28,-6.6291
2011-09-29,0.4532
2011-09-30,-0.3008
2011-10-03,-5.8824
2011-10-04,6.891
2011-10-05,4.4978
2011-10-06,2.5825
2011-10-07,1.3986
2011-10-10,5.2414
2011-10-11,3.2765
2011-10-12,2.2843
2011-10-13,0.9926
2011-10-14,-0.1229
2011-10-17,-5.2891
2011-10-18,0.5195
2011-10-19,-0.2584
2011-10-20,0.6477
2011-10-21,1.9304999999999999
2011-10-24,2.5253
2011-10-25,-4.803
2011-10-26,2.5873
2011-10-27,2.9004
2011-10-28,-1.1029
2011-10-31,-1.487
2011-11-01,-3.8994
2011-11-02,4.712
2011-11-03,2.75
2011-11-04,-2.3114
2011-11-07,-1.8679999999999999
2011-11-08,4.0609
2011-11-09,-3.6585
2011-11-10,0.6329
2011-11-11,2.7673
2011-11-14,-0.7344
2011-11-15,0.8631
2011-11-16,1.3447
2011-11-17,-5.6695
2011-11-18,-0.3836
2011-11-21,1.4121000000000001
2011-11-22,2.2785
2011-11-23,-5.198
2011-11-25,-1.6971
2011-11-28,5.3121
2011-11-29,2.5221
2011-11-30,4.428
2011-12-01,-0.7067
2011-12-02,1.3049
2011-12-05,-1.7564
2011-12-06,-2.8605
2011-12-07,0.3681
2011-12-08,-1.8336999999999999
2011-12-09,-0.7472
2011-12-12,0.7528
2011-12-13,-1.6189
2011-12-14,1.6456
2011-12-15,-0.6227
2011-12-16,0.1253
2011-12-19,-1.0013
2011-12-20,3.1606
2011-12-21,-1.1029
2011-12-22,0.7435
2011-12-23,-0.738
2011-12-27,1.487
2011-12-28,-1.4652
2011-12-29,0.6196
2011-12-30,0.0
2012-01-03,-0.6158
2012-01-04,-1.7348
2012-01-05,4.0353
2012-01-06,1.0909
2012-01-09,5.8753
2012-01-10,0.7928
2012-01-11,0.5618
2012-01-12,6.0335
2012-01-13,-1.0537
2012-01-17,2.4494
2012-01-18,-2.8067
2012-01-19,-2.9947
2012-01-20,-1.6538
2012-01-23,-1.6816
2012-01-24,2.7366
2012-01-25,2.4417
2012-01-26,1.1918
2012-01-27,0.1071
2012-01-30,-2.6738
