ticker,TCBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-10-07,-13.0913
2008-10-08,0.0
2008-10-09,-8.3562
2008-10-10,13.7972
2008-10-13,1.6341999999999999
2008-10-14,-0.9855
2008-10-15,-4.3478
2008-10-16,9.529
2008-10-17,-6.9
2008-10-20,4.0816
2008-10-21,-2.838
2008-10-22,-6.5852
2008-10-23,-3.6384
2008-10-24,-1.8289
2008-10-27,-3.0048
2008-10-28,5.3284
2008-10-29,-2.9412000000000003
2008-10-30,4.7273
2008-10-31,3.2986
2008-11-03,1.7927
2008-11-04,0.9356
2008-11-05,-6.434
2008-11-06,-3.0886
2008-11-07,-0.5412
2008-11-10,-1.5718999999999999
2008-11-11,0.1229
2008-11-12,-7.4233
2008-11-13,2.9158
2008-11-14,-2.5757
2008-11-17,-0.1322
2008-11-18,0.8604
2008-11-19,-5.315
2008-11-20,-4.7124
2008-11-21,2.6182
2008-11-24,5.1736
2008-11-25,1.8194
2008-11-26,3.4414
2008-11-28,2.6871
2008-12-01,-11.7134
2008-12-02,5.3634
2008-12-03,0.134
2008-12-04,-3.0769
2008-12-05,0.069
2008-12-08,2.2759
2008-12-09,-3.5738
2008-12-10,1.6783000000000001
2008-12-11,-7.2902000000000005
2008-12-12,3.8576
2008-12-15,-4.1429
2008-12-16,4.3219
2008-12-17,-0.7143
2008-12-18,-1.9424000000000001
2008-12-19,-0.3668
2008-12-22,-1.1046
2008-12-23,-3.2018
2008-12-24,-0.3077
2008-12-26,0.0
2008-12-29,-1.1574
2008-12-30,1.5613000000000001
2008-12-31,2.6902
2009-01-02,-3.0689
2009-01-05,-3.5521000000000003
2009-01-06,-1.9215
2009-01-07,0.7347
2009-01-08,2.0259
2009-01-09,-4.6068
2009-01-12,-1.4155
2009-01-13,1.4358
2009-01-14,-4.5795
2009-01-15,-1.6579000000000002
2009-01-16,-1.4197
2009-01-20,-10.8011
2009-01-21,9.0817
2009-01-22,-5.0879
2009-01-23,3.0214
2009-01-26,-1.0407
2009-01-27,3.9196999999999997
2009-01-28,9.5676
2009-01-29,-3.2746
2009-01-30,-1.9965000000000002
2009-02-02,0.7086
2009-02-03,-3.606
2009-02-04,0.0
2009-02-05,3.5584
2009-02-06,7.9295
2009-02-09,-0.4082
2009-02-10,-8.6885
2009-02-11,1.6158000000000001
2009-02-12,0.0
2009-02-13,-3.2686
2009-02-17,-5.0228
2009-02-18,-2.0192
2009-02-19,-3.3366
2009-02-20,-2.132
2009-02-23,-3.6307
2009-02-24,8.1808
2009-02-25,-1.592
2009-02-26,2.1234
2009-02-27,-3.5644
2009-03-02,-5.7495
2009-03-03,-4.6841
2009-03-04,-4.9143
2009-03-05,-13.461500000000001
2009-03-06,-3.6111
2009-03-09,-2.7378
2009-03-10,10.0741
2009-03-11,0.4038
2009-03-12,16.0858
2009-03-13,-0.6928
2009-03-16,2.5581
2009-03-17,7.3696
2009-03-18,6.8638
2009-03-19,1.8775
2009-03-20,-0.8729
2009-03-23,11.1546
2009-03-24,-5.7218
2009-03-25,8.6835
2009-03-26,3.0928
2009-03-27,-2.5
2009-03-30,-6.4103
2009-03-31,2.8311
2009-04-01,2.6643
2009-04-02,4.4983
2009-04-03,3.8079
2009-04-06,-3.5885
2009-04-07,-5.5418
2009-04-08,-1.6637
2009-04-09,8.1923
2009-04-13,3.7037
2009-04-14,-11.8254
2009-04-15,0.7201
2009-04-16,2.2341
2009-04-17,3.4091
2009-04-20,-13.8631
2009-04-21,7.6546
2009-04-22,-3.0994
2009-04-23,17.7799
2009-04-24,5.4313
2009-04-27,1.2121
2009-04-28,0.9731
2009-04-29,4.8184000000000005
2009-04-30,-0.9901
2009-05-01,-0.1429
2009-05-04,7.1531
2009-05-05,-5.2737
2009-05-06,0.0705
2009-05-07,0.0
2009-05-08,9.1549
2009-05-11,-0.9032
2009-05-12,-4.6875
2009-05-13,-6.2842
2009-05-14,2.6239
2009-05-15,-0.4261
2009-05-18,6.6334
2009-05-19,-5.2174
2009-05-20,-2.3994
2009-05-21,1.7354
2009-05-22,-3.909
2009-05-26,7.7663
2009-05-27,-2.8826
2009-05-28,3.8869
2009-05-29,4.4218
2009-06-01,4.2345
2009-06-02,-3.9375
2009-06-03,-0.7807
2009-06-04,0.0
2009-06-05,0.0656
2009-06-08,-1.8349
2009-06-09,0.7343
2009-06-10,-2.3194
2009-06-11,0.882
2009-06-12,0.2017
2009-06-15,-2.8188
2009-06-16,0.9669
2009-06-17,-1.2995999999999999
2009-06-18,1.7325
2009-06-19,2.8609999999999998
2009-06-22,0.3311
2009-06-23,-2.8383000000000003
2009-06-24,-1.3587
2009-06-25,2.6170999999999998
2009-06-26,4.3624
2009-06-29,-0.3215
2009-06-30,-0.1935
2009-07-01,2.8442
2009-07-02,-6.4739
2009-07-06,-0.2688
2009-07-07,-2.7628
2009-07-08,1.1088
2009-07-09,3.2214
2009-07-10,-1.4607999999999999
2009-07-13,2.628
2009-07-14,0.0657
2009-07-15,4.0682
2009-07-16,-1.0719
2009-07-17,-1.7208
2009-07-20,0.3243
2009-07-21,-3.8785
2009-07-22,2.0846999999999998
2009-07-23,6.0606
2009-07-24,-0.6832
2009-07-27,-0.9381
2009-07-28,2.2727
2009-07-29,0.7407
2009-07-30,0.8578
2009-07-31,0.9113
2009-08-03,0.7225
2009-08-04,1.0161
2009-08-05,-0.7692
2009-08-06,2.9815
2009-08-07,2.8373
2009-08-10,0.1126
2009-08-11,-1.631
2009-08-12,2.8016
2009-08-13,-2.3359
2009-08-14,-3.303
2009-08-17,-3.0624
2009-08-18,1.2758
2009-08-19,-0.24
2009-08-20,-0.0601
2009-08-21,2.1059
2009-08-24,-1.2375
2009-08-25,-0.4773
2009-08-26,1.0192
2009-08-27,0.4748
2009-08-28,-1.2995
2009-08-31,-0.9575
2009-09-01,-3.7462
2009-09-02,-2.8249
2009-09-03,1.0336
2009-09-04,1.6623999999999999
2009-09-08,1.6981000000000002
2009-09-09,-0.3092
2009-09-10,0.3722
2009-09-11,-0.8035
2009-09-14,-0.3738
2009-09-15,-0.1876
2009-09-16,5.5138
2009-09-17,-0.4157
2009-09-18,0.7156
2009-09-21,-0.3552
2009-09-22,0.6536
2009-09-23,-1.0035
2009-09-24,-1.6099999999999999
2009-09-25,-0.4848
2009-09-28,3.8977
2009-09-29,-0.5862
2009-09-30,-0.7075
2009-10-01,-3.0879
2009-10-02,-0.7966
2009-10-05,-0.1235
2009-10-06,1.2987
2009-10-07,-0.1221
2009-10-08,-0.5501
2009-10-09,3.0117
2009-10-12,-1.074
2009-10-13,0.1206
2009-10-14,1.2651
2009-10-15,0.0
2009-10-16,-0.4164
2009-10-19,0.5376
2009-10-20,-1.8418999999999999
2009-10-21,-1.9976
2009-10-22,-2.4089
2009-10-23,-2.4684
2009-10-26,1.6872
2009-10-27,-0.8934
2009-10-28,-3.0908
2009-10-29,-0.3987
2009-10-30,-2.8019
2009-11-02,-0.3432
2009-11-03,-0.8953
2009-11-04,-2.9882
2009-11-05,2.8653
2009-11-06,0.2786
2009-11-09,3.125
2009-11-10,-1.4815
2009-11-11,0.0684
2009-11-12,-3.0738
