ticker,IESC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-01-18,-2.3454
2013-01-22,1.31
2013-01-24,-0.8621
2013-01-25,-2.1739
2013-01-28,0.3333
2013-01-29,8.5271
2013-01-30,-8.1633
2013-01-31,-2.9111000000000002
2013-02-01,5.2873
2013-02-04,2.1739
2013-02-06,5.7447
2013-02-07,-6.4386
2013-02-08,-0.6452
2013-02-11,16.8831
2013-02-12,-4.2593
2013-02-13,4.4487
2013-02-14,-7.7778
2013-02-15,8.2329
2013-02-19,0.3711
2013-02-20,-1.1091
2013-02-21,-1.8692
2013-02-22,-0.381
2013-02-26,0.5736
2013-02-27,4.5626999999999995
2013-02-28,5.4545
2013-03-01,2.5862
2013-03-04,-0.5882
2013-03-05,-0.7608
2013-03-06,-5.1107
2013-03-07,1.4363000000000001
2013-03-08,1.2389000000000001
2013-03-11,1.3112
2013-03-12,2.6747
2013-03-13,-3.7983000000000002
2013-03-14,6.3941
2013-03-15,2.4631
2013-03-18,-1.9231
2013-03-19,-1.7974
2013-03-20,1.8303
2013-03-21,-1.4685000000000001
2013-03-22,0.1638
2013-03-25,5.6291
2013-03-26,0.1567
2013-03-27,0.1565
2013-03-28,1.5625
2013-04-01,-1.7231
2013-04-02,-0.5949
2013-04-03,-4.252
2013-04-04,0.3289
2013-04-05,0.8197
2013-04-08,-1.9512
2013-04-15,-6.136
2013-04-16,0.8834
2013-04-17,-5.6042
2013-04-18,11.1317
2013-04-22,-9.8497
2013-04-23,3.8889
2013-04-24,-5.1693
2013-04-25,8.2707
2013-04-26,0.6944
2013-04-29,0.8621
2013-04-30,-0.3419
2013-05-01,-1.2006999999999999
2013-05-02,1.7708
2013-05-03,3.3777
2013-05-06,-3.3663
2013-05-07,-0.444
2013-05-08,-1.3721999999999999
2013-05-09,0.0
2013-05-10,0.7446
2013-05-13,7.7197
2013-05-14,-3.8442
2013-05-15,3.1645
2013-05-16,-2.7464
2013-05-17,-3.1561
2013-05-20,1.0292
2013-05-21,-4.7538
2013-05-22,0.9091
2013-05-23,1.5722
2013-05-28,1.7391
2013-05-29,-2.5641
2013-05-30,-1.7544
2013-05-31,-0.1786
2013-06-03,-1.6099999999999999
2013-06-04,-3.8182
2013-06-05,0.0
2013-06-07,2.2684
2013-06-10,-0.1848
2013-06-11,-3.5162
2013-06-12,-3.3804
2013-06-13,1.907
2013-06-14,0.0
2013-06-17,-2.729
2013-06-18,-7.4148
2013-06-19,-3.2468
2013-06-20,-4.4743
2013-06-21,3.5129
2013-06-24,-2.4887
2013-06-25,0.9281
2013-06-26,0.4598
2013-06-27,-3.4325
2013-06-28,5.2133
2013-07-01,4.0541
2013-07-02,9.0909
2013-07-05,-6.7436
2013-07-08,2.1249
2013-07-09,-2.2917
2013-07-10,2.1322
2013-07-11,2.0877
2013-07-12,-4.09
2013-07-15,-0.8529
2013-07-16,1.0753
2013-07-17,-0.4255
2013-07-18,-0.641
2013-07-19,0.0
2013-07-22,3.0108
2013-07-23,-0.2088
2013-07-24,-0.6276
2013-07-25,-5.8947
2013-07-26,2.9083
2013-07-29,0.2174
2013-07-30,0.8677
2013-07-31,26.6667
2013-08-01,-3.3956
2013-08-02,-11.775
2013-08-05,4.7809
2013-08-06,5.7034
2013-08-07,-6.8345
2013-08-08,-5.0193
2013-08-09,-5.2846
2013-08-12,5.5794
2013-08-13,-4.2683
2013-08-14,0.4246
2013-08-15,-1.4799
2013-08-16,-2.3605
2013-08-19,-0.6593
2013-08-20,-0.2212
2013-08-21,-4.2129
2013-08-22,5.3241
2013-08-23,-2.3077
2013-08-26,-2.1372
2013-08-28,-5.0575
2013-08-29,2.9055999999999997
2013-08-30,-3.5294
2013-09-03,0.9756
2013-09-04,-1.4493
2013-09-05,0.0
2013-09-06,-3.4314
2013-09-09,-0.7582
2013-09-10,5.879
2013-09-11,-2.657
2013-09-12,6.2035
2013-09-13,-0.9346
2013-09-17,-0.2358
2013-09-18,3.7824999999999998
2013-09-19,-0.2278
2013-09-20,3.653
2013-09-23,-8.582
2013-09-24,3.6051
2013-09-25,-0.2326
2013-09-26,-1.1655
2013-09-27,-3.7736
2013-09-30,-0.4902
2013-10-01,-1.4778
2013-10-02,4.25
2013-10-03,-0.9592
2013-10-04,12.8329
2013-10-07,-1.9313
2013-10-08,-4.814
2013-10-09,9.181
2013-10-10,13.6992
2013-10-11,-11.4815
2013-10-14,6.9038
2013-10-15,-1.2231
2013-10-16,-4.7053
2013-10-17,0.4158
2013-10-18,-2.6915
2013-10-21,1.9149
2013-10-22,-2.714
2013-10-23,-0.4292
