ticker,GBGD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-10-16,0.0
2008-10-17,250.0
2008-10-20,5.7143
2008-10-21,21.6216
2008-10-22,-11.1111
2008-10-23,0.0
2008-10-24,-20.0
2008-10-27,-9.375
2008-10-28,3.4483
2008-10-29,6.6667
2008-11-03,-6.25
2008-11-04,0.0
2008-11-05,-1.6667
2008-11-06,1.6949
2008-11-07,0.0
2008-11-11,0.0
2008-11-12,-26.6667
2008-11-13,-31.8182
2008-11-14,6.6667
2008-11-17,-6.25
2008-11-18,-33.3333
2008-11-19,0.0
2008-11-20,0.0
2008-11-21,-10.0
2008-11-24,11.1111
2008-11-25,25.0
2008-11-28,60.0
2008-12-02,-25.0
2008-12-03,-40.0
2008-12-08,22.2222
2008-12-09,0.0
2008-12-11,-9.0909
2008-12-12,9.0
2008-12-15,-26.6055
2008-12-16,0.0
2008-12-18,25.0
2008-12-19,0.0
2008-12-22,-10.0
2008-12-23,0.0
2008-12-24,11.1111
2008-12-26,0.0
2008-12-29,-10.0
2008-12-30,11.1111
2008-12-31,0.0
2009-01-12,0.0
2009-01-14,-10.0
2009-01-27,0.0
2009-01-28,-11.1111
2009-02-02,25.0
2009-02-03,-5.0
2009-02-09,-10.526299999999999
2009-02-10,76.4706
2009-02-11,-33.3333
2009-02-17,40.0
2009-02-18,-28.5714
2009-02-19,-50.0
2009-02-23,100.0
2009-02-24,0.0
2009-02-26,10.0
2009-03-02,-9.0909
2009-03-03,0.0
2009-03-04,0.0
2009-03-05,0.0
2009-03-06,20.0
2009-03-13,54.1667
2009-03-17,8.1081
2009-03-18,-37.5
2009-03-19,60.0
2009-03-23,-2.5
2009-03-25,-2.5641
2009-03-26,2.6316
2009-03-31,2.5641
2009-04-01,0.0
2009-04-07,0.0
2009-04-09,-40.0
2009-04-17,66.6667
2009-04-21,-40.0
2009-04-22,66.6667
2009-04-24,0.0
2009-04-29,-25.0
2009-04-30,-66.6667
2009-05-01,200.0
2009-05-05,26.6667
2009-05-07,0.0
2009-05-08,-21.0526
2009-05-11,-33.3333
2009-05-14,85.0
2009-05-15,-18.9189
2009-05-22,22.0
2009-05-26,-34.4262
2009-05-27,0.0
2009-06-02,-16.6667
2009-06-05,20.0
2009-06-08,-16.6667
2009-06-09,0.0
2009-06-12,0.0
2009-06-15,-10.0
2009-06-18,0.0
2009-06-19,33.3333
2009-06-26,-15.8333
2009-06-30,0.0
2009-07-02,-10.8911
2009-07-06,-11.1111
2009-07-08,25.0
2009-07-09,0.0
2009-07-10,0.0
2009-07-15,0.0
2009-07-16,60.0
2009-07-17,-6.25
2009-07-20,-6.6667
2009-07-21,0.0
2009-07-22,6.4286
2009-07-23,7.3826
2009-07-24,-37.5
2009-07-27,40.0
2009-07-28,0.0
2009-08-03,13.5714
2009-08-05,19.4969
2009-08-06,-10.526299999999999
2009-08-07,-11.7647
2009-08-10,0.0
2009-08-12,13.3333
2009-08-13,-37.6471
2009-08-14,69.8113
2009-08-17,-38.8889
2009-08-18,0.0
2009-08-20,0.0
2009-08-21,36.3636
2009-08-24,0.0
2009-08-27,-13.3333
2009-08-28,0.0
2009-08-31,7.6923
2009-09-02,-42.8571
2009-09-03,62.5
2009-09-04,-7.6923
2009-09-08,8.3333
2009-09-09,0.0
2009-09-10,38.4615
2009-09-11,11.1111
2009-09-15,0.0
2009-09-17,-40.0
2009-09-18,54.1667
2009-09-21,-8.1081
2009-09-24,-11.7647
2009-09-29,-40.0
2009-09-30,44.4444
2009-10-05,7.6923
2009-10-08,-15.0
2009-10-09,17.647100000000002
2009-10-12,7.1429
2009-10-14,-13.3333
2009-10-16,0.0
2009-10-19,15.3846
2009-10-28,6.6667
2009-10-29,9.375
2009-10-30,2.8571
2009-11-02,-16.6667
2009-11-03,20.0
2009-11-04,2.7778
2009-11-06,2.7027
2009-11-09,-21.0526
2009-11-10,0.0
2009-11-11,0.0
2009-11-12,0.0
2009-11-16,0.0
2009-11-17,46.6667
2009-11-18,-4.5455
2009-11-19,-4.7619
2009-11-20,-25.0
2009-11-23,0.0
2009-11-24,20.0
2009-11-25,33.3333
2009-11-27,-20.8333
2009-11-30,-5.2632
2009-12-01,5.5556
2009-12-02,0.0
2009-12-03,-5.2632
2009-12-04,-5.5556
2009-12-07,-11.7647
2009-12-08,-6.6667
2009-12-09,14.2857
2009-12-10,-6.25
2009-12-11,0.0
2009-12-14,-6.6667
2009-12-16,22.1429
2009-12-17,-15.2047
2009-12-18,24.1379
2009-12-21,-5.5556
2009-12-23,-22.9412
2009-12-28,0.0
2009-12-30,3.0534
2009-12-31,11.1111
2010-01-04,-6.6667
2010-01-06,3.5714
2010-01-11,3.4483
2010-01-12,-20.0
2010-01-13,16.6667
2010-01-19,-14.2857
2010-01-20,0.0
2010-01-22,8.3333
2010-02-01,-7.6923
2010-02-05,16.6667
2010-02-08,0.0
2010-02-09,-7.1429
2010-02-19,7.6923
2010-02-22,0.0
2010-02-25,0.0
2010-03-01,0.0
2010-03-04,0.0
2010-03-08,0.0
2010-03-09,21.4286
2010-03-10,2.6471
2010-03-12,-36.3897
2010-03-15,44.1441
2010-03-16,12.5
2010-03-17,0.0
2010-03-22,-1.3889
2010-03-25,-4.2254
2010-03-30,0.0
2010-03-31,0.0
2010-04-07,0.0
2010-04-08,0.0
2010-04-12,0.0
2010-04-14,5.8824
2010-04-16,0.0
2010-04-21,-16.6667
2010-04-22,20.0
2010-04-28,-50.0
2010-04-29,55.5556
