ticker,NXFI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-11-06,13.0952
2014-11-07,9.473700000000001
2014-11-10,0.9615
2014-11-11,0.9524
2014-11-12,0.0
2014-11-14,8.4906
2014-11-17,0.0
2014-11-18,-4.3478
2014-11-19,18.1818
2014-11-20,0.0
2014-11-21,7.6923
2014-11-25,3.5714
2014-11-26,6.8966
2014-12-01,0.0
2014-12-03,3.2258
2014-12-04,-21.25
2014-12-05,24.6032
2014-12-08,0.0
2014-12-09,-0.6369
2014-12-12,3.8462
2014-12-16,2.4691
2014-12-17,1.2048
2014-12-18,-4.7619
2014-12-26,0.0
2014-12-29,-3.125
2014-12-30,-6.4516
2014-12-31,18.6207
2015-01-05,-6.9767
2015-01-08,3.125
2015-01-09,0.0
2015-01-12,-9.0909
2015-01-13,-16.6667
2015-01-14,20.0
2015-01-20,-13.3333
2015-01-23,0.0
2015-01-27,20.0
2015-01-29,-0.641
2015-01-30,0.0
2015-02-02,3.2258
2015-02-12,-12.5
2015-03-11,6.4286
2015-03-13,-26.1745
2015-03-16,9.0909
2015-03-17,-10.0
2015-03-18,-29.0162
2015-03-19,30.4419
2015-03-23,-40.0
2015-03-26,50.0
2015-04-01,-83.3333
2015-04-07,166.6667
2015-04-16,37.5
2015-04-22,-56.3636
2015-04-27,10.0
2015-04-29,89.3939
2015-04-30,0.0
2015-05-04,0.0
2015-05-08,10.0
2015-05-15,-45.4545
2015-05-18,0.0
2015-05-28,-16.6667
2015-05-29,0.0
2015-06-10,0.0
2015-06-23,92.0
2015-06-24,-47.9167
2015-06-25,92.0
2015-06-29,0.0
2015-07-06,-47.9167
2015-08-04,-20.0
2015-09-02,25.0
2015-09-09,-44.0
2015-09-24,19.5536
2015-10-02,73.2636
2015-10-07,-42.2845
2015-10-12,-3.2114
2015-10-29,-1.2346
2015-11-04,0.0
2015-11-05,0.0
2015-11-06,0.0
2015-11-11,-6.25
2015-11-23,-3.3333
2015-11-24,0.0
2015-11-25,0.0
2015-11-30,0.0
2015-12-18,-34.4828
2015-12-23,57.8947
2016-01-04,-40.0
2016-01-20,19.5833
2016-01-25,150.8711
2016-01-27,-33.3333
2016-02-08,-48.8889
2016-03-15,-4.3478
2016-03-16,0.0
2016-04-18,-5.6818
2016-05-06,8.4337
2016-05-11,-5.5556
2016-06-14,0.0
2016-07-13,5.8824
2016-07-25,-1.1111
2016-08-02,-8.8483
2016-08-03,220.4931
2016-08-04,0.0
2016-08-05,-26.9231
2016-08-08,-15.7895
2016-08-09,25.0
2016-08-17,0.0
2016-08-31,-15.0
2016-11-07,-17.647100000000002
2016-11-09,-7.1429
2016-11-22,-46.1538
2016-12-19,0.0
2016-12-30,0.0
2017-04-05,0.0
2017-04-21,149.8214
2017-04-24,-5.6469000000000005
2017-06-16,-33.3333
2017-08-23,11.5
2017-09-25,-10.3139
2017-09-29,0.0
2017-12-18,-45.4545
2017-12-19,-83.1667
2017-12-20,33.9307
2017-12-29,84.8156
2018-02-21,60.0
2018-03-06,0.0
2018-04-13,0.0
2018-04-27,-74.75
2018-05-08,494.0594
2018-05-29,0.0
2018-06-21,-50.0
2018-06-22,-66.3333
2018-06-27,0.0
2018-07-17,1533.6634
2018-07-30,-48.1212
2018-08-14,92.757
2018-08-31,-99.3333
2018-09-04,14900.0
2020-02-13,-99.9394
