ticker,RPMT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-07,-16.6667
2015-04-08,10.0
2015-04-09,12.0833
2015-04-10,-13.4843
2015-04-13,-6.25
2015-04-14,-3.3333
2015-04-15,-1.7241
2015-04-16,-1.7544
2015-04-17,-7.0982
2015-04-20,53.7722
2015-04-21,-20.0
2015-04-22,0.0
2015-04-23,4.707
2015-04-24,-10.4272
2015-04-27,9.9542
2015-04-28,-9.0909
2015-04-29,-10.0
2015-04-30,0.0
2015-05-01,22.2222
2015-05-04,3.0303
2015-05-05,2.9412000000000003
2015-05-06,0.0
2015-05-07,5.7143
2015-05-08,2.7534
2015-05-11,20.9929
2015-05-12,-2.1739
2015-05-13,-11.1111
2015-05-14,0.0
2015-05-15,0.0
2015-05-18,0.0
2015-05-19,0.0
2015-05-20,-5.0
2015-05-21,3.9474
2015-05-22,0.0
2015-05-26,-1.2658
2015-05-27,-2.5641
2015-05-28,-2.6316
2015-05-29,8.1081
2015-06-01,-12.5
2015-06-02,0.0
2015-06-03,8.5714
2015-06-04,7.8947
2015-06-05,-2.439
2015-06-08,-5.0
2015-06-09,-3.9145
2015-06-10,-4.1082
2015-06-11,2.8204000000000002
2015-06-12,-1.1111
2015-06-15,6.7416
2015-06-16,2.6316
2015-06-17,-9.9679
2015-06-18,9.6476
2015-06-22,-6.4935
2015-06-23,-13.8889
2015-06-24,-3.2258
2015-06-25,-20.0
2015-06-26,25.0
2015-06-29,-6.6667
2015-06-30,7.1429
2015-07-01,-6.3333
2015-07-02,13.879
2015-07-06,0.0
2015-07-07,1.5625
2015-07-08,1.5385
2015-07-09,0.0
2015-07-10,0.0
2015-07-13,-15.1515
2015-07-14,-10.7143
2015-07-15,-1.8
2015-07-16,3.8697
2015-07-17,0.0
2015-07-21,29.4118
2015-07-22,-22.7273
2015-07-23,-15.6863
2015-07-24,4.6512
2015-07-27,-4.2222
2015-07-28,0.0
2015-07-29,0.0
2015-07-30,2.0882
2015-07-31,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,6.8182
2015-08-06,0.0
2015-08-07,-14.8936
2015-08-10,0.0
2015-08-11,-2.5
2015-08-12,2.5641
2015-08-13,22.5
2015-08-14,-2.0408
2015-08-17,-16.6667
2015-08-18,0.0
2015-08-19,0.0
2015-08-20,0.0
2015-08-21,-9.9375
2015-08-24,-25.052
2015-08-25,1.8519
2015-08-26,30.9091
2015-08-27,55.5556
2015-08-28,25.0
2015-08-31,-28.5714
2015-09-01,16.0
2015-09-02,10.0
2015-09-03,0.0
2015-09-04,0.0
2015-09-08,-18.4561
2015-09-09,22.6333
2015-09-10,-13.7931
2015-09-11,20.0
2015-09-14,-2.9924
2015-09-15,-0.039
