ticker,CESX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-08-21,-1.1907
2015-08-25,0.0
2015-08-26,13.2701
2015-08-27,2.1277
2015-08-28,5.2083
2015-08-31,-0.9901
2015-09-01,-0.0125
2015-09-02,-1.9877
2015-09-03,1.0204
2015-09-04,0.0
2015-09-08,0.0
2015-09-09,-2.0202
2015-09-10,0.0
2015-09-11,3.0928
2015-09-14,-3.0
2015-09-15,-26.8041
2015-09-16,25.9155
2015-09-17,2.7615
2015-09-18,-0.9456
2015-09-21,-1.0989
2015-09-22,-2.2361
2015-09-23,-5.6684
2015-09-24,-8.4337
2015-09-25,6.5789
2015-09-28,-4.9383
2015-09-29,2.5974
2015-09-30,-1.2658
2015-10-01,-7.0513
2015-10-02,2.069
2015-10-05,0.0
2015-10-06,-1.3514
2015-10-07,-1.3699
2015-10-08,-16.684
2015-10-09,0.0208
2015-10-12,-8.3333
2015-10-13,-12.7273
2015-10-14,-16.6667
2015-10-15,0.0
2015-10-16,-12.6719
2015-10-19,100.3936
2015-10-20,-21.4286
2015-10-21,9.0909
2015-10-22,-0.1354
2015-10-23,-8.209
2015-10-27,0.0
2015-10-28,-9.0909
2015-10-30,0.0
2015-11-02,0.0
2015-11-03,-0.2
2015-11-04,-1.8035999999999999
2015-11-05,0.0
2015-11-09,0.0
2015-11-10,0.0
2015-11-12,0.0
2015-11-16,0.0
2015-11-17,0.0
2015-11-18,-6.1224
2015-11-19,-4.3478
2015-11-20,0.0
2015-11-23,0.0
2015-11-24,4.5455
2015-11-25,0.0
2015-11-27,0.0
2015-11-30,-7.6495
2015-12-01,0.0147
2015-12-02,0.0
2015-12-04,0.0
2015-12-07,0.0
2015-12-09,-10.5619
2015-12-10,-0.2632
2015-12-11,-12.9288
2015-12-15,-3.0303
2015-12-16,3.125
2015-12-17,0.0
2015-12-21,-3.0303
2015-12-22,-22.1875
2015-12-23,0.4016
2015-12-24,0.0
2015-12-28,67.95
2015-12-30,-4.8972999999999995
2015-12-31,-4.2104
2016-01-04,4.0523
2016-01-06,-12.1388
2016-01-08,0.0
2016-01-13,-15.639
2016-01-14,-0.0424
2016-01-15,-1.6956
2016-01-19,-13.7991
2016-01-20,-9.955
2016-01-21,0.0
2016-01-26,-15.5556
2016-02-02,-10.526299999999999
2016-02-03,0.0
2016-02-04,0.0
2016-02-08,0.0
2016-02-10,0.0
2016-02-11,0.0
2016-02-12,0.0
2016-02-16,0.0
2016-02-19,0.0
2016-02-22,0.0
2016-02-23,-17.0588
2016-02-24,0.0
2016-02-25,0.7092
2016-02-26,19.7183
2016-02-29,0.0
2016-03-01,-16.4706
2016-03-03,5.6338
2016-03-04,13.3333
2016-03-07,6.4706
2016-03-08,13.2597
2016-03-10,2.439
2016-03-11,-10.4762
2016-03-14,-20.2128
2016-03-15,0.6667
2016-03-16,5.9603
2016-03-18,0.625
2016-03-21,2.4845
2016-03-22,-3.0303
2016-03-29,-6.25
2016-04-01,0.0
2016-04-04,-13.3333
2016-04-05,7.6923
2016-04-06,-7.1429
2016-04-07,-23.0769
2016-04-11,0.0
2016-04-12,10.0
2016-04-13,-27.2727
2016-04-15,-18.75
2016-04-18,7.8846
2016-04-19,14.082
2016-04-20,25.0
2016-04-22,-20.0
2016-04-25,1.25
2016-04-29,-1.2346
2016-05-03,-12.5
2016-05-04,7.1429
2016-05-06,7.6667
2016-05-09,23.6842
2016-05-13,-28.9111
2016-05-16,26.7606
2016-05-17,11.1111
2016-05-18,100.0
2016-05-19,-25.0
2016-05-20,-33.3333
2016-05-26,0.0
2016-06-06,6.875
2016-06-09,0.0
2016-06-13,-6.4327
2016-06-15,30.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-20,-7.6923
2016-06-21,0.0
2016-06-23,0.0
2016-06-24,8.3333
2016-06-27,-0.0962
2016-06-28,0.0962
2016-07-05,-23.0769
2016-07-08,30.0
2016-07-11,-23.0769
2016-07-14,5.75
2016-07-15,-0.7092
2016-07-18,0.0
2016-07-19,9.5238
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-26,-4.3478
2016-07-27,4.5455
2016-08-01,-4.3478
2016-08-02,-4.5455
2016-08-03,14.2857
2016-08-08,0.0
2016-08-15,-8.3333
2016-08-16,-35.3409
2016-08-18,54.6573
2016-08-22,0.0
2016-08-24,0.0
2016-08-25,-27.2727
2016-08-26,37.5
2016-08-29,0.0
2016-09-09,0.0
2016-09-12,0.0
2016-09-16,-13.6364
2016-09-19,-36.8421
2016-09-20,0.0
2016-09-21,13.0208
2016-09-22,-11.5207
2016-09-23,56.6667
2016-09-26,-21.2766
2016-09-27,27.027
2016-10-10,-36.1702
2016-10-19,0.0
2016-10-20,50.0
2016-10-27,-22.2222
2016-10-31,0.0
2016-11-02,0.0
2016-11-03,7.1429
2016-11-04,6.6667
2016-11-10,-25.0
2016-11-11,0.0
2016-11-14,33.3333
2016-11-17,-25.0
2016-11-18,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-25,0.0
