ticker,BKOR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-04-16,5.6338
2013-04-19,-0.2222
2013-04-22,2.4499
2013-04-23,-4.3478
2013-04-24,0.4545
2013-04-26,-2.7149
2013-04-30,3.4884
2013-05-01,-3.1461
2013-05-03,-0.232
2013-05-06,6.7442
2013-05-08,0.2179
2013-05-10,-1.7391
2013-05-13,-1.5487
2013-05-14,3.3708
2013-05-15,1.087
2013-05-20,-3.2258
2013-05-21,0.0
2013-05-23,-2.2222
2013-05-28,7.5
2013-05-29,-5.9197
2013-05-31,-0.6742
2013-06-03,0.0
2013-06-04,0.0
2013-06-06,-2.4844
2013-06-07,0.4597
2013-06-10,0.0
2013-06-11,5.0808
2013-06-12,-5.4945
2013-06-13,0.0
2013-06-14,0.0
2013-06-17,0.0
2013-06-19,0.0
2013-06-20,2.3256
2013-06-21,-1.9886
2013-06-24,-0.2899
2013-06-25,1.3953
2013-06-26,-0.2294
2013-06-27,-6.5489
2013-06-28,-0.1261
2013-07-01,4.1872
2013-07-02,2.6005000000000003
2013-07-03,-5.2995
2013-07-05,-2.4331
2013-07-09,0.7481
2013-07-11,5.9406
2013-07-15,0.4673
2013-07-16,0.0
2013-07-17,-4.8837
2013-07-19,3.1785
2013-07-22,-5.2133
2013-07-23,1.75
2013-07-24,-2.9484
2013-07-26,0.5063
2013-07-29,0.0
2013-07-30,0.0
2013-08-02,0.7557
2013-08-07,1.25
2013-08-08,-1.2346
2013-08-09,0.0
2013-08-12,0.0
2013-08-14,0.0
2013-08-15,0.25
2013-08-16,0.0
2013-08-19,-0.2494
2013-08-20,2.5
2013-08-22,-2.439
2013-08-27,0.0
2013-09-05,0.0
2013-09-11,0.0
2013-09-13,2.5
2013-09-16,0.0
2013-09-18,2.439
2013-09-20,1.1905000000000001
2013-09-25,3.5294
2013-09-26,0.0
2013-09-27,-3.4091
2013-10-01,5.1765
2013-10-03,0.6711
2013-10-07,0.0
2013-10-08,7.7778
2013-10-10,2.0619
2013-10-11,0.0
2013-10-14,-1.0101
2013-10-16,2.0408
2013-10-17,0.0
2013-10-18,0.0
2013-10-24,-6.0
2013-10-28,6.383
2013-10-30,0.0
2013-10-31,2.0
2013-11-05,1.9607999999999999
2013-11-06,0.0
2013-11-08,0.9615
2013-11-13,33.3333
2013-11-18,-9.0
2013-11-19,2.0408
2013-11-21,0.3077
2013-11-25,7.2086
2013-11-26,-5.5794
2013-12-04,0.1515
2013-12-13,1.5129000000000001
2013-12-16,1.7884
2013-12-18,0.1464
2013-12-19,-0.4386
2013-12-20,-2.0558
2013-12-24,2.099
2013-12-30,-2.3495
2013-12-31,-0.1504
2014-01-03,0.0
2014-01-06,0.1506
2014-01-07,0.0
2014-01-09,2.2556
2014-01-17,-2.2059
2014-01-21,0.3008
2014-01-22,0.1499
2014-01-24,0.1497
2014-01-27,0.0
2014-01-28,0.299
2014-01-30,0.5961
2014-02-03,0.0
2014-02-04,0.0
2014-02-05,0.0
2014-02-12,0.2963
2014-02-13,2.8064999999999998
2014-02-14,-2.2989
2014-02-18,0.7353
2014-02-19,2.1898
2014-02-20,-2.4286
2014-02-21,2.489
2014-02-25,-0.7143
2014-02-27,0.7194
2014-03-06,0.0
2014-03-10,4.2857
2014-03-11,0.0
2014-03-13,-0.6849
2014-03-14,-4.6897
2014-03-21,0.1447
2014-04-01,0.1445
2014-04-02,0.0
2014-04-03,-2.5974
2014-04-04,0.1481
2014-04-11,-0.1479
2014-04-14,3.7037
2014-04-15,-3.5714
2014-04-22,-1.037
2014-04-24,2.5449
2014-04-25,-2.7737
2014-04-30,1.6517
2014-05-02,0.5908
2014-05-07,0.5874
2014-05-08,0.146
2014-05-12,0.5831
2014-05-16,-0.5797
2014-05-20,0.0
2014-05-21,0.8746
2014-06-02,1.0116
2014-06-03,-1.2876
2014-06-04,-1.4493
2014-06-05,2.9412000000000003
2014-06-06,0.0
2014-06-11,2.1429
2014-06-19,-1.3986
2014-06-25,-1.7021
2014-06-26,1.7316
2014-07-01,1.4184
2014-07-02,-2.0979
2014-07-09,1.4285999999999999
2014-07-10,0.0
2014-07-16,-0.7042
2014-07-21,0.0
2014-07-22,2.1277
2014-07-23,0.6944
2014-07-28,0.0
2014-07-29,0.0
2014-07-30,0.0
2014-08-01,-1.931
2014-08-04,1.2658
2014-08-06,0.2778
2014-08-12,8.3102
2014-08-18,-0.3836
2014-08-21,0.0
