ticker,SITE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-08-24,0.4579
2018-08-27,-0.1334
2018-08-28,0.7237
2018-08-29,0.42
2018-08-30,-0.044
2018-08-31,-0.4845
2018-09-04,-0.343
2018-09-05,-0.0888
2018-09-06,-0.1556
2018-09-07,0.3117
2018-09-10,2.8296
2018-09-11,-0.0755
2018-09-12,-0.6803
2018-09-13,-1.3374
2018-09-14,0.1433
2018-09-17,-3.2574
2018-09-18,-0.182
2018-09-19,-3.3276
2018-09-20,-3.6544
2018-09-21,-0.6485
2018-09-24,-0.9729
2018-09-25,2.7359999999999998
2018-09-26,-3.922
2018-09-27,-4.4223
2018-09-28,-0.6855
2018-10-01,-2.8803
2018-10-02,0.3963
2018-10-03,-2.6681
2018-10-04,-0.5874
2018-10-05,0.1548
2018-10-08,-0.6602
2018-10-09,-4.3128
2018-10-10,-2.1132
2018-10-11,-0.936
2018-10-12,6.2024
2018-10-15,3.2286
2018-10-16,0.5838
2018-10-17,-1.9624000000000001
2018-10-18,-1.4237
2018-10-19,-4.1899
2018-10-22,0.3731
2018-10-23,1.1896
2018-10-24,-5.9368
2018-10-25,0.1094
2018-10-26,-2.7622
2018-10-29,0.1605
2018-10-30,0.9454
2018-10-31,8.0
2018-11-01,-0.7643
2018-11-02,0.7257
2018-11-05,-2.3085
2018-11-06,0.3763
2018-11-07,-0.12
2018-11-08,-2.8224
2018-11-09,-2.8117
2018-11-12,-1.0968
2018-11-13,3.7448
2018-11-14,-1.2703
2018-11-15,0.7375
2018-11-16,-1.6978
2018-11-19,-2.0916
2018-11-20,-5.5672
2018-11-21,0.2399
2018-11-23,-1.1284
2018-11-26,-1.4352
2018-11-27,-0.1754
2018-11-28,3.2689
2018-11-29,2.1612999999999998
2018-11-30,2.682
2018-12-03,2.6444
2018-12-04,-6.1008
2018-12-06,3.6694
2018-12-07,-1.4126
2018-12-10,-4.4137
2018-12-11,-1.0682
2018-12-12,-3.0477
2018-12-13,-1.7244000000000002
2018-12-14,-0.4021
2018-12-17,2.3491
2018-12-18,0.5738
2018-12-19,-1.7294
2018-12-20,-3.701
2018-12-21,-0.2449
2018-12-24,-4.0793
