ticker,TXIC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-16,-4.6154
2012-10-17,29.0323
2012-10-18,-20.0
2012-10-19,0.0
2012-10-22,-6.25
2012-10-23,0.0
2012-10-24,0.0
2012-10-25,0.0
2012-10-31,32.6667
2012-11-05,-29.6482
2012-11-07,10.7143
2012-11-09,0.0
2012-11-13,-3.2258
2012-11-14,3.3333
2012-11-15,18.9919
2012-11-16,21.9925
2012-11-19,-0.2222
2012-11-20,0.2227
2012-11-21,0.0
2012-11-26,0.3056
2012-11-27,25.9208
2012-11-28,-3.2329
2012-11-29,9.0909
2012-11-30,0.0
2012-12-03,-3.3333
2012-12-04,9.1164
2012-12-05,2.7058999999999997
2012-12-07,-10.7692
2012-12-10,-1.7241
2012-12-12,-3.5088
2012-12-14,15.2045
2012-12-17,-6.4312000000000005
2012-12-18,-2.1716
2012-12-19,0.0
2012-12-20,0.0
2012-12-21,3.4483
2012-12-26,-3.3333
2012-12-27,1.3793
2012-12-28,-1.3605
2012-12-31,20.6681
2013-01-03,-32.5594
2013-01-04,22.8814
2013-01-07,1.7241
2013-01-10,3.0191
2013-01-11,8.7198
2013-01-14,-1.6362
2013-01-16,-47.6346
2013-01-17,102.7176
2013-01-18,-5.7971
2013-01-22,2.3077
2013-01-23,0.7331
2013-01-24,0.0187
2013-01-25,-2.9851
2013-01-28,6.1538
2013-01-29,15.942
2013-01-30,-6.25
2013-01-31,-1.3333
2013-02-01,1.3514
2013-02-04,-1.3333
2013-02-05,-5.4054
2013-02-06,2.8571
2013-02-07,0.0
2013-02-08,-7.6215
2013-02-11,8.2503
2013-02-12,-2.8038
2013-02-19,-2.8579
2013-02-20,-0.0184
2013-02-22,-14.6667
2013-02-25,15.1078
2013-02-26,-2.6587
2013-02-28,-0.0769
2013-03-01,-7.6035
2013-03-04,0.0
2013-03-06,0.0
2013-03-07,0.0
2013-03-08,0.0
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,3.3125
2013-03-18,-3.2063
2013-03-20,0.0
2013-03-21,0.0
2013-03-22,-1.6667
2013-03-25,0.0
2013-03-26,0.0
2013-03-27,0.0
2013-04-02,1.6949
2013-04-04,-3.3333
2013-04-08,0.0
2013-04-11,0.0
2013-04-15,0.0
2013-04-17,0.0
2013-04-19,-5.1724
2013-04-22,-9.0909
2013-04-23,-10.0
2013-04-24,2.2222
2013-04-25,-8.6957
2013-04-26,-4.7619
2013-04-29,12.5
2013-04-30,0.0
2013-05-02,-20.0
2013-05-03,0.0
2013-05-06,25.0
2013-05-07,0.0
2013-05-08,-11.1111
2013-05-09,0.0
2013-05-10,0.0
2013-05-13,0.0
2013-05-14,0.0
2013-05-15,0.0
2013-05-17,-4.9688
2013-05-20,5.2285
2013-05-21,-5.0
2013-05-22,5.2632
2013-05-23,-0.0313
2013-05-24,0.0313
2013-05-28,0.0
2013-05-29,-12.5
2013-05-30,14.2857
2013-05-31,6.375
2013-06-03,-5.9636
2013-06-04,2.468
2013-06-05,-24.1159
2013-06-07,-3.5757
2013-06-10,37.0417
2013-06-12,-31.8942
2013-06-13,46.317
2013-06-14,-0.9916
2013-06-17,-0.0308
2013-06-18,-26.0173
2013-06-19,-6.6667
2013-06-20,7.1429
2013-06-21,6.6667
2013-06-24,-18.75
2013-06-25,15.0
2013-06-26,-13.0435
2013-06-27,0.0
2013-06-28,59.8077
2013-07-01,-6.3026
2013-07-03,-0.4174
2013-07-09,-22.6181
2013-07-10,0.0
2013-07-11,13.2917
2013-07-15,-11.7323
2013-07-16,0.0
2013-07-17,0.0
2013-07-18,0.0
2013-07-19,0.0
2013-07-22,10.0
2013-07-23,21.2121
2013-07-31,-12.5
2013-08-01,-5.7143
2013-08-02,0.0
2013-08-05,-9.053
2013-08-06,0.6664
2013-08-07,0.9516
2013-08-08,4.877
2013-08-09,3.1653000000000002
2013-08-12,0.0
2013-08-15,-9.0909
2013-08-16,10.0
2013-08-19,-9.0909
2013-08-20,10.0
2013-08-26,0.0
2013-08-27,-9.0909
2013-08-28,30.0
2013-08-29,-17.9487
2013-08-30,6.2109
2013-09-03,2.979
2013-09-05,-14.25
2013-09-06,16.6181
2013-09-09,-5.7143
2013-09-10,0.0
2013-09-11,0.0
2013-09-16,-9.0341
2013-09-17,33.1876
2013-09-18,-12.459
2013-09-20,0.0
2013-09-23,2.8571
2013-09-24,0.0
2013-09-25,-1.1111
2013-10-04,-21.3483
2013-10-07,8.9286
2013-10-08,1.5984
2013-10-09,-0.4034
2013-10-11,22.418
2013-10-15,-2.1009
2013-10-16,-1.8587
2013-10-17,-17.3554
2013-10-18,21.0
2013-10-21,-11.8457
2013-10-22,3.75
2013-10-23,-9.6762
2013-10-24,0.0417
2013-10-25,6.6667
2013-10-28,0.0
2013-10-30,-0.0391
2013-10-31,0.0
2013-11-01,-9.3396
2013-11-04,14.4397
2013-11-05,-0.565
2013-11-07,-14.8106
2013-11-08,18.0302
2013-11-11,-0.5462
2013-11-12,9.0909
2013-11-13,0.0
2013-11-15,0.0
2013-11-18,0.0
2013-11-19,5.5556
2013-11-20,0.0
2013-11-21,-5.2632
2013-11-22,11.1111
2013-11-25,4.9531
2013-11-26,-4.7194
2013-11-27,4.9687
2013-11-29,-9.4969
2013-12-02,0.0
2013-12-03,28.947400000000002
2013-12-04,-2.0663
2013-12-06,-6.2256
2013-12-09,-11.1111
2013-12-10,0.0
2013-12-11,0.0
2013-12-12,-5.0469
2013-12-13,-2.5835
2013-12-16,0.0
2013-12-17,-2.7027
2013-12-18,2.7778
2013-12-19,24.3243
2013-12-20,6.5217
2013-12-23,-6.1224
2013-12-26,2.1739
2013-12-27,-2.1277
2013-12-30,-2.1739
2013-12-31,-8.8611
2014-01-02,11.1551
2014-01-03,-1.7
2014-01-06,-6.4575
2014-01-07,-0.4473
2014-01-08,7.5931999999999995
2014-01-09,-3.6330999999999998
2014-01-14,0.9245
2014-01-16,-12.9813
2014-01-17,24.9671
2014-01-21,-3.4088
2014-01-22,-0.2998
2014-01-24,0.0137
2014-01-27,-5.9852
2014-01-28,-11.6279
2014-01-29,13.1579
2014-01-30,6.3663
2014-01-31,-3.8262
2014-02-04,-9.0651
2014-02-05,0.0
2014-02-06,0.0
2014-02-10,12.5
2014-02-11,-1.1111
2014-02-14,-10.1124
2014-02-18,-0.0313
2014-02-19,11.4567
2014-02-20,-0.4067
2014-02-25,-0.9012
2014-02-27,-18.1586
2014-02-28,11.0764
2014-03-04,11.0034
2014-03-05,-18.7553
2014-03-06,0.0
2014-03-14,10.8839
2014-03-17,0.0
2014-03-18,2.5008
2014-03-20,-0.0152
2014-03-31,-1.2201
2014-04-02,-8.5997
2014-04-03,10.777
2014-04-15,-12.1683
2014-04-23,-5.5556
2014-04-24,-0.0368
2014-04-28,-0.0552
2014-04-29,5.943
2014-05-05,-34.6995
2014-05-06,48.883
2014-05-07,-0.0536
2014-05-14,-32.7971
2014-05-15,10.5851
2014-05-16,-3.848
2014-05-19,-13.957
2014-05-20,-6.9767
2014-05-28,45.0
2014-05-29,17.2414
2014-05-30,-26.4706
2014-06-02,36.0
2014-06-04,-8.8235
2014-06-05,-29.0323
2014-06-06,36.3636
2014-06-09,-26.6667
2014-06-10,36.3636
2014-06-13,-16.6667
2014-06-16,20.0
2014-06-18,-10.0
2014-06-26,-18.5185
2014-06-30,0.0
2014-07-01,0.0
2014-07-02,0.0
2014-07-08,9.0909
2014-07-11,-8.3333
2014-07-16,-9.0909
2014-07-17,15.0
2014-07-21,0.0
2014-07-29,-4.3478
2014-07-30,-9.0909
2014-08-06,0.0
2014-08-07,0.0
2014-08-08,0.0
2014-08-11,-2.8125
2014-08-14,0.0
2014-08-18,-12.5402
2014-08-20,-11.7647
2014-08-21,26.6667
2014-08-22,0.0
2014-08-25,0.0
2014-08-27,0.0
2014-09-05,-14.1447
2014-09-08,9.7318
2014-09-10,0.0
2014-09-12,-0.5587
2014-09-16,0.0
2014-09-17,-25.3862
2014-09-18,34.0235
2014-09-23,-21.243
2014-09-24,21.2662
2014-09-25,-21.875
2014-09-26,28.0
2014-09-29,-21.875
2014-09-30,28.0
2014-10-01,-0.0735
2014-10-02,0.0
2014-10-03,0.0
2014-10-06,-9.4187
2014-10-08,-6.4175
2014-10-13,-30.5556
2014-10-14,69.875
2014-10-16,-0.5151
2014-10-21,0.0
2014-11-03,-11.2426
2014-11-04,0.0
2014-11-05,0.0
2014-11-06,0.0
2014-11-07,0.0
2014-11-10,-20.0
2014-11-11,19.1667
2014-11-13,0.0
2014-11-17,-16.0839
2014-11-18,-14.0104
2014-11-19,16.2932
2014-11-20,0.0
2014-11-21,0.0
2014-11-25,-16.6667
2014-11-26,0.0
2014-12-01,0.0
2014-12-03,0.0
2014-12-04,-25.0
2014-12-05,0.0
2014-12-09,0.0
2014-12-10,0.0
2014-12-11,0.0
2014-12-12,0.0
2014-12-15,0.0
2014-12-16,0.0
2014-12-17,0.0
2014-12-18,-6.6667
2014-12-19,0.0
2014-12-24,0.0
2014-12-26,-62.8571
2014-12-29,-3.8462
2014-12-30,20.0
2014-12-31,66.6667
2015-01-02,-20.0
2015-01-05,29.6875
2015-01-06,-22.8916
2015-01-07,0.3125
2015-01-09,49.5327
2015-01-12,-16.6667
2015-01-16,-10.0
2015-01-20,33.3333
2015-01-23,0.0
2015-01-26,16.6667
2015-02-04,-7.1429
2015-02-09,-34.0385
2015-02-10,7.2886
2015-02-12,0.0
2015-02-13,7.6087
2015-02-18,-9.0909
2015-02-19,0.0
2015-02-23,10.0
2015-02-24,-3.7879
2015-02-26,-5.2493
2015-03-02,-2.2161
2015-03-04,0.0
2015-03-05,1.983
2015-03-06,10.8333
2015-03-10,-1.7544
2015-03-13,-2.0408
2015-03-16,0.0
2015-03-19,0.0
2015-03-27,0.0
2015-03-31,0.0
2015-04-06,0.0
2015-04-10,0.0
2015-04-17,0.0
2015-04-20,0.0
2015-04-21,0.0
2015-04-22,0.0
2015-04-23,0.0
2015-04-27,0.0
2015-04-29,0.0
2015-05-01,-6.25
2015-05-04,-4.4444
2015-05-05,0.0
2015-05-07,4.6512
2015-05-13,0.0
2015-05-22,0.0
2015-05-28,0.0
2015-05-29,-8.8889
2015-06-01,-2.439
2015-06-02,0.0
2015-06-04,0.0
2015-06-18,-2.5
2015-06-22,0.0
2015-06-24,0.0
2015-06-25,-10.2564
2015-06-26,0.0
2015-06-29,0.0
2015-07-06,5.7143
2015-07-08,-2.7027
2015-07-14,2.7778
2015-07-17,1.3514
2015-07-22,0.0
2015-07-24,1.3333
2015-07-31,3.9474
2015-08-05,6.3291
2015-08-07,66.6667
2015-08-12,-10.0
2015-08-14,0.0
2015-08-18,1.5873
2015-08-19,-1.5625
2015-08-20,1.5873
2015-08-21,103.125
2015-08-24,-19.2308
2015-08-27,0.0
2015-08-28,0.0
2015-08-31,23.8095
2015-09-01,-34.6154
2015-09-03,22.1324
2015-09-08,-13.3052
2015-09-10,0.0
2015-09-15,16.6667
2015-09-16,-14.2857
2015-09-17,-11.1111
2015-09-24,6.25
2015-09-25,5.8824
2015-09-28,0.0
2015-09-29,-5.5556
2015-09-30,-3.5294
2015-10-01,-6.0976
2015-10-06,-1.7856999999999998
2015-10-07,12.3967
2015-10-08,-5.8824
2015-10-12,0.0
2015-10-15,5.0
2015-10-19,0.0
2015-10-21,0.0
2015-10-23,4.7619
2015-10-27,0.0
2015-10-29,0.0
2015-11-02,-5.6818
2015-11-03,-4.8193
2015-11-04,0.0
2015-11-05,0.0
2015-11-06,0.3956
2015-11-09,-11.7415
2015-11-11,0.0
2015-11-12,0.0
2015-11-16,2.8571
2015-11-17,17.8819
2015-11-18,-29.3078
2015-11-20,16.6667
2015-11-23,0.0
2015-11-30,-1.4285999999999999
2015-12-01,0.0
2015-12-02,0.0
2015-12-09,0.0
2015-12-11,0.0
2015-12-14,-27.5362
2015-12-15,-4.25
2015-12-17,-1.8277
2015-12-21,-8.5106
2015-12-22,-2.3256
2015-12-23,-33.3333
2015-12-24,-22.7679
2015-12-28,6.3584
2015-12-29,-4.3478
2015-12-30,0.0
2015-12-31,0.0
2016-01-04,36.3636
2016-01-05,0.0
2016-01-11,-28.75
2016-01-13,16.9591
2016-01-20,0.0
2016-01-26,0.0
2016-02-11,0.0
2016-02-24,0.0
2016-02-25,0.5
2016-03-01,19.9005
2016-03-02,16.1826
2016-03-07,0.0
2016-03-11,-28.5714
2016-03-18,0.0
2016-03-31,0.0
2016-04-04,0.0
2016-04-05,0.0
2016-04-11,0.0
2016-04-14,20.5
2016-04-20,-50.2075
2016-04-28,0.0
2016-05-06,0.8333
2016-05-10,-0.8264
2016-05-13,0.0
2016-05-18,0.0
2016-05-23,0.0
2016-05-31,0.0
2016-06-02,0.0
2016-06-08,-29.1667
2016-06-09,-5.8824
2016-06-14,50.0
2016-06-24,-53.3333
2016-07-01,0.0
2016-07-20,0.0
2016-07-27,42.8571
2016-08-01,-30.0
2016-08-03,42.8571
2016-08-11,0.0
2016-08-18,0.0
2016-08-25,5.0
2016-08-26,-4.7619
2016-09-06,-30.0
2016-09-07,-14.2857
2016-09-15,172.9167
2016-09-16,-8.3969
2016-09-20,92.5
2016-09-27,-47.619
2016-09-29,0.0
2016-10-05,3.3058
2016-10-06,-28.8
2016-10-12,0.0
2016-10-31,0.0
2016-11-04,0.0
2016-11-08,3.3708
2016-11-17,104.3478
2016-11-18,-15.4255
2016-11-21,-24.5283
2016-11-22,33.3333
2016-11-28,0.0
2016-11-29,-25.0
2016-11-30,60.4167
2016-12-02,-35.5844
2016-12-06,-28.2258
2016-12-07,16.8539
2016-12-09,-7.6923
2016-12-12,1.0417
2016-12-13,-7.732
2016-12-14,0.0
2016-12-15,0.0
2016-12-20,12.2905
2016-12-23,-10.9453
2016-12-27,0.0
2016-12-28,0.0
2016-12-30,123.4637
2017-01-10,-52.0
2017-01-12,66.6667
2017-01-18,0.0
2017-01-19,-25.0
2017-01-23,0.0
2017-01-26,33.3333
2017-01-27,25.0
2017-01-30,20.0
2017-01-31,16.6667
2017-02-02,-42.8571
2017-02-09,0.0
2017-02-13,0.0
2017-02-27,0.0
2017-03-10,0.0
2017-03-21,50.0
2017-04-03,-33.3333
2017-04-20,0.0
2017-04-24,0.0
2017-05-23,0.0
2017-06-09,0.0
2017-06-13,0.0
2017-06-20,171.0
2017-06-21,-35.4244
2017-06-23,14.0
2017-06-26,0.2506
2017-06-29,0.0
2017-07-05,-20.0
2017-07-13,-6.25
2017-07-21,66.6667
2017-08-09,-40.0
2017-08-10,0.0
2017-08-14,0.0
2017-09-06,0.0
2017-09-29,0.0
2017-10-03,0.0
2017-10-05,0.0
2017-10-06,0.0
2017-10-10,0.0
2017-10-12,0.0
2017-10-18,0.0
2017-10-20,0.0
2017-10-30,33.3333
2017-11-01,0.0
2017-11-09,-25.0
2017-11-10,0.0
2017-11-13,0.0
2017-11-14,0.0
2017-11-15,0.0
2017-11-22,17.5
2017-11-27,13.1915
2017-11-28,-24.812
2017-11-29,66.6667
2017-12-05,20.0
2017-12-11,-33.3333
2017-12-12,2.5
2017-12-14,0.0
2017-12-15,0.0
2017-12-20,0.0
2017-12-27,0.0
2017-12-28,1.2195
2018-01-03,44.5783
2018-01-08,-16.6667
2018-01-10,-0.2
2018-01-19,20.2405
2018-01-22,0.0
2018-01-23,16.6667
2018-01-30,28.5714
2018-02-02,-33.4444
2018-02-05,0.1669
2018-02-07,8.5
2018-02-14,-7.8341
2018-02-15,0.0
2018-02-16,0.0
2018-02-21,-0.1667
2018-03-06,0.1669
2018-03-14,0.0
2018-03-16,8.3333
2018-03-23,7.6923
2018-03-26,0.0
2018-03-27,0.0
2018-03-28,-14.2857
2018-03-29,-13.1667
2018-04-13,19.0019
2018-04-20,-19.3548
2018-05-01,0.0
2018-05-25,60.0
2018-06-01,-37.5
2018-06-05,40.0
2018-06-06,14.2857
2018-06-07,-25.0
