ticker,BBGP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-05,-22.093
2015-06-08,-11.9403
2015-06-09,-1.6949
2015-06-10,5.1724
2015-06-11,0.0
2015-06-16,-21.3115
2015-06-17,0.0
2015-06-24,16.6667
2015-06-25,0.0
2015-06-29,57.1429
2015-06-30,12.5
2015-07-01,-3.0303
2015-07-02,31.25
2015-07-07,-23.8095
2015-07-08,0.0
2015-07-09,0.0
2015-07-10,43.75
2015-07-13,-7.2464
2015-07-14,10.9375
2015-07-15,0.0
2015-07-17,-24.6479
2015-07-20,-15.8879
2015-07-23,-11.1111
2015-07-24,12.5
2015-07-28,0.0
2015-07-30,-11.1111
2015-07-31,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-10,2.5
2015-08-12,0.0
2015-08-17,-2.439
2015-08-18,0.0
2015-08-19,40.0
2015-08-20,5.3571
2015-08-21,20.339
2015-08-25,-43.662
2015-08-26,37.5
2015-08-27,-0.9091
2015-08-28,-11.9266
2015-08-31,-47.9167
2015-09-01,60.0
2015-09-02,33.75
2015-09-04,0.0
2015-09-08,2.8037
2015-09-10,-39.0909
2015-09-11,55.2239
2015-09-14,-35.5769
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,76.1194
2015-09-21,-32.2034
2015-09-24,-16.25
2015-09-28,0.0
2015-09-29,0.0
2015-10-02,0.0
2015-10-07,0.0
2015-10-08,0.0
2015-10-15,19.403
2015-10-19,0.0
2015-10-21,33.75
2015-10-22,28.972
2015-10-23,-7.2464
2015-10-26,-4.6875
2015-10-27,-14.7541
2015-10-28,-7.6923
2015-10-29,66.6667
2015-10-30,-23.75
2015-11-02,-1.6393
2015-11-04,1.6667
2015-11-05,6.5574
2015-11-06,4.6154
2015-11-09,-23.5294
2015-11-10,44.2308
2015-11-11,-13.3333
2015-11-12,-20.0
2015-11-13,0.0
2015-11-16,7.6923
2015-11-17,-14.2857
2015-11-18,2.0833
2015-11-19,-10.2041
2015-11-20,0.0
2015-11-23,-6.8182
2015-11-25,0.0
2015-11-27,-9.7561
2015-12-03,-10.8108
2015-12-04,9.0909
2015-12-07,-8.3333
2015-12-09,62.1212
2015-12-10,4.6729
2015-12-11,7.1429
2015-12-14,0.0
2015-12-15,6.6667
2015-12-17,-23.4375
2015-12-22,0.0
2015-12-24,0.0
2015-12-28,-10.2041
2015-12-29,0.0
2015-12-30,0.0
2015-12-31,0.0
2016-01-04,11.3636
2016-01-06,4.0816
2016-01-07,-21.5686
2016-01-11,30.0
2016-01-12,0.0
2016-01-14,-23.0769
2016-01-15,0.0
2016-01-21,0.0
2016-01-22,2.5
2016-01-25,-2.439
2016-01-28,0.0
2016-01-29,7.5
2016-02-01,20.9302
2016-02-02,0.0
2016-02-08,-23.0769
2016-02-10,2.5
2016-02-17,2.439
2016-02-18,-11.9048
2016-02-22,-2.7027
2016-02-23,2.7778
2016-02-24,-2.7027
2016-02-25,2.7778
2016-02-29,-2.7027
2016-03-02,0.0
2016-03-08,33.3333
2016-03-09,-33.3333
2016-03-14,0.0
2016-03-22,0.0
2016-03-31,-25.0
2016-04-01,-16.6667
2016-04-04,100.0
2016-04-05,-2.5
2016-04-08,-7.6923
2016-04-12,52.7778
2016-04-13,-30.0
2016-04-14,16.8831
2016-04-15,-13.3333
2016-04-18,0.0
2016-04-19,-1.2821
2016-04-22,16.8831
2016-04-25,6.6667
2016-04-29,-22.9167
2016-05-02,0.0
2016-05-03,4.0541
2016-05-05,-23.3766
2016-05-09,-1.6949
2016-05-10,-58.6207
2016-05-12,133.3333
2016-05-13,-34.0
2016-05-17,-74.026
2016-05-25,483.3333
2016-05-26,0.0
2016-05-31,0.0
2016-06-02,-72.5714
2016-06-03,212.5
2016-06-07,-76.6667
2016-06-09,628.5714
2016-06-10,0.0
2016-06-15,-11.7279
2016-06-16,-38.6922
2016-06-17,-9.4203
2016-06-23,104.0
2016-06-24,-35.2941
2016-06-29,-54.5455
2016-07-08,0.0
2016-07-26,0.0
2016-07-27,0.0
2016-07-29,80.0
2016-08-12,88.8889
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,37.2549
2016-08-18,10.0
2016-08-19,3.8961
2016-08-23,-10.0
2016-08-25,10.9722
2016-08-29,0.1252
2016-08-30,1.25
2016-08-31,-1.2346
2016-09-06,25.0
2016-09-07,-1.0
