ticker,BGMD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-12-11,30.5556
2013-12-12,-17.7305
2013-12-13,-5.1724
2013-12-16,-10.9091
2013-12-17,-9.1837
2013-12-18,16.8539
2013-12-19,-2.8846
2013-12-20,-4.9381
2013-12-23,-4.075
2013-12-24,11.835
2013-12-26,-5.0303
2013-12-27,0.1981
2013-12-30,3.0481
2013-12-31,2.9703
2014-01-02,4.7115
2014-01-03,37.741
2014-01-06,-6.6667
2014-01-07,-9.2857
2014-01-08,4.7244
2014-01-09,1.5038
2014-01-10,12.592600000000001
2014-01-13,-11.1842
2014-01-14,2.2222
2014-01-15,-0.7246
2014-01-16,-6.5693
2014-01-17,-3.125
2014-01-21,3.2258
2014-01-22,0.7813
2014-01-23,-2.3256
2014-01-24,-4.7619
2014-01-27,-4.1667
2014-01-28,20.8696
2014-01-29,-11.5108
2014-01-30,1.626
2014-01-31,-3.2
2014-02-03,-3.3058
2014-02-04,-1.7094
2014-02-05,-2.6087
2014-02-06,2.6786
2014-02-07,1.6522000000000001
2014-02-10,-2.4808
2014-02-11,6.0526
2014-02-12,-2.3987
2014-02-13,1.6949
2014-02-14,0.0
2014-02-18,7.0833
2014-02-19,-1.1673
2014-02-20,0.7874
2014-02-21,-4.6875
2014-02-24,10.6557
2014-02-25,-4.4444
2014-02-26,7.7519
2014-02-27,-3.5971
2014-02-28,-2.9851
2014-03-03,1.4615
2014-03-04,1.6016
2014-03-05,-0.0093
2014-03-06,1.4925
2014-03-07,-3.6765
2014-03-10,-0.7634
2014-03-11,-3.8462
2014-03-12,7.2
2014-03-13,-2.9851
2014-03-14,1.5385
2014-03-17,6.8182
2014-03-18,31.2057
2014-03-19,-8.6486
2014-03-20,13.6095
2014-03-21,-5.2083
2014-03-24,-6.5934
2014-03-25,22.352899999999998
2014-03-26,-6.7308
2014-03-27,2.5773
2014-03-28,-0.5025
2014-03-31,-3.0303
2014-04-01,0.0
2014-04-02,0.0
2014-04-03,-17.7083
2014-04-04,-1.2737
2014-04-07,-6.4028
2014-04-08,-1.3699
2014-04-09,-0.6944
2014-04-10,-6.2937
2014-04-11,-8.9552
2014-04-14,-2.459
2014-04-15,13.4454
2014-04-16,-4.4444
2014-04-17,-2.3256
2014-04-21,-1.5873
2014-04-22,6.3861
2014-04-23,-1.0755
2014-04-24,1.9157
2014-04-25,-3.0075
2014-04-28,-2.3256
2014-04-29,-3.1746
2014-04-30,0.0
2014-05-01,4.0984
2014-05-02,3.9370000000000003
2014-05-05,-6.0606
2014-05-06,-2.4194
2014-05-07,-0.8264
2014-05-08,-0.8333
2014-05-09,-0.8403
2014-05-12,6.7797
2014-05-13,0.7937
2014-05-14,-19.685
2014-05-15,-0.9804
2014-05-16,-4.2574
2014-05-19,-3.8263
2014-05-20,1.3978
2014-05-21,-1.3786
2014-05-22,3.6425
