ticker,RNG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-26,3.5691
2019-07-29,-0.9734
2019-07-30,11.0662
2019-07-31,1.3347
2019-08-01,-0.7043
2019-08-02,-0.4894
2019-08-05,-6.3868
2019-08-06,1.0203
2019-08-07,2.0351
2019-08-08,3.2651
2019-08-09,0.0358
2019-08-12,-1.0369
2019-08-13,1.8209
2019-08-14,-2.0155
2019-08-15,0.8184
2019-08-16,-0.4239
2019-08-19,-0.0289
2019-08-20,-0.7289
2019-08-21,1.7302
2019-08-22,1.6936
2019-08-23,-0.5692
2019-08-26,1.1237
2019-08-27,-0.2306
2019-08-28,-1.0297
2019-08-29,0.9272
2019-08-30,-1.0309
2019-09-03,-0.2409
2019-09-04,0.4049
2019-09-05,-0.6013
2019-09-06,-3.4873
2019-09-09,-2.9644
2019-09-10,-5.7223
2019-09-11,0.0484
2019-09-12,2.6104000000000003
2019-09-13,-0.1649
2019-09-16,-0.6134
2019-09-17,3.4106
2019-09-18,-0.0536
2019-09-19,2.0825
2019-09-20,0.1725
2019-09-23,-0.3444
2019-09-24,-4.3877
2019-09-25,0.6286
2019-09-26,-1.0464
2019-09-27,-2.2648
2019-09-30,1.4614
2019-10-01,-1.6473
2019-10-02,-1.683
2019-10-03,4.9626
2019-10-04,28.0383
2019-10-07,5.7684999999999995
2019-10-08,-0.4516
2019-10-09,1.2563
2019-10-10,0.201
2019-10-11,-0.579
2019-10-14,1.7412
