ticker,INTEQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-04-18,-5.8537
2017-04-19,-0.5181
2017-04-20,1.5625
2017-04-21,-7.1795
2017-04-24,2.4862
2017-04-25,2.6954000000000002
2017-04-26,-2.0997
2017-04-27,-6.9705
2017-04-28,-14.9856
2017-05-01,9.4915
2017-05-02,-2.4768
2017-05-03,-5.7143
2017-05-04,1.6835
2017-05-05,-0.3311
2017-05-08,-1.3289
2017-05-09,0.0
2017-05-10,-5.3872
2017-05-11,1.7793999999999999
2017-05-12,3.8462
2017-05-15,-0.3367
2017-05-16,-4.3919
2017-05-17,1.0601
2017-05-18,7.6923
2017-05-19,1.2987
2017-05-22,-1.2821
2017-05-23,0.974
2017-05-24,1.6077
2017-05-25,0.3165
2017-05-26,0.3155
2017-05-30,-1.5723
2017-05-31,-1.5974
2017-06-01,-1.6234
2017-06-02,0.33
2017-06-05,-0.3289
2017-06-06,-0.9901
2017-06-07,0.3333
2017-06-08,0.3322
2017-06-09,0.0
2017-06-12,3.3113
2017-06-13,1.9231
2017-06-14,0.9434
2017-06-15,-0.6231
2017-06-16,0.0
2017-06-19,-2.5078
2017-06-20,0.0
2017-06-21,-0.3215
2017-06-22,-0.3226
2017-06-23,1.2945
2017-06-26,0.639
2017-06-27,1.2698
2017-06-28,-0.9404
2017-06-29,-4.1139
2017-06-30,0.9901
2017-07-03,5.8824
2017-07-05,-3.3951000000000002
2017-07-06,0.9585
2017-07-07,1.2658
2017-07-10,-1.875
2017-07-11,0.0
2017-07-12,-0.6369
2017-07-13,-0.3205
2017-07-14,0.9646
2017-07-17,-5.0955
2017-07-18,0.3356
2017-07-19,0.3344
2017-07-20,1.6667
2017-07-21,0.9836
2017-07-24,-2.5974
2017-07-25,1.6667
2017-07-26,0.0
2017-07-27,6.2295
2017-07-28,5.5556
2017-07-31,-7.3099
2017-08-01,6.3091
2017-08-02,2.9674
2017-08-03,-4.3228
2017-08-04,8.7349
2017-08-07,2.4931
2017-08-08,-2.4324
2017-08-09,-3.8781
2017-08-10,5.1873
2017-08-11,0.0
2017-08-14,5.4795
2017-08-15,-0.7792
2017-08-16,1.8325
2017-08-17,-3.0848
2017-08-18,3.4483
2017-08-21,4.359
2017-08-22,-2.7027
2017-08-23,0.7576
2017-08-24,0.2506
2017-08-25,-0.25
2017-08-28,-0.5013
2017-08-29,-2.5189
2017-08-30,-1.0336
2017-08-31,0.7833
2017-09-01,1.5544
2017-09-05,-1.5306
2017-09-06,-1.5544
2017-09-07,5.7895
2017-09-08,-1.7412999999999998
2017-09-11,0.2532
2017-09-12,2.2727
2017-09-13,1.7284000000000002
2017-09-14,8.0097
2017-09-15,4.2697
2017-09-18,4.5259
2017-09-19,3.0928
2017-09-20,-7.2
2017-09-21,4.5259
2017-09-22,-1.0309
2017-09-25,-1.25
2017-09-26,2.3207
2017-09-27,1.4433
2017-09-28,-2.6423
2017-09-29,-1.8789
2017-10-02,2.9787
2017-10-03,10.9504
2017-10-04,16.5736
2017-10-05,-0.3195
2017-10-06,4.8077
2017-10-09,-6.7278
2017-10-10,4.0984
2017-10-11,8.0315
2017-10-12,7.1429
2017-10-13,-6.9388
2017-10-16,-9.0643
2017-10-17,0.4823
2017-10-18,-0.16
2017-10-19,4.0064
2017-10-20,-1.3867
2017-10-23,-0.4688
2017-10-24,-0.7849
2017-10-25,-6.0127
2017-10-26,-19.3603
2017-10-27,-0.4175
2017-10-30,-5.87
2017-10-31,-3.118
2017-11-01,-1.6092
2017-11-02,-13.785
2017-11-03,-1.355
2017-11-06,7.967
2017-11-07,-3.3079
2017-11-08,-0.5263
2017-11-09,-0.5291
2017-11-10,5.3191
2017-11-13,-2.5253
2017-11-14,-0.5181
2017-11-15,3.125
2017-11-16,6.0606
2017-11-17,-1.6667
2017-11-20,1.2107
2017-11-21,0.9569
2017-11-22,-1.1848
2017-11-24,-0.7194
2017-11-27,-5.314
2017-11-28,2.2959
2017-11-29,-6.4838000000000005
2017-11-30,-4.8
2017-12-01,-2.8011
2017-12-04,-4.3228
2017-12-05,-2.1084
2017-12-06,-5.8462
2017-12-07,0.6536
2017-12-08,4.5455
2017-12-11,0.6211
2017-12-12,-1.8519
2017-12-13,5.9748
2017-12-14,5.3412
2017-12-15,-2.2535
2017-12-18,0.8646
2017-12-19,-5.7143
2017-12-20,2.7273
2017-12-21,0.59
2017-12-22,-0.8798
2017-12-26,-0.2959
2017-12-27,0.5935
2017-12-28,-0.885
