ticker,JNCE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-04-06,-6.2405
2018-04-09,7.0346
2018-04-10,7.4317
2018-04-11,-4.3765
2018-04-12,6.4469
2018-04-13,-5.2242
2018-04-16,0.878
2018-04-17,0.6286
2018-04-18,-6.5834
2018-04-19,1.749
2018-04-20,-1.6178
2018-04-23,-3.5971
2018-04-24,-2.0789
2018-04-25,5.0082
2018-04-26,6.6356
2018-04-27,-2.0904
2018-04-30,2.2344
2018-05-01,1.457
2018-05-02,-0.5266
2018-05-03,-2.9836
2018-05-04,0.1984
2018-05-07,0.7426
2018-05-08,-3.5381
2018-05-09,-15.2318
2018-05-10,-7.1514
2018-05-11,8.6084
2018-05-14,7.7473
2018-05-15,-8.1858
2018-05-16,6.4458
2018-05-17,-35.2009
2018-05-18,-0.6987
2018-05-21,-6.7722
2018-05-22,1.9811
2018-05-23,7.308
2018-05-24,-4.2241
2018-05-25,2.5202999999999998
2018-05-29,-1.2291
2018-05-30,-2.1333
2018-05-31,2.1798
2018-06-01,-0.1778
2018-06-04,-33.481700000000004
2018-06-05,2.008
2018-06-06,-4.3307
2018-06-07,0.823
2018-06-08,1.0884
2018-06-11,-2.1534
2018-06-12,9.216
2018-06-13,-1.8892
2018-06-14,0.5135
2018-06-15,1.1494
2018-06-18,0.1263
2018-06-19,-0.1261
2018-06-20,6.0606
2018-06-21,-2.9762
2018-06-22,4.4172
2018-06-25,-3.6428000000000003
2018-06-26,-2.3171
2018-06-27,-8.2397
2018-06-28,2.585
2018-06-29,1.5915
2018-07-02,3.1332
2018-07-03,-1.7722
2018-07-05,0.3866
2018-07-06,2.0539
2018-07-09,1.2579
2018-07-10,0.9938
2018-07-11,-0.123
2018-07-12,-2.3399
2018-07-13,-1.2610000000000001
2018-07-16,0.0
2018-07-17,-1.1494
2018-07-18,1.1628
2018-07-19,-0.6386
2018-07-20,-2.6992000000000003
2018-07-23,-0.7926
2018-07-24,-1.9973
2018-07-25,-0.6793
2018-07-26,4.3776
2018-07-27,-4.7181999999999995
2018-07-30,-2.8886
2018-07-31,0.0
2018-08-01,-2.6912000000000003
2018-08-02,0.7278
2018-08-03,4.4798
2018-08-06,-2.3513
2018-08-07,0.4249
2018-08-08,-1.2694
2018-08-09,10.2857
2018-08-10,8.4197
2018-08-13,-4.1816
2018-08-14,-5.4863
2018-08-15,-1.5831
2018-08-16,0.8043
2018-08-17,-0.3989
2018-08-20,-2.9372
2018-08-21,5.5021
2018-08-22,6.6493
2018-08-23,-3.7897
2018-08-24,5.5908999999999995
2018-08-27,-2.8881
2018-08-28,-0.6196
2018-08-29,-0.6234
2018-08-30,-1.2547
2018-08-31,-0.2541
2018-09-04,-1.7833999999999999
2018-09-05,-2.594
2018-09-06,-4.1278
2018-09-07,0.2778
2018-09-10,-0.4155
2018-09-11,-0.6954
2018-09-12,-2.521
2018-09-13,1.1494
2018-09-14,-2.4148
2018-09-17,-2.0378
2018-09-18,0.1486
2018-09-19,-0.7418
2018-09-20,3.1390000000000002
2018-09-21,-2.1739
2018-09-24,-1.3333
2018-09-25,0.7508
2018-09-26,-1.9374
2018-09-27,-1.2158
2018-09-28,0.0
2018-10-01,-3.2308
