ticker,CAFI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-05-12,-62.5
2008-05-28,0.0
2008-06-11,0.0
2008-06-26,0.0
2008-07-01,0.0
2008-07-11,0.0
2008-07-16,0.0
2008-07-22,0.0
2008-09-10,0.0
2008-09-15,0.0
2008-09-17,16.6667
2008-09-25,-14.2857
2008-10-02,-66.6667
2008-10-16,0.0
2008-11-14,20.0
2008-11-17,0.0
2008-11-24,0.0
2008-12-12,-8.3333
2008-12-17,-27.2727
2008-12-22,50.0
2008-12-30,-16.6667
2008-12-31,0.0
2009-01-09,0.0
2009-01-22,-50.0
2009-01-27,100.0
2009-02-20,0.0
2009-02-24,-50.0
2009-04-14,-20.0
2009-06-15,200.0
2009-07-15,66.6667
2009-07-29,5.0
2009-09-16,4.7619
2009-10-14,-2.2727
2009-10-19,-62.2093
2009-10-20,144.6154
2009-10-21,-54.717
2009-10-23,-22.2222
2009-10-26,42.8571
2009-10-28,40.0
2009-11-03,0.0
2009-11-05,0.0
2009-11-06,35.7143
2009-11-11,-63.1579
2009-11-12,-76.7857
2009-11-13,207.6923
2009-12-11,240.0
2009-12-18,-69.8529
2010-01-07,0.0
2010-02-05,-87.8049
2010-04-13,320.0
2010-08-27,-11.9048
2011-01-07,116.2162
2011-02-24,900.0
2011-02-25,0.0
2011-05-03,-40.0
2011-05-23,0.0
2011-06-14,0.0
2011-08-18,-33.3333
2011-09-26,0.0
2011-10-17,0.0
2011-10-26,100.0
2011-11-10,-50.0
2011-11-11,-30.0
2011-11-17,0.0
2011-12-02,0.0
2011-12-09,185.7143
2011-12-12,100.0
2011-12-13,-82.5
2011-12-14,0.0
2011-12-15,-85.7143
2011-12-20,0.0
2012-01-06,0.0
2012-02-28,0.0
2012-04-02,0.0
2012-04-04,0.0
2012-04-26,0.0
2012-08-16,0.0
2012-09-11,0.0
2012-10-09,0.0
2012-12-10,-43.75
2013-01-11,0.0
2013-02-19,0.0
2013-05-14,0.0
2013-08-13,966.6667
2013-10-16,25.0
2013-10-23,0.0
2013-10-28,0.0
2013-11-05,0.0
2013-11-13,33.3333
2013-12-23,0.0
2014-03-07,-25.0
2014-04-09,0.8333
2014-07-29,0.4132
2014-09-08,-0.4115
2014-10-07,0.0
2014-11-19,-27.2727
2014-11-20,36.3636
2014-11-21,33.3333
2014-11-24,-49.375
2014-11-25,28.3951
2014-11-26,53.8462
2014-12-02,-69.0625
2014-12-03,-3.0303
2014-12-19,66.6667
2015-01-08,-30.0
2015-02-06,0.0
2015-02-26,0.0
2015-03-02,0.0
2015-06-29,-25.8929
2015-07-01,15.6627
2015-07-06,-14.5833
2015-07-30,95.122
2015-07-31,-8.125
2015-08-03,-2.0408
2015-08-10,-5.5556
2015-08-11,88.2353
2015-08-12,15.625
2015-08-13,-21.6216
2015-08-19,0.0
2015-08-24,-7.7586
2015-08-26,12.1495
2015-09-09,-25.8333
2015-09-16,0.0
2015-09-18,34.8315
2015-10-07,-3.3333
2015-10-15,3.4483
2015-10-22,-3.3333
2015-10-28,-3.4483
2015-12-08,-14.2857
2015-12-31,0.0
2016-01-26,-18.2292
2016-02-04,1.9108
2016-02-05,90.0
2016-02-09,21.0526
2016-02-10,-13.0435
2016-02-18,0.0
2016-02-29,0.0
2016-03-08,-25.0
2016-03-09,-6.6667
2016-03-11,0.0
2016-03-14,267.4107
2016-03-17,40.3402
2016-03-22,-77.6623
2016-03-24,110.8527
2016-03-29,-2.5735
2016-03-30,-9.434
2016-04-01,-16.6667
2016-04-20,20.0
2016-04-21,0.0
2016-04-25,0.0
2016-04-26,43.3333
2016-05-05,-11.6279
2016-05-10,-15.7895
2016-05-17,-15.625
2016-05-27,48.1481
2016-06-01,0.0
2016-06-08,0.0
2016-07-12,-12.5
2016-07-18,0.0
2016-07-19,0.0
2016-08-18,-5.7143
2016-09-12,0.0
2016-09-23,-3.0303
2016-10-25,0.0
2016-11-08,0.0
2016-11-30,-99.0234
2016-12-14,220.0
2016-12-22,18.75
2017-01-19,-89.4737
2017-02-27,300.0
2017-05-25,62.5
2017-06-26,1229.2308
2017-06-27,1.8519
2017-06-28,-88.1818
2017-11-16,130.7692
2017-11-21,166.6667
2017-12-05,-62.5
2018-02-13,2400.0
2018-02-14,6.6667
2018-02-15,-88.75
2018-02-21,11.1111
2018-03-22,9.0
2018-04-11,6.422
