ticker,NTUS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-10-06,0.75
2005-10-07,0.1654
2005-10-10,0.9909
2005-10-11,-1.3900000000000001
2005-10-12,-3.9801
2005-10-13,0.4318
2005-10-14,2.9234999999999998
2005-10-17,0.5013
2005-10-18,2.2444
2005-10-19,9.9187
2005-10-20,1.6272
2005-10-21,4.0029
2005-10-24,3.5689
2005-10-25,-2.4324
2005-10-26,4.5715
2005-10-27,2.5819
2005-10-28,-0.1291
2005-10-31,5.947
2005-11-01,-0.183
2005-11-02,3.912
2005-11-03,-2.0588
2005-11-04,3.964
2005-11-07,-1.4443
2005-11-08,-0.0586
2005-11-09,-1.173
2005-11-10,0.4748
2005-11-11,-0.7679
2005-11-14,-2.3214
2005-11-15,1.5234999999999999
2005-11-16,-0.2401
2005-11-17,4.633
2005-11-18,-0.9201
2005-11-21,-0.058
2005-11-22,3.194
2005-11-23,-1.4631
2005-11-25,1.4278
2005-11-28,-4.1667
2005-11-29,-0.5288
2005-11-30,-2.3036
2005-12-01,-1.0278
2005-12-02,4.215
2005-12-05,2.1688
2005-12-06,-1.7212
2005-12-07,0.6421
2005-12-08,2.3782
2005-12-09,-0.8499
2005-12-12,0.0
2005-12-13,3.3714
2005-12-14,-1.8795
2005-12-15,-1.5211000000000001
2005-12-16,1.659
2005-12-19,0.0563
2005-12-20,-2.1372
2005-12-21,-2.3563
2005-12-22,-7.8281
2005-12-23,2.4904
2005-12-27,-2.243
2005-12-28,0.956
2005-12-29,-0.1263
2005-12-30,2.0228
2006-01-03,-4.0892
2006-01-04,-2.1964
2006-01-05,1.4531
2006-01-06,3.3203
2006-01-09,3.0876
2006-01-10,9.78
2006-01-11,0.9465
2006-01-12,-1.048
2006-01-13,0.7246
2006-01-17,0.6087
2006-01-18,1.7052
2006-01-19,0.0541
2006-01-20,0.1622
2006-01-23,0.8095
2006-01-24,-1.6595
2006-01-25,-1.7964
2006-01-26,7.9823
2006-01-27,-0.1027
2006-01-30,-2.0555
2006-01-31,-0.8919
2006-02-01,0.2118
2006-02-02,1.1094
2006-02-03,-1.7241
2006-02-06,-5.1037
2006-02-07,1.5686
2006-02-08,-1.3789
2006-02-09,0.1119
2006-02-10,-1.0056
2006-02-13,-0.0564
2006-02-14,-0.0565
2006-02-15,1.8643999999999998
2006-02-16,-0.1664
2006-02-17,5.2778
2006-02-21,-3.0079
2006-02-22,1.3602
2006-02-23,1.5030000000000001
2006-02-24,0.2115
2006-02-27,0.7916
2006-02-28,4.5026
2006-03-01,0.2004
2006-03-02,0.9
2006-03-03,1.6848
2006-03-06,4.8246
2006-03-07,-1.8596
2006-03-08,-1.279
2006-03-09,0.3839
2006-03-10,0.2868
2006-03-13,0.6673
2006-03-14,-1.6572
2006-03-15,-1.0592
2006-03-16,-1.6545
2006-03-17,1.1875
2006-03-20,-4.4988
2006-03-21,-3.3282
2006-03-22,-4.8199
2006-03-23,2.059
2006-03-24,3.9257999999999997
2006-03-27,1.1542
2006-03-28,0.6224
2006-03-29,-0.1031
2006-03-30,3.7152
2006-03-31,1.99
2006-04-03,-4.9756
2006-04-04,2.8747
2006-04-05,1.7964
2006-04-06,1.2745
2006-04-07,-3.6786
2006-04-10,1.0553
2006-04-11,-0.0497
2006-04-12,0.796
2006-04-13,-0.1481
2006-04-17,-1.8784
2006-04-18,1.461
2006-04-19,1.7378
2006-04-20,-0.2928
2006-04-21,-3.1816
