ticker,PTBTQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-09-02,0.0
2008-09-03,0.0
2008-09-04,-23.0769
2008-09-05,0.0
2008-09-08,0.0
2008-09-09,0.0
2008-09-10,-50.0
2008-09-11,20.0
2008-09-12,-16.6667
2008-09-15,0.0
2008-09-18,0.0
2008-09-22,100.0
2008-09-23,-50.0
2008-09-25,0.0
2008-09-29,0.0
2008-09-30,0.0
2008-10-01,0.0
2008-10-06,0.0
2008-10-07,0.0
2008-10-08,0.0
2008-10-09,60.0
2008-10-10,-12.5
2008-10-14,0.0
2008-10-15,0.0
2008-10-16,-57.1429
2008-10-17,0.0
2008-10-20,0.0
2008-10-21,0.0
2008-10-22,0.0
2008-10-24,6.25
2008-10-27,0.0
2008-10-28,0.0
2008-10-29,88.2353
2008-10-30,-50.0
2008-10-31,-6.25
2008-11-03,-11.1111
2008-11-04,25.0
2008-11-05,-4.0
2008-11-07,4.1667
2008-11-10,0.0
2008-11-13,0.0
2008-11-14,0.0
2008-11-17,-14.0
2008-11-18,4.6512
2008-11-19,-11.1111
2008-11-20,-40.0
2008-11-21,-91.6667
2008-11-24,400.0
2008-11-25,60.0
2008-11-26,0.0
2008-11-28,200.0
2008-12-01,-66.6667
2008-12-02,0.0
2008-12-03,0.0
2008-12-04,0.0
2008-12-05,0.0
2008-12-08,0.0
2008-12-09,0.0
2008-12-10,0.0
2008-12-11,-37.5
2008-12-12,30.0
2008-12-15,0.0
2008-12-16,0.0
2008-12-17,7.6923
2008-12-18,0.0
2008-12-19,0.0
2008-12-22,35.7143
2008-12-23,-31.5789
2008-12-24,-15.3846
2008-12-26,-72.7273
2008-12-29,0.0
2008-12-30,0.0
2008-12-31,100.0
2009-01-02,0.0
2009-01-12,433.3333
2009-01-14,-50.0
2009-01-15,0.0
2009-01-20,0.0
2009-01-21,0.0
2009-01-23,-18.75
2009-01-27,0.0
2009-02-03,0.0
2009-02-06,0.0
2009-02-09,0.0
2009-02-11,-61.5385
2009-02-13,60.0
2009-02-17,-37.5
2009-02-19,220.0
2009-02-23,0.0
2009-02-24,0.0
2009-02-25,0.0
2009-02-26,0.0
2009-02-27,0.0
2009-03-05,0.0
2009-03-09,0.0
2009-03-10,0.0
2009-03-13,100.0
2009-03-16,-50.0
2009-03-17,0.0
2009-03-20,-50.0
2009-03-23,300.0
2009-03-24,0.0
2009-03-26,0.0
2009-03-30,-68.75
2009-03-31,0.0
2009-04-01,0.0
2009-04-02,0.0
2009-04-09,0.0
2009-04-13,80.0
2009-04-14,0.0
2009-04-16,0.0
2009-04-20,77.7778
2009-04-21,-84.375
2009-04-23,60.0
2009-04-27,0.0
2009-04-29,300.0
2009-04-30,50.0
2009-05-01,-50.0
2009-05-05,-33.3333
2009-05-06,0.0
2009-05-07,0.0
2009-05-13,0.0
2009-05-14,50.0
2009-05-15,145.8333
2009-05-19,0.0
2009-05-21,0.0
2009-05-22,-72.8814
2009-05-26,368.75
2009-05-27,6.6667
2009-05-28,-20.0
2009-06-02,-75.0
2009-06-03,18.75
