ticker,BHE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-03-03,0.545
2016-03-04,-1.1292
2016-03-07,2.5582000000000003
2016-03-08,-2.1381
2016-03-09,0.9103
2016-03-10,-1.3532
2016-03-11,1.7375
2016-03-14,-1.5281
2016-03-15,-1.5974
2016-03-16,1.5306
2016-03-17,1.9644
2016-03-18,0.2688
2016-03-21,-0.4021
2016-03-22,-0.4486
2016-03-23,-1.6223999999999998
2016-03-24,1.6949
2016-03-28,-0.045
2016-03-29,2.2983000000000002
2016-03-30,1.0132
2016-03-31,0.5233
2016-04-01,0.3905
2016-04-04,-1.2532
2016-04-05,-2.0131
2016-04-06,-0.1787
2016-04-07,-1.9687000000000001
2016-04-08,0.8215
2016-04-11,-0.1811
2016-04-12,-0.2721
2016-04-13,3.3652
2016-04-14,-0.5719
2016-04-15,-0.3982
2016-04-18,1.5104
2016-04-19,0.1313
2016-04-20,-1.5734
2016-04-21,-13.4991
2016-04-22,-0.1027
2016-04-25,0.6166
2016-04-26,2.145
2016-04-27,-0.9
2016-04-28,-3.0777
2016-04-29,1.0932
2016-05-02,1.2358
2016-05-03,-0.4578
2016-05-04,-1.022
2016-05-05,-0.6711
2016-05-06,1.8191000000000002
2016-05-09,0.5615
2016-05-10,1.3197999999999999
2016-05-11,2.505
2016-05-12,-2.2483
2016-05-13,-0.25
2016-05-16,0.5514
2016-05-17,-1.1964
2016-05-18,-0.3532
2016-05-19,-1.6709
2016-05-20,1.9053
2016-05-23,0.3537
2016-05-24,3.1722
2016-05-25,-0.7809
2016-05-26,1.033
2016-05-27,1.0711
2016-05-31,-0.1445
2016-06-01,1.4472
2016-06-02,0.3804
2016-06-03,0.2842
2016-06-06,0.1417
2016-06-07,0.3302
2016-06-08,0.9873
2016-06-09,-0.2328
2016-06-10,-1.1199
2016-06-13,-1.7461
2016-06-14,1.2008
2016-06-15,-1.4713
2016-06-16,1.8786
2016-06-17,0.9456
2016-06-20,1.4988000000000001
2016-06-21,0.5076
2016-06-22,0.3214
2016-06-23,2.5172
2016-06-24,-5.0893
2016-06-27,-5.174
2016-06-28,1.3393
2016-06-29,0.93
2016-06-30,2.5703
2016-07-01,-0.0946
2016-07-05,-1.3251
2016-07-06,-0.048
2016-07-07,2.0633
2016-07-08,2.5858
2016-07-11,0.3208
2016-07-12,1.4619
