ticker,AIPC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-03-28,-0.7692
2008-03-31,5.6202
2008-04-01,8.2569
2008-04-02,0.0
2008-04-03,-1.6949
2008-04-04,0.8621
2008-04-07,2.5641
2008-04-08,1.6667
2008-04-09,-2.1311
2008-04-10,1.34
2008-04-11,-0.8264
2008-04-14,0.0
2008-04-15,1.6667
2008-04-16,0.0
2008-04-17,4.0984
2008-04-18,2.3622
2008-04-21,2.3077
2008-04-22,5.7143
2008-04-23,3.8407
2008-04-24,3.2877
2008-04-25,4.7745
2008-04-28,10.7595
2008-04-29,-2.8571
2008-04-30,1.1764999999999999
2008-05-01,-5.814
2008-05-02,6.7901
2008-05-05,1.1561
2008-05-06,-1.7143000000000002
2008-05-07,0.0
2008-05-08,-1.1628
2008-05-09,-0.5882
2008-05-12,0.5917
2008-05-13,-3.5294
2008-05-14,-0.6098
2008-05-15,-2.0859
2008-05-16,7.7694
2008-05-19,2.907
2008-05-20,0.0
2008-05-21,1.6949
2008-05-22,3.3333
2008-05-23,2.1505
2008-05-27,2.1053
2008-05-28,0.5155
2008-05-29,0.0
2008-05-30,-6.6667
2008-06-02,2.7473
2008-06-03,0.5348
2008-06-04,-2.6596
2008-06-05,0.8743
2008-06-06,-0.325
2008-06-09,0.0
2008-06-10,-2.7174
2008-06-11,-3.9106
2008-06-12,2.907
2008-06-13,1.6949
2008-06-16,0.0
2008-06-17,3.8889
2008-06-18,13.369
2008-06-19,6.4151
2008-06-20,-2.4823
2008-06-23,0.9091
2008-06-24,2.7027
2008-06-25,6.5789
2008-06-26,1.6461000000000001
2008-06-27,-6.8826
2008-06-30,-1.3913
2008-07-01,1.3228
2008-07-02,-1.2185
2008-07-03,0.0
2008-07-07,1.3216
2008-07-08,0.0
2008-07-09,-0.8696
2008-07-10,0.5762
2008-07-11,-0.1368
2008-07-14,-0.8734
2008-07-15,0.6167
2008-07-16,-1.9264000000000001
2008-07-17,-0.4464
2008-07-18,2.2422
2008-07-21,-0.4386
2008-07-22,0.0
2008-07-23,-0.4405
2008-07-24,-0.885
2008-07-25,0.8929
2008-07-28,0.885
2008-07-29,0.9649
2008-07-30,-0.9557
2008-07-31,-3.5088
2008-08-01,1.8182
2008-08-04,-1.7856999999999998
2008-08-05,1.8182
2008-08-06,0.0
2008-08-07,7.1429
2008-08-08,2.0833
2008-08-11,4.0816
2008-08-12,4.1569
2008-08-13,-2.8614
2008-08-14,6.5891
2008-08-15,0.3636
2008-08-18,-2.1739
2008-08-19,1.4815
2008-08-20,-1.8248
2008-08-21,-1.487
2008-08-22,-0.3774
2008-08-25,-1.5152
2008-08-26,1.1538
2008-08-27,-1.1407
2008-08-28,1.1538
2008-08-29,-0.3802
2008-09-02,0.0
2008-09-03,3.4351
2008-09-04,1.107
2008-09-05,2.9196999999999997
2008-09-08,2.8369
2008-09-09,-2.7586
2008-09-10,1.0638
2008-09-11,-0.7719
2008-09-12,-0.6365
2008-09-15,-1.7793999999999999
2008-09-16,0.0
2008-09-17,-2.1739
2008-09-18,2.2222
2008-09-19,-0.1449
2008-09-22,0.8708
2008-09-23,3.4532
2008-09-24,4.3115
2008-09-25,1.6667
2008-09-26,4.2623
2008-09-29,2.2013
2008-09-30,2.1538
2008-10-01,0.0602
2008-10-02,2.348
2008-10-03,0.8824
2008-10-06,-8.1633
2008-10-07,-1.5873
2008-10-08,-10.0
2008-10-09,-6.8100000000000005
2008-10-10,-8.461500000000001
2008-10-13,9.2437
2008-10-14,5.0
