ticker,TJX UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-03,-1.9526
2014-02-04,-0.3734
2014-02-05,3.1412
2014-02-06,2.7686
2014-02-07,0.0674
2014-02-10,-0.2861
2014-02-11,1.4259
2014-02-12,0.2835
2014-02-13,0.0665
2014-02-14,-0.6315
2014-02-18,0.7359
2014-02-19,-0.6309
2014-02-20,0.284
2014-02-21,0.1
2014-02-24,0.516
2014-02-25,0.9935
2014-02-26,-1.1477
2014-02-27,0.7298
2014-02-28,1.202
2014-03-03,-0.9274
2014-03-04,1.0675
2014-03-05,0.3087
2014-03-06,-0.972
2014-03-07,0.9488
2014-03-10,0.8427
2014-03-11,-0.6267
2014-03-12,-0.5336
2014-03-13,-0.7316
2014-03-14,0.4749
2014-03-17,1.141
2014-03-18,-2.0145
2014-03-19,-0.477
2014-03-20,0.2975
2014-03-21,1.7466
2014-03-24,-1.9109
2014-03-25,-0.842
2014-03-26,-0.666
2014-03-27,-0.4358
2014-03-28,1.1785
2014-03-31,0.9151
2014-04-01,0.8904
2014-04-02,1.5852
2014-04-03,-0.9813
2014-04-04,-0.6011
2014-04-07,-2.1249
2014-04-08,0.9519
2014-04-09,-0.3309
2014-04-10,-2.2739
2014-04-11,-1.7833
2014-04-14,0.7954
2014-04-15,0.6691
2014-04-16,0.5965
2014-04-17,-0.559
2014-04-21,1.1755
2014-04-22,0.522
2014-04-23,-1.4238
2014-04-24,-1.0195
2014-04-25,-0.1888
2014-04-28,0.688
2014-04-29,-0.1537
2014-04-30,-0.4619
2014-05-01,0.1375
2014-05-02,0.206
2014-05-05,-0.4796
2014-05-06,-1.8417
2014-05-07,0.3156
2014-05-08,1.0662
2014-05-09,1.1242
2014-05-12,2.3773
2014-05-13,-1.0107
2014-05-14,0.0846
2014-05-15,-1.7081
2014-05-16,0.7571
2014-05-19,-0.2732
2014-05-20,-7.6199
2014-05-21,4.912
2014-05-22,-1.9965000000000002
2014-05-23,-0.5769
2014-05-27,-0.8885
2014-05-28,-0.6586
2014-05-29,0.2762
2014-05-30,0.0
2014-06-02,-0.5877
2014-06-03,0.1847
2014-06-04,2.3971999999999998
2014-06-05,0.8824
2014-06-06,0.714
2014-06-09,-0.3545
2014-06-10,-0.2846
2014-06-11,-1.0524
2014-06-12,-1.4062000000000001
2014-06-13,0.1828
2014-06-16,-0.146
2014-06-17,0.0548
2014-06-18,1.498
2014-06-19,-0.7919
2014-06-20,-0.3084
2014-06-23,-0.2548
2014-06-24,-1.7698
2014-06-25,-1.3001
2014-06-26,-0.6022
2014-06-27,-0.0947
2014-06-30,0.7201
2014-07-01,0.6773
2014-07-02,0.3738
2014-07-03,0.1676
2014-07-07,-0.7249
2014-07-08,0.8238
2014-07-09,1.1699
2014-07-10,-1.2849
2014-07-11,-0.4277
2014-07-14,-0.1867
2014-07-15,0.9167
2014-07-16,-2.5213
2014-07-17,-0.6657
2014-07-18,1.436
2014-07-21,-1.1136
2014-07-22,0.1718
2014-07-23,1.1814
2014-07-24,0.2072
2014-07-25,-1.2404
2014-07-28,0.1713
2014-07-29,-0.285
2014-07-30,2.2671
2014-07-31,-0.7265
2014-08-01,-0.319
2014-08-04,1.1107
2014-08-05,-1.0613
2014-08-06,1.449
2014-08-07,-0.7791
2014-08-08,2.636
2014-08-11,-0.8015
2014-08-12,-0.1377
2014-08-13,-1.6049
2014-08-14,1.1623999999999999
2014-08-15,-1.5196
2014-08-18,1.4302000000000001
2014-08-19,8.6456
2014-08-20,1.4344000000000001
2014-08-21,-0.8249
2014-08-22,0.7639
2014-08-25,-0.6402
2014-08-26,0.8817
2014-08-27,0.0672
2014-08-28,0.3863
2014-08-29,-0.2677
2014-09-02,1.3924
2014-09-03,-0.1324
2014-09-04,0.8781
2014-09-05,0.427
2014-09-08,-1.0139
2014-09-09,-1.3382
2014-09-10,-0.0335
2014-09-11,0.804
2014-09-12,-0.4819
2014-09-15,-0.3172
2014-09-16,0.8878
2014-09-17,-0.5147
2014-09-18,0.5007
2014-09-19,-0.9465
2014-09-22,-0.7879
2014-09-23,-0.7097
2014-09-24,2.7229
2014-09-25,-1.7561
2014-09-26,1.0455
2014-09-29,-0.2003
2014-09-30,-1.0535
2014-10-01,0.0845
2014-10-02,1.2327
2014-10-03,1.8849
2014-10-06,-1.2770000000000001
2014-10-07,-1.0116
2014-10-08,2.1779
2014-10-09,-0.8198
2014-10-10,1.7854
2014-10-13,-1.5267
2014-10-14,1.2865
2014-10-15,-2.1332
2014-10-16,-0.7987
2014-10-17,1.3083
2014-10-20,0.4305
2014-10-21,2.4728
2014-10-22,-0.8687
2014-10-23,1.1685
2014-10-24,-0.4171
2014-10-27,1.2081
2014-10-28,-0.2069
2014-10-29,0.0319
2014-10-30,0.845
2014-10-31,0.1107
2014-11-03,0.916
2014-11-04,-0.0626
2014-11-05,-0.2192
2014-11-06,1.3183
2014-11-07,-0.8674
2014-11-10,0.1484
2014-11-11,-1.0482
2014-11-12,0.7589
2014-11-13,-0.3609
2014-11-14,-1.8582999999999998
2014-11-17,-1.2516
2014-11-18,0.1625
2014-11-19,0.7949
2014-11-20,1.9797
2014-11-21,0.3157
2014-11-24,-0.0787
2014-11-25,0.7085
2014-11-26,0.8755
2014-11-28,2.5418
2014-12-01,-1.4057
2014-12-02,0.0153
2014-12-03,0.9503
2014-12-04,0.0759
2014-12-05,-0.5007
2014-12-08,-0.4117
2014-12-09,0.1684
2014-12-10,-1.7273
2014-12-11,2.0376
2014-12-12,0.0152
2014-12-15,1.0669
2014-12-16,-1.9454
2014-12-17,0.5229
2014-12-18,2.6316
2014-12-19,-1.4908000000000001
2014-12-22,1.7856999999999998
2014-12-23,1.2786
2014-12-24,-0.367
2014-12-26,0.2947
2014-12-29,0.4407
2014-12-30,0.1024
2014-12-31,0.2046
2015-01-02,-0.9041
2015-01-05,-1.1183
2015-01-06,-0.4911
2015-01-07,2.0488
2015-01-08,0.5275
2015-01-09,-1.2391
2015-01-12,-0.5166
2015-01-13,-0.3561
2015-01-14,-1.3848
2015-01-15,-1.4344000000000001
2015-01-16,2.2518000000000002
2015-01-20,-0.794
2015-01-21,-0.3171
2015-01-22,2.2572
2015-01-23,0.1926
2015-01-26,0.7541
2015-01-27,0.1614
2015-01-28,-1.4359
2015-01-29,0.5054
2015-01-30,-2.4699999999999998
2015-02-02,-0.1062
2015-02-03,2.1709
2015-02-04,0.847
2015-02-05,0.8398
2015-02-06,-0.2776
2015-02-09,-1.0989
2015-02-10,1.4296
2015-02-11,0.1025
2015-02-12,0.7607
2015-02-13,0.5226
2015-02-17,-0.9388
2015-02-18,-1.3413
2015-02-19,0.2217
2015-02-20,1.3418
2015-02-23,-0.4801
2015-02-24,-1.8129
2015-02-25,3.3055
2015-02-26,-1.8881999999999999
2015-02-27,0.8374
2015-03-02,1.2092
2015-03-03,-1.2379
2015-03-04,-0.4664
2015-03-05,0.6297
2015-03-06,-1.0041
2015-03-09,0.294
2015-03-10,-0.9087
2015-03-11,-0.6804
2015-03-12,2.2934
2015-03-13,-1.0191
2015-03-16,0.9854
2015-03-17,-0.5098
2015-03-18,-0.527
2015-03-19,0.3091
2015-03-20,1.9219
2015-03-23,0.0144
2015-03-24,0.8636
2015-03-25,-0.7705
2015-03-26,-0.7478
2015-03-27,0.8258
2015-03-30,1.2645
2015-03-31,-0.596
2015-04-01,-1.5703
2015-04-02,0.5366
2015-04-06,-0.0289
2015-04-07,-0.938
2015-04-08,0.9905
2015-04-09,-1.0097
2015-04-10,-0.1457
2015-04-13,-0.5691
2015-04-14,-1.2621
2015-04-15,-0.8026
2015-04-16,-0.3896
2015-04-17,-1.8502
2015-04-20,1.1034
2015-04-21,0.4851
2015-04-22,0.181
2015-04-23,-0.1205
2015-04-24,-0.0603
2015-04-27,-1.4784
2015-04-28,-0.5972
2015-04-29,-1.0628
2015-04-30,0.4826
2015-05-01,1.5649
2015-05-04,-0.0153
2015-05-05,0.1373
2015-05-06,0.32
2015-05-07,0.5316
2015-05-08,1.7072
2015-05-11,-0.713
2015-05-12,-0.3591
2015-05-13,-0.7833
2015-05-14,-0.3188
2015-05-15,0.4417
2015-05-18,1.9864000000000002
2015-05-19,2.8695
2015-05-20,-1.0551
2015-05-21,-0.8618
2015-05-22,-1.0461
2015-05-26,-1.4741
2015-05-27,0.4987
2015-05-28,-0.797
2015-05-29,-2.4102
2015-06-01,1.1028
2015-06-02,-0.3073
2015-06-03,1.7414
2015-06-04,-0.621
2015-06-05,0.0305
2015-06-08,-0.5638
2015-06-09,-0.8581
2015-06-10,1.2674
2015-06-11,0.0153
2015-06-12,-0.2442
2015-06-15,-0.4589
2015-06-16,0.4457
2015-06-17,0.5355
2015-06-18,2.2067
2015-06-19,-0.7892
2015-06-22,-0.1351
2015-06-23,1.4578
2015-06-24,0.1037
2015-06-25,-0.4291
2015-06-26,1.0849
2015-06-29,-2.8521
2015-06-30,0.1362
2015-07-01,1.8891
2015-07-02,-0.9196
2015-07-06,0.1647
2015-07-07,1.9579
2015-07-08,-1.2167
2015-07-09,0.4155
2015-07-10,0.6798
2015-07-13,1.5118
2015-07-14,-0.0434
2015-07-15,-0.5931
2015-07-16,0.9459
2015-07-17,-0.9082
2015-07-20,0.5237
2015-07-21,-0.8249
2015-07-22,0.1167
2015-07-23,-0.5393
2015-07-24,-1.1723
2015-07-27,-0.1483
2015-07-28,0.7722
2015-07-29,2.3578
2015-07-30,0.2303
2015-07-31,0.2873
2015-08-03,-0.6588
2015-08-04,0.2884
2015-08-05,0.8913
2015-08-06,-0.9832
2015-08-07,0.2015
2015-08-10,0.7755
2015-08-11,0.0143
2015-08-12,0.1429
2015-08-13,0.7136
2015-08-14,0.0425
2015-08-17,1.4306
2015-08-18,7.2197
2015-08-19,-2.4876
2015-08-20,-0.7213
2015-08-21,-3.7401
2015-08-24,-2.963
2015-08-25,-0.8354
2015-08-26,2.8468
2015-08-27,0.8897
2015-08-28,-1.0078
2015-08-31,-0.5656
2015-09-01,-1.3225
2015-09-02,2.0896
2015-09-03,0.847
2015-09-04,-0.9518
2015-09-08,2.2329
2015-09-09,-1.7694
2015-09-10,0.6051
2015-09-11,0.4336
2015-09-14,-0.8217
2015-09-15,-0.337
2015-09-16,0.8454
2015-09-17,1.3553
2015-09-18,-1.6267
2015-09-21,0.8548
2015-09-22,-1.0421
2015-09-23,-0.0842
2015-09-24,0.0984
2015-09-25,-0.3791
2015-09-28,-2.6353
2015-09-29,0.5645
2015-09-30,2.7922000000000002
2015-10-01,-0.8681
2015-10-02,0.8192
2015-10-05,0.2101
2015-10-06,-1.0625
2015-10-07,1.5967
2015-10-08,0.459
2015-10-09,0.7615
2015-10-12,1.0992
2015-10-13,-1.1416
2015-10-14,-1.3335
2015-10-15,-0.0557
2015-10-16,0.9759
2015-10-19,0.6765
2015-10-20,0.1234
2015-10-21,-0.8218
2015-10-22,2.0577
2015-10-23,-2.8958
2015-10-26,0.9476
2015-10-27,-0.8283
2015-10-28,1.9348999999999998
2015-10-29,-0.2048
2015-10-30,0.1505
2015-11-02,0.041
2015-11-03,1.3794
2015-11-04,-0.7409
2015-11-05,0.8686
2015-11-06,-1.8702999999999999
2015-11-09,-2.2624
2015-11-10,1.0553
2015-11-11,-3.8151
2015-11-12,-1.2015
2015-11-13,-5.9193999999999996
2015-11-16,2.2426
2015-11-17,3.8538
2015-11-18,0.2347
2015-11-19,-0.9365
2015-11-20,3.6189
2015-11-23,0.6272
2015-11-24,-0.085
2015-11-25,1.588
2015-11-27,-0.4327
2015-11-30,-1.0373
2015-12-01,0.255
2015-12-02,-0.0706
2015-12-03,-1.2583
2015-12-04,1.6465999999999998
2015-12-07,-0.0141
2015-12-08,0.4931
2015-12-09,-0.729
2015-12-10,0.9462
2015-12-11,-1.2871000000000001
2015-12-14,0.5244
2015-12-15,-0.6767
2015-12-16,1.9872
2015-12-17,-1.6701000000000001
2015-12-18,-1.8824999999999998
2015-12-21,0.4183
2015-12-22,1.1349
2015-12-23,1.2784
2015-12-24,-0.575
2015-12-28,-0.3103
2015-12-29,1.5424
2015-12-30,-0.5574
2015-12-31,-0.6306
2016-01-04,-0.1128
2016-01-05,1.5671
2016-01-06,-2.5716
2016-01-07,-0.1427
2016-01-08,-4.3721
2016-01-11,1.2999
2016-01-12,1.6519
2016-01-13,-1.7847
2016-01-14,1.1522999999999999
2016-01-15,-1.4021
2016-01-19,0.9332
2016-01-20,-1.0126
2016-01-21,0.593
2016-01-22,1.6212
2016-01-25,-0.2756
2016-01-26,1.3525
2016-01-27,-0.7175
2016-01-28,0.2891
2016-01-29,2.6661
2016-02-01,1.3616
2016-02-02,0.8863
2016-02-03,-1.1942
2016-02-04,-1.6949
2016-02-05,-3.957
2016-02-08,0.0883
2016-02-09,2.7051
2016-02-10,-0.3877
2016-02-11,-2.1188
2016-02-12,2.8862
2016-02-16,2.1468
2016-02-17,0.5885
2016-02-18,-0.2507
2016-02-19,-0.0279
2016-02-22,2.0115
2016-02-23,-0.4656
2016-02-24,2.1323
2016-02-25,1.1315
2016-02-26,0.7459
2016-02-29,-2.036
2016-03-01,1.8489
2016-03-02,-0.0398
2016-03-03,-0.2916
2016-03-04,0.2393
2016-03-07,-0.0398
2016-03-08,0.0265
2016-03-09,-0.5836
2016-03-10,0.7338
2016-03-11,-0.0132
2016-03-14,0.5166
2016-03-15,0.224
2016-03-16,0.355
2016-03-17,1.1792
2016-03-18,0.9065
2016-03-21,-0.0898
2016-03-22,-0.0514
2016-03-23,-0.1157
2016-03-24,-0.772
2016-03-28,0.8299
2016-03-29,1.106
2016-03-30,0.0763
2016-03-31,-0.4194
2016-04-01,0.5488
2016-04-04,-0.2793
2016-04-05,-1.082
2016-04-06,-0.1544
2016-04-07,-1.8044
2016-04-08,-0.0131
2016-04-11,-0.9583
2016-04-12,0.782
2016-04-13,0.7759
2016-04-14,-0.3915
2016-04-15,1.2708
